n = 1.0e+03, Tgas =  10.8, Tdust =  10.8, Go =   1.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.05005 	0.07723 	1.379e-04 	3.270e-06 	1.377e-04 	1.585e-08 	3.398e-04 	6.083e-12 	1.335e-10 
0.15015 	0.23168 	1.362e-04 	5.072e-06 	1.360e-04 	2.747e-08 	3.399e-04 	9.439e-12 	1.680e-10 
0.25025 	0.38614 	1.335e-04 	7.765e-06 	1.333e-04 	4.735e-08 	3.401e-04 	1.445e-11 	2.112e-10 
0.35035 	0.54059 	1.296e-04 	1.168e-05 	1.294e-04 	8.090e-08 	3.403e-04 	2.190e-11 	2.665e-10 
0.45045 	0.69504 	1.242e-04 	1.713e-05 	1.240e-04 	1.366e-07 	3.406e-04 	3.306e-11 	3.392e-10 
0.55055 	0.84950 	1.170e-04 	2.436e-05 	1.168e-04 	2.272e-07 	3.409e-04 	5.014e-11 	4.387e-10 
0.65065 	1.00395 	1.081e-04 	3.337e-05 	1.079e-04 	3.706e-07 	3.414e-04 	7.715e-11 	5.803e-10 
0.75075 	1.15841 	9.754e-05 	4.388e-05 	9.732e-05 	5.911e-07 	3.418e-04 	1.216e-10 	7.891e-10 
0.85085 	1.31286 	8.596e-05 	5.534e-05 	8.574e-05 	9.196e-07 	3.422e-04 	1.975e-10 	1.106e-09 
0.95095 	1.46732 	7.398e-05 	6.702e-05 	7.376e-05 	1.393e-06 	3.424e-04 	3.320e-10 	1.595e-09 
1.05105 	1.62177 	6.222e-05 	7.823e-05 	6.200e-05 	2.053e-06 	3.424e-04 	5.769e-10 	2.364e-09 
1.15115 	1.77622 	5.120e-05 	8.837e-05 	5.099e-05 	2.949e-06 	3.420e-04 	1.033e-09 	3.586e-09 
1.25125 	1.93068 	4.126e-05 	9.699e-05 	4.106e-05 	4.136e-06 	3.411e-04 	1.896e-09 	5.551e-09 
1.35135 	2.08513 	3.259e-05 	1.038e-04 	3.240e-05 	5.685e-06 	3.396e-04 	3.543e-09 	8.737e-09 
1.45145 	2.23959 	2.523e-05 	1.087e-04 	2.506e-05 	7.698e-06 	3.372e-04 	6.694e-09 	1.394e-08 
1.55155 	2.39404 	1.914e-05 	1.114e-04 	1.897e-05 	1.034e-05 	3.338e-04 	1.268e-08 	2.250e-08 
1.65165 	2.54850 	1.419e-05 	1.116e-04 	1.404e-05 	1.388e-05 	3.288e-04 	2.390e-08 	3.663e-08 
1.75175 	2.70295 	1.026e-05 	1.091e-04 	1.012e-05 	1.875e-05 	3.212e-04 	4.439e-08 	6.003e-08 
1.85185 	2.85740 	7.190e-06 	1.030e-04 	7.078e-06 	2.550e-05 	3.095e-04 	8.064e-08 	9.874e-08 
1.95195 	3.01186 	4.874e-06 	9.297e-05 	4.783e-06 	3.463e-05 	2.916e-04 	1.417e-07 	1.616e-07 
2.05205 	3.16631 	3.233e-06 	7.929e-05 	3.158e-06 	4.594e-05 	2.649e-04 	2.349e-07 	2.564e-07 
2.15215 	3.32077 	2.194e-06 	6.418e-05 	2.128e-06 	5.785e-05 	2.281e-04 	3.502e-07 	3.759e-07 
2.25225 	3.47522 	1.629e-06 	5.104e-05 	1.567e-06 	6.797e-05 	1.844e-04 	4.425e-07 	4.835e-07 
2.35235 	3.62968 	1.382e-06 	4.201e-05 	1.320e-06 	7.482e-05 	1.412e-04 	4.577e-07 	5.347e-07 
2.45245 	3.78413 	1.324e-06 	3.690e-05 	1.261e-06 	7.863e-05 	1.062e-04 	3.951e-07 	5.182e-07 
2.55255 	3.93858 	1.370e-06 	3.442e-05 	1.306e-06 	8.041e-05 	8.119e-05 	3.027e-07 	4.592e-07 
2.65265 	4.09304 	1.469e-06 	3.343e-05 	1.404e-06 	8.103e-05 	6.418e-05 	2.188e-07 	3.878e-07 
2.75275 	4.24749 	1.591e-06 	3.324e-05 	1.524e-06 	8.104e-05 	5.235e-05 	1.548e-07 	3.206e-07 
2.85285 	4.40195 	1.716e-06 	3.343e-05 	1.649e-06 	8.075e-05 	4.373e-05 	1.096e-07 	2.639e-07 
2.95295 	4.55640 	1.834e-06 	3.372e-05 	1.766e-06 	8.038e-05 	3.716e-05 	7.840e-08 	2.183e-07 
3.05305 	4.71086 	1.936e-06 	3.389e-05 	1.869e-06 	8.009e-05 	3.197e-05 	5.718e-08 	1.826e-07 
3.15315 	4.86531 	2.020e-06 	3.381e-05 	1.953e-06 	7.999e-05 	2.779e-05 	4.278e-08 	1.551e-07 
3.25325 	5.01976 	2.084e-06 	3.340e-05 	2.018e-06 	8.015e-05 	2.441e-05 	3.299e-08 	1.340e-07 
3.35335 	5.17422 	2.129e-06 	3.261e-05 	2.064e-06 	8.058e-05 	2.167e-05 	2.632e-08 	1.181e-07 
3.45345 	5.32867 	2.156e-06 	3.148e-05 	2.093e-06 	8.128e-05 	1.945e-05 	2.175e-08 	1.060e-07 
3.55355 	5.48313 	2.170e-06 	3.006e-05 	2.108e-06 	8.220e-05 	1.766e-05 	1.859e-08 	9.686e-08 
3.65365 	5.63758 	2.172e-06 	2.843e-05 	2.111e-06 	8.329e-05 	1.620e-05 	1.639e-08 	8.994e-08 
3.75375 	5.79204 	2.165e-06 	2.669e-05 	2.105e-06 	8.446e-05 	1.502e-05 	1.486e-08 	8.470e-08 
