n = 1.0e+03, Tgas =  12.0, Tdust =  12.0, Go =   1.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.05005 	0.08109 	1.382e-04 	3.287e-06 	1.380e-04 	1.767e-08 	3.405e-04 	8.089e-12 	1.410e-10 
0.15015 	0.24327 	1.363e-04 	5.209e-06 	1.361e-04 	3.146e-08 	3.406e-04 	1.275e-11 	1.792e-10 
0.25025 	0.40544 	1.334e-04 	8.136e-06 	1.332e-04 	5.563e-08 	3.408e-04 	1.981e-11 	2.274e-10 
0.35035 	0.56762 	1.291e-04 	1.245e-05 	1.289e-04 	9.738e-08 	3.410e-04 	3.043e-11 	2.898e-10 
0.45045 	0.72980 	1.231e-04 	1.852e-05 	1.229e-04 	1.681e-07 	3.413e-04 	4.663e-11 	3.732e-10 
0.55055 	0.89197 	1.151e-04 	2.657e-05 	1.149e-04 	2.850e-07 	3.416e-04 	7.199e-11 	4.897e-10 
0.65065 	1.05415 	1.051e-04 	3.653e-05 	1.049e-04 	4.723e-07 	3.420e-04 	1.133e-10 	6.598e-10 
0.75075 	1.21633 	9.353e-05 	4.798e-05 	9.332e-05 	7.624e-07 	3.424e-04 	1.837e-10 	9.175e-10 
0.85085 	1.37850 	8.105e-05 	6.018e-05 	8.084e-05 	1.196e-06 	3.426e-04 	3.086e-10 	1.319e-09 
0.95095 	1.54068 	6.842e-05 	7.228e-05 	6.821e-05 	1.819e-06 	3.426e-04 	5.384e-10 	1.958e-09 
1.05105 	1.70286 	5.632e-05 	8.350e-05 	5.612e-05 	2.687e-06 	3.423e-04 	9.729e-10 	2.990e-09 
1.15115 	1.86504 	4.527e-05 	9.323e-05 	4.508e-05 	3.859e-06 	3.414e-04 	1.812e-09 	4.681e-09 
1.25125 	2.02721 	3.555e-05 	1.011e-04 	3.537e-05 	5.408e-06 	3.398e-04 	3.452e-09 	7.485e-09 
1.35135 	2.18939 	2.729e-05 	1.067e-04 	2.713e-05 	7.435e-06 	3.375e-04 	6.674e-09 	1.218e-08 
1.45145 	2.35157 	2.047e-05 	1.100e-04 	2.031e-05 	1.010e-05 	3.339e-04 	1.297e-08 	2.012e-08 
1.55155 	2.51374 	1.497e-05 	1.107e-04 	1.483e-05 	1.367e-05 	3.287e-04 	2.509e-08 	3.361e-08 
1.65165 	2.67592 	1.063e-05 	1.082e-04 	1.051e-05 	1.860e-05 	3.209e-04 	4.777e-08 	5.665e-08 
1.75175 	2.83810 	7.298e-06 	1.020e-04 	7.193e-06 	2.550e-05 	3.086e-04 	8.870e-08 	9.594e-08 
1.85185 	3.00027 	4.825e-06 	9.134e-05 	4.740e-06 	3.494e-05 	2.893e-04 	1.585e-07 	1.615e-07 
1.95195 	3.16245 	3.118e-06 	7.674e-05 	3.048e-06 	4.665e-05 	2.598e-04 	2.648e-07 	2.621e-07 
2.05205 	3.32463 	2.083e-06 	6.097e-05 	2.021e-06 	5.871e-05 	2.189e-04 	3.912e-07 	3.862e-07 
2.15215 	3.48681 	1.559e-06 	4.800e-05 	1.499e-06 	6.839e-05 	1.714e-04 	4.767e-07 	4.878e-07 
2.25225 	3.64898 	1.358e-06 	3.981e-05 	1.298e-06 	7.442e-05 	1.271e-04 	4.649e-07 	5.201e-07 
2.35235 	3.81116 	1.338e-06 	3.562e-05 	1.277e-06 	7.743e-05 	9.355e-05 	3.772e-07 	4.844e-07 
2.45245 	3.97334 	1.412e-06 	3.387e-05 	1.350e-06 	7.860e-05 	7.085e-05 	2.751e-07 	4.155e-07 
2.55255 	4.13551 	1.528e-06 	3.340e-05 	1.465e-06 	7.881e-05 	5.574e-05 	1.917e-07 	3.425e-07 
2.65265 	4.29769 	1.659e-06 	3.358e-05 	1.594e-06 	7.854e-05 	4.526e-05 	1.321e-07 	2.784e-07 
2.75275 	4.45987 	1.785e-06 	3.400e-05 	1.721e-06 	7.807e-05 	3.758e-05 	9.151e-08 	2.265e-07 
2.85285 	4.62204 	1.899e-06 	3.438e-05 	1.834e-06 	7.763e-05 	3.170e-05 	6.447e-08 	1.860e-07 
2.95295 	4.78422 	1.993e-06 	3.453e-05 	1.929e-06 	7.735e-05 	2.708e-05 	4.656e-08 	1.550e-07 
3.05305 	4.94640 	2.066e-06 	3.432e-05 	2.003e-06 	7.735e-05 	2.340e-05 	3.470e-08 	1.316e-07 
3.15315 	5.10858 	2.117e-06 	3.367e-05 	2.055e-06 	7.765e-05 	2.046e-05 	2.683e-08 	1.140e-07 
3.25325 	5.27075 	2.149e-06 	3.260e-05 	2.088e-06 	7.827e-05 	1.811e-05 	2.156e-08 	1.009e-07 
3.35335 	5.43293 	2.164e-06 	3.116e-05 	2.104e-06 	7.916e-05 	1.623e-05 	1.801e-08 	9.108e-08 
3.45345 	5.59511 	2.166e-06 	2.945e-05 	2.107e-06 	8.026e-05 	1.474e-05 	1.560e-08 	8.378e-08 
3.55355 	5.75728 	2.158e-06 	2.756e-05 	2.101e-06 	8.149e-05 	1.354e-05 	1.395e-08 	7.833e-08 
3.65365 	5.91946 	2.144e-06 	2.562e-05 	2.088e-06 	8.278e-05 	1.257e-05 	1.282e-08 	7.424e-08 
3.75375 	6.08164 	2.127e-06 	2.369e-05 	2.070e-06 	8.406e-05 	1.180e-05 	1.205e-08 	7.117e-08 
3.85385 	6.24382 	2.107e-06 	2.185e-05 	2.051e-06 	8.529e-05 	1.117e-05 	1.153e-08 	6.884e-08 
3.95395 	6.40599 	2.087e-06 	2.014e-05 	2.032e-06 	8.644e-05 	1.066e-05 	1.118e-08 	6.707e-08 
4.05405 	6.56817 	2.068e-06 	1.858e-05 	2.013e-06 	8.749e-05 	1.025e-05 	1.096e-08 	6.573e-08 
4.15415 	6.73035 	2.050e-06 	1.719e-05 	1.995e-06 	8.842e-05 	9.909e-06 	1.083e-08 	6.470e-08 
4.25425 	6.89252 	2.034e-06 	1.596e-05 	1.979e-06 	8.925e-05 	9.634e-06 	1.075e-08 	6.390e-08 
4.35435 	7.05470 	2.020e-06 	1.490e-05 	1.965e-06 	8.997e-05 	9.409e-06 	1.072e-08 	6.329e-08 
4.45445 	7.21688 	2.007e-06 	1.398e-05 	1.952e-06 	9.059e-05 	9.225e-06 	1.071e-08 	6.281e-08 
4.55455 	7.37905 	1.996e-06 	1.319e-05 	1.941e-06 	9.112e-05 	9.075e-06 	1.072e-08 	6.244e-08 
4.65465 	7.54123 	1.986e-06 	1.253e-05 	1.932e-06 	9.157e-05 	8.952e-06 	1.074e-08 	6.215e-08 
4.75475 	7.70341 	1.978e-06 	1.196e-05 	1.924e-06 	9.195e-05 	8.851e-06 	1.077e-08 	6.192e-08 
4.85485 	7.86559 	1.972e-06 	1.149e-05 	1.917e-06 	9.227e-05 	8.768e-06 	1.080e-08 	6.174e-08 
4.95495 	8.02776 	1.966e-06 	1.109e-05 	1.911e-06 	9.254e-05 	8.700e-06 	1.083e-08 	6.160e-08 
5.05505 	8.18994 	1.961e-06 	1.076e-05 	1.906e-06 	9.276e-05 	8.645e-06 	1.085e-08 	6.149e-08 
5.15515 	8.35212 	1.957e-06 	1.049e-05 	1.902e-06 	9.295e-05 	8.599e-06 	1.088e-08 	6.140e-08 
