n = 9.8e+02, Tgas =  12.0, Tdust =  12.0, Go =   1.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.05005 	0.07530 	1.385e-04 	3.011e-06 	1.383e-04 	1.505e-08 	3.404e-04 	7.483e-12 	1.412e-10 
0.15015 	0.22589 	1.369e-04 	4.627e-06 	1.367e-04 	2.575e-08 	3.405e-04 	1.149e-11 	1.767e-10 
0.25025 	0.37648 	1.345e-04 	7.033e-06 	1.343e-04 	4.381e-08 	3.407e-04 	1.741e-11 	2.208e-10 
0.35035 	0.52708 	1.310e-04 	1.052e-05 	1.308e-04 	7.399e-08 	3.408e-04 	2.610e-11 	2.763e-10 
0.45045 	0.67767 	1.262e-04 	1.540e-05 	1.260e-04 	1.237e-07 	3.411e-04 	3.894e-11 	3.482e-10 
0.55055 	0.82826 	1.197e-04 	2.193e-05 	1.195e-04 	2.038e-07 	3.414e-04 	5.821e-11 	4.445e-10 
0.65065 	0.97885 	1.115e-04 	3.018e-05 	1.113e-04 	3.301e-07 	3.418e-04 	8.802e-11 	5.784e-10 
0.75075 	1.12945 	1.016e-04 	3.999e-05 	1.014e-04 	5.238e-07 	3.421e-04 	1.358e-10 	7.714e-10 
0.85085 	1.28004 	9.062e-05 	5.090e-05 	9.039e-05 	8.119e-07 	3.425e-04 	2.154e-10 	1.058e-09 
0.95095 	1.43063 	7.896e-05 	6.231e-05 	7.873e-05 	1.227e-06 	3.427e-04 	3.524e-10 	1.493e-09 
1.05105 	1.58123 	6.727e-05 	7.351e-05 	6.705e-05 	1.808e-06 	3.427e-04 	5.953e-10 	2.164e-09 
1.15115 	1.73182 	5.610e-05 	8.392e-05 	5.588e-05 	2.596e-06 	3.424e-04 	1.035e-09 	3.213e-09 
1.25125 	1.88241 	4.583e-05 	9.304e-05 	4.563e-05 	3.641e-06 	3.417e-04 	1.847e-09 	4.870e-09 
1.35135 	2.03300 	3.672e-05 	1.005e-04 	3.652e-05 	5.003e-06 	3.404e-04 	3.357e-09 	7.515e-09 
1.45145 	2.18360 	2.886e-05 	1.062e-04 	2.867e-05 	6.765e-06 	3.384e-04 	6.180e-09 	1.177e-08 
1.55155 	2.33419 	2.224e-05 	1.099e-04 	2.207e-05 	9.053e-06 	3.355e-04 	1.143e-08 	1.867e-08 
1.65165 	2.48478 	1.680e-05 	1.113e-04 	1.663e-05 	1.208e-05 	3.313e-04 	2.108e-08 	2.989e-08 
1.75175 	2.63538 	1.240e-05 	1.103e-04 	1.225e-05 	1.617e-05 	3.251e-04 	3.845e-08 	4.822e-08 
1.85185 	2.78597 	8.909e-06 	1.061e-04 	8.784e-06 	2.180e-05 	3.157e-04 	6.877e-08 	7.820e-08 
1.95195 	2.93656 	6.210e-06 	9.827e-05 	6.107e-06 	2.953e-05 	3.014e-04 	1.197e-07 	1.269e-07 
2.05205 	3.08716 	4.206e-06 	8.658e-05 	4.122e-06 	3.957e-05 	2.797e-04 	1.999e-07 	2.029e-07 
2.15215 	3.23775 	2.835e-06 	7.216e-05 	2.763e-06 	5.113e-05 	2.485e-04 	3.104e-07 	3.091e-07 
2.25225 	3.38834 	2.010e-06 	5.792e-05 	1.945e-06 	6.217e-05 	2.083e-04 	4.250e-07 	4.259e-07 
2.35235 	3.53893 	1.592e-06 	4.682e-05 	1.529e-06 	7.061e-05 	1.643e-04 	4.874e-07 	5.103e-07 
2.45245 	3.68953 	1.434e-06 	3.986e-05 	1.370e-06 	7.582e-05 	1.248e-04 	4.628e-07 	5.302e-07 
2.55255 	3.84012 	1.427e-06 	3.620e-05 	1.362e-06 	7.850e-05 	9.471e-05 	3.786e-07 	4.931e-07 
2.65265 	3.99071 	1.502e-06 	3.457e-05 	1.435e-06 	7.962e-05 	7.375e-05 	2.839e-07 	4.283e-07 
2.75275 	4.14131 	1.616e-06 	3.406e-05 	1.548e-06 	7.987e-05 	5.932e-05 	2.049e-07 	3.594e-07 
2.85285 	4.29190 	1.744e-06 	3.415e-05 	1.675e-06 	7.966e-05 	4.904e-05 	1.462e-07 	2.975e-07 
2.95295 	4.44249 	1.871e-06 	3.448e-05 	1.802e-06 	7.926e-05 	4.135e-05 	1.047e-07 	2.461e-07 
3.05305 	4.59308 	1.987e-06 	3.483e-05 	1.918e-06 	7.885e-05 	3.537e-05 	7.591e-08 	2.050e-07 
3.15315 	4.74368 	2.087e-06 	3.501e-05 	2.018e-06 	7.855e-05 	3.059e-05 	5.612e-08 	1.728e-07 
3.25325 	4.89427 	2.167e-06 	3.491e-05 	2.099e-06 	7.847e-05 	2.671e-05 	4.254e-08 	1.478e-07 
3.35335 	5.04486 	2.227e-06 	3.445e-05 	2.161e-06 	7.865e-05 	2.355e-05 	3.320e-08 	1.286e-07 
3.45345 	5.19546 	2.269e-06 	3.362e-05 	2.203e-06 	7.911e-05 	2.097e-05 	2.676e-08 	1.140e-07 
3.55355 	5.34605 	2.293e-06 	3.245e-05 	2.229e-06 	7.984e-05 	1.887e-05 	2.230e-08 	1.028e-07 
3.65365 	5.49664 	2.304e-06 	3.099e-05 	2.241e-06 	8.078e-05 	1.716e-05 	1.917e-08 	9.429e-08 
3.75375 	5.64724 	2.303e-06 	2.934e-05 	2.242e-06 	8.187e-05 	1.577e-05 	1.698e-08 	8.780e-08 
3.85385 	5.79783 	2.295e-06 	2.757e-05 	2.234e-06 	8.306e-05 	1.463e-05 	1.543e-08 	8.284e-08 
3.95395 	5.94842 	2.281e-06 	2.576e-05 	2.221e-06 	8.428e-05 	1.371e-05 	1.434e-08 	7.903e-08 
4.05405 	6.09901 	2.264e-06 	2.398e-05 	2.205e-06 	8.550e-05 	1.294e-05 	1.356e-08 	7.611e-08 
4.15415 	6.24961 	2.246e-06 	2.228e-05 	2.186e-06 	8.666e-05 	1.232e-05 	1.302e-08 	7.385e-08 
4.25425 	6.40020 	2.226e-06 	2.069e-05 	2.168e-06 	8.775e-05 	1.180e-05 	1.265e-08 	7.210e-08 
4.35435 	6.55079 	2.208e-06 	1.923e-05 	2.149e-06 	8.876e-05 	1.138e-05 	1.240e-08 	7.074e-08 
4.45445 	6.70139 	2.190e-06 	1.792e-05 	2.132e-06 	8.966e-05 	1.102e-05 	1.224e-08 	6.968e-08 
4.55455 	6.85198 	2.174e-06 	1.675e-05 	2.116e-06 	9.047e-05 	1.073e-05 	1.214e-08 	6.884e-08 
