n = 1.0e+03, Tgas =  12.0, Tdust =  12.0, Go =   1.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O
0.05005 	0.07723 	1.384e-04 	3.102e-06 	1.382e-04 	1.589e-08 	3.405e-04 	7.685e-12 	1.411e-10 
0.15015 	0.23168 	1.367e-04 	4.817e-06 	1.365e-04 	2.756e-08 	3.406e-04 	1.191e-11 	1.775e-10 
0.25025 	0.38614 	1.341e-04 	7.389e-06 	1.339e-04 	4.750e-08 	3.407e-04 	1.819e-11 	2.230e-10 
0.35035 	0.54059 	1.304e-04 	1.114e-05 	1.302e-04 	8.120e-08 	3.409e-04 	2.750e-11 	2.807e-10 
0.45045 	0.69504 	1.252e-04 	1.640e-05 	1.250e-04 	1.372e-07 	3.411e-04 	4.137e-11 	3.562e-10 
0.55055 	0.84950 	1.182e-04 	2.342e-05 	1.180e-04 	2.283e-07 	3.415e-04 	6.250e-11 	4.587e-10 
0.65065 	1.00395 	1.094e-04 	3.224e-05 	1.092e-04 	3.728e-07 	3.419e-04 	9.573e-11 	6.036e-10 
0.75075 	1.15841 	9.899e-05 	4.261e-05 	9.877e-05 	5.951e-07 	3.422e-04 	1.501e-10 	8.161e-10 
0.85085 	1.31286 	8.745e-05 	5.400e-05 	8.723e-05 	9.265e-07 	3.426e-04 	2.425e-10 	1.137e-09 
0.95095 	1.46732 	7.541e-05 	6.569e-05 	7.519e-05 	1.404e-06 	3.427e-04 	4.051e-10 	1.631e-09 
1.05105 	1.62177 	6.353e-05 	7.698e-05 	6.332e-05 	2.071e-06 	3.426e-04 	6.997e-10 	2.405e-09 
1.15115 	1.77622 	5.235e-05 	8.723e-05 	5.214e-05 	2.975e-06 	3.421e-04 	1.245e-09 	3.634e-09 
1.25125 	1.93068 	4.222e-05 	9.599e-05 	4.203e-05 	4.172e-06 	3.412e-04 	2.271e-09 	5.607e-09 
1.35135 	2.08513 	3.337e-05 	1.030e-04 	3.318e-05 	5.732e-06 	3.396e-04 	4.216e-09 	8.807e-09 
1.45145 	2.23959 	2.584e-05 	1.079e-04 	2.566e-05 	7.759e-06 	3.372e-04 	7.911e-09 	1.404e-08 
1.55155 	2.39404 	1.959e-05 	1.107e-04 	1.942e-05 	1.041e-05 	3.336e-04 	1.487e-08 	2.265e-08 
1.65165 	2.54850 	1.452e-05 	1.110e-04 	1.437e-05 	1.397e-05 	3.284e-04 	2.777e-08 	3.690e-08 
1.75175 	2.70295 	1.048e-05 	1.084e-04 	1.035e-05 	1.885e-05 	3.206e-04 	5.106e-08 	6.053e-08 
1.85185 	2.85740 	7.337e-06 	1.022e-04 	7.227e-06 	2.563e-05 	3.087e-04 	9.163e-08 	9.967e-08 
1.95195 	3.01186 	4.969e-06 	9.205e-05 	4.879e-06 	3.478e-05 	2.902e-04 	1.588e-07 	1.632e-07 
2.05205 	3.16631 	3.297e-06 	7.823e-05 	3.222e-06 	4.605e-05 	2.626e-04 	2.593e-07 	2.587e-07 
2.15215 	3.32077 	2.243e-06 	6.313e-05 	2.177e-06 	5.780e-05 	2.248e-04 	3.805e-07 	3.777e-07 
2.25225 	3.47522 	1.678e-06 	5.024e-05 	1.615e-06 	6.759e-05 	1.801e-04 	4.721e-07 	4.820e-07 
2.35235 	3.62968 	1.437e-06 	4.160e-05 	1.375e-06 	7.405e-05 	1.369e-04 	4.789e-07 	5.272e-07 
2.45245 	3.78413 	1.388e-06 	3.686e-05 	1.324e-06 	7.753e-05 	1.025e-04 	4.070e-07 	5.057e-07 
2.55255 	3.93858 	1.443e-06 	3.467e-05 	1.378e-06 	7.906e-05 	7.833e-05 	3.089e-07 	4.450e-07 
2.65265 	4.09304 	1.549e-06 	3.390e-05 	1.483e-06 	7.951e-05 	6.192e-05 	2.222e-07 	3.741e-07 
2.75275 	4.24749 	1.675e-06 	3.388e-05 	1.609e-06 	7.939e-05 	5.049e-05 	1.569e-07 	3.086e-07 
2.85285 	4.40195 	1.804e-06 	3.419e-05 	1.737e-06 	7.900e-05 	4.213e-05 	1.108e-07 	2.536e-07 
2.95295 	4.55640 	1.923e-06 	3.458e-05 	1.856e-06 	7.856e-05 	3.573e-05 	7.921e-08 	2.096e-07 
3.05305 	4.71086 	2.027e-06 	3.482e-05 	1.960e-06 	7.822e-05 	3.067e-05 	5.769e-08 	1.752e-07 
3.15315 	4.86531 	2.111e-06 	3.479e-05 	2.045e-06 	7.808e-05 	2.661e-05 	4.310e-08 	1.488e-07 
3.25325 	5.01976 	2.174e-06 	3.439e-05 	2.109e-06 	7.822e-05 	2.332e-05 	3.319e-08 	1.285e-07 
3.35335 	5.17422 	2.218e-06 	3.360e-05 	2.154e-06 	7.864e-05 	2.065e-05 	2.644e-08 	1.132e-07 
3.45345 	5.32867 	2.244e-06 	3.244e-05 	2.181e-06 	7.935e-05 	1.849e-05 	2.181e-08 	1.015e-07 
3.55355 	5.48313 	2.255e-06 	3.097e-05 	2.194e-06 	8.028e-05 	1.675e-05 	1.862e-08 	9.274e-08 
3.65365 	5.63758 	2.255e-06 	2.928e-05 	2.195e-06 	8.139e-05 	1.534e-05 	1.639e-08 	8.608e-08 
3.75375 	5.79204 	2.247e-06 	2.747e-05 	2.187e-06 	8.260e-05 	1.420e-05 	1.484e-08 	8.103e-08 
3.85385 	5.94649 	2.233e-06 	2.561e-05 	2.174e-06 	8.384e-05 	1.327e-05 	1.375e-08 	7.719e-08 
3.95395 	6.10094 	2.215e-06 	2.379e-05 	2.157e-06 	8.508e-05 	1.251e-05 	1.300e-08 	7.425e-08 
4.05405 	6.25540 	2.196e-06 	2.205e-05 	2.138e-06 	8.626e-05 	1.189e-05 	1.247e-08 	7.200e-08 
4.15415 	6.40985 	2.177e-06 	2.042e-05 	2.120e-06 	8.737e-05 	1.138e-05 	1.212e-08 	7.027e-08 
4.25425 	6.56431 	2.158e-06 	1.894e-05 	2.101e-06 	8.838e-05 	1.096e-05 	1.188e-08 	6.893e-08 
4.35435 	6.71876 	2.141e-06 	1.761e-05 	2.084e-06 	8.929e-05 	1.062e-05 	1.173e-08 	6.789e-08 
4.45445 	6.87322 	2.125e-06 	1.643e-05 	2.068e-06 	9.010e-05 	1.033e-05 	1.164e-08 	6.708e-08 
4.55455 	7.02767 	2.110e-06 	1.539e-05 	2.053e-06 	9.081e-05 	1.010e-05 	1.160e-08 	6.645e-08 
4.65465 	7.18212 	2.097e-06 	1.449e-05 	2.041e-06 	9.143e-05 	9.904e-06 	1.158e-08 	6.595e-08 
4.75475 	7.33658 	2.086e-06 	1.371e-05 	2.030e-06 	9.197e-05 	9.744e-06 	1.158e-08 	6.556e-08 
4.85485 	7.49103 	2.076e-06 	1.304e-05 	2.020e-06 	9.242e-05 	9.612e-06 	1.159e-08 	6.525e-08 
4.95495 	7.64549 	2.068e-06 	1.248e-05 	2.011e-06 	9.281e-05 	9.503e-06 	1.162e-08 	6.500e-08 
5.05505 	7.79994 	2.061e-06 	1.199e-05 	2.004e-06 	9.314e-05 	9.412e-06 	1.164e-08 	6.481e-08 
5.15515 	7.95440 	2.055e-06 	1.159e-05 	1.998e-06 	9.342e-05 	9.338e-06 	1.166e-08 	6.465e-08 
5.25525 	8.10885 	2.049e-06 	1.124e-05 	1.993e-06 	9.366e-05 	9.276e-06 	1.169e-08 	6.453e-08 
5.35535 	8.26331 	2.045e-06 	1.095e-05 	1.989e-06 	9.386e-05 	9.224e-06 	1.171e-08 	6.443e-08 
5.45545 	8.41776 	2.041e-06 	1.071e-05 	1.985e-06 	9.403e-05 	9.182e-06 	1.173e-08 	6.434e-08 
5.55555 	8.57221 	2.038e-06 	1.051e-05 	1.982e-06 	9.417e-05 	9.147e-06 	1.175e-08 	6.428e-08 
5.65565 	8.72667 	2.036e-06 	1.034e-05 	1.979e-06 	9.428e-05 	9.118e-06 	1.177e-08 	6.423e-08 
5.75575 	8.88112 	2.033e-06 	1.019e-05 	1.977e-06 	9.438e-05 	9.094e-06 	1.179e-08 	6.418e-08 
5.85585 	9.03558 	2.031e-06 	1.008e-05 	1.975e-06 	9.446e-05 	9.074e-06 	1.180e-08 	6.415e-08 
5.95595 	9.19003 	2.030e-06 	9.977e-06 	1.974e-06 	9.453e-05 	9.057e-06 	1.181e-08 	6.412e-08 
6.05605 	9.34449 	2.029e-06 	9.894e-06 	1.972e-06 	9.459e-05 	9.044e-06 	1.182e-08 	6.409e-08 
6.15615 	9.49894 	2.028e-06 	9.826e-06 	1.971e-06 	9.464e-05 	9.032e-06 	1.183e-08 	6.408e-08 
6.25625 	9.65339 	2.027e-06 	9.768e-06 	1.970e-06 	9.468e-05 	9.023e-06 	1.184e-08 	6.406e-08 
6.35635 	9.80785 	2.026e-06 	9.721e-06 	1.970e-06 	9.471e-05 	9.015e-06 	1.184e-08 	6.405e-08 
6.45645 	9.96230 	2.025e-06 	9.681e-06 	1.969e-06 	9.474e-05 	9.009e-06 	1.185e-08 	6.404e-08 
6.55655 	10.11676 	2.025e-06 	9.648e-06 	1.968e-06 	9.476e-05 	9.003e-06 	1.185e-08 	6.403e-08 
6.65665 	10.27121 	2.024e-06 	9.621e-06 	1.968e-06 	9.478e-05 	8.999e-06 	1.185e-08 	6.402e-08 
6.75675 	10.42567 	2.024e-06 	9.598e-06 	1.968e-06 	9.479e-05 	8.995e-06 	1.186e-08 	6.402e-08 
6.85685 	10.58012 	2.024e-06 	9.579e-06 	1.967e-06 	9.481e-05 	8.992e-06 	1.186e-08 	6.401e-08 
6.95695 	10.73457 	2.023e-06 	9.563e-06 	1.967e-06 	9.482e-05 	8.989e-06 	1.186e-08 	6.401e-08 
7.05705 	10.88903 	2.023e-06 	9.550e-06 	1.967e-06 	9.483e-05 	8.987e-06 	1.186e-08 	6.400e-08 
7.15715 	11.04348 	2.023e-06 	9.539e-06 	1.967e-06 	9.483e-05 	8.986e-06 	1.187e-08 	6.400e-08 
7.25725 	11.19794 	2.023e-06 	9.530e-06 	1.967e-06 	9.484e-05 	8.984e-06 	1.187e-08 	6.400e-08 
7.35735 	11.35239 	2.023e-06 	9.522e-06 	1.966e-06 	9.484e-05 	8.983e-06 	1.187e-08 	6.400e-08 
7.45745 	11.50685 	2.023e-06 	9.516e-06 	1.966e-06 	9.485e-05 	8.982e-06 	1.187e-08 	6.399e-08 
7.55755 	11.66130 	2.023e-06 	9.511e-06 	1.966e-06 	9.485e-05 	8.981e-06 	1.187e-08 	6.399e-08 
7.65765 	11.81575 	2.023e-06 	9.507e-06 	1.966e-06 	9.486e-05 	8.980e-06 	1.187e-08 	6.399e-08 
7.75775 	11.97021 	2.023e-06 	9.503e-06 	1.966e-06 	9.486e-05 	8.980e-06 	1.187e-08 	6.399e-08 
7.85785 	12.12466 	2.023e-06 	9.500e-06 	1.966e-06 	9.486e-05 	8.979e-06 	1.187e-08 	6.399e-08 
7.95795 	12.27912 	2.022e-06 	9.498e-06 	1.966e-06 	9.486e-05 	8.979e-06 	1.187e-08 	6.399e-08 
8.05805 	12.43357 	2.022e-06 	9.496e-06 	1.966e-06 	9.486e-05 	8.979e-06 	1.187e-08 	6.399e-08 
8.15815 	12.58803 	2.022e-06 	9.494e-06 	1.966e-06 	9.486e-05 	8.978e-06 	1.187e-08 	6.399e-08 
8.25825 	12.74248 	2.022e-06 	9.492e-06 	1.966e-06 	9.487e-05 	8.978e-06 	1.187e-08 	6.399e-08 
8.35835 	12.89693 	2.022e-06 	9.491e-06 	1.966e-06 	9.487e-05 	8.978e-06 	1.187e-08 	6.399e-08 
8.45845 	13.05139 	2.022e-06 	9.490e-06 	1.966e-06 	9.487e-05 	8.978e-06 	1.187e-08 	6.399e-08 
8.55855 	13.20584 	2.022e-06 	9.489e-06 	1.966e-06 	9.487e-05 	8.978e-06 	1.187e-08 	6.399e-08 
8.65865 	13.36030 	2.022e-06 	9.489e-06 	1.966e-06 	9.487e-05 	8.978e-06 	1.187e-08 	6.399e-08 
8.75875 	13.51475 	2.022e-06 	9.488e-06 	1.966e-06 	9.487e-05 	8.978e-06 	1.187e-08 	6.399e-08 
8.85885 	13.66921 	2.022e-06 	9.488e-06 	1.966e-06 	9.487e-05 	8.977e-06 	1.187e-08 	6.399e-08 
8.95895 	13.82366 	2.022e-06 	9.487e-06 	1.966e-06 	9.487e-05 	8.977e-06 	1.187e-08 	6.399e-08 
9.05905 	13.97811 	2.022e-06 	9.487e-06 	1.966e-06 	9.487e-05 	8.977e-06 	1.187e-08 	6.399e-08 
9.15915 	14.13257 	2.022e-06 	9.487e-06 	1.966e-06 	9.487e-05 	8.977e-06 	1.187e-08 	6.399e-08 
