n = 1.4e+04, Tgas =  30.0, Tdust =  30.0, Go = 10000.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.21710 	1.403e-04 	4.006e-09 	1.403e-04 	9.879e-13 	3.382e-04 	2.938e-17 	3.072e-14 
0.03015 	0.65130 	1.412e-04 	1.525e-08 	1.411e-04 	3.871e-12 	3.403e-04 	1.208e-16 	6.727e-14 
0.05025 	1.08550 	1.421e-04 	5.707e-08 	1.421e-04 	1.360e-11 	3.426e-04 	4.828e-16 	1.453e-13 
0.07035 	1.51970 	1.426e-04 	2.113e-07 	1.426e-04 	4.572e-11 	3.443e-04 	1.983e-15 	3.095e-13 
0.09045 	1.95390 	1.424e-04 	7.751e-07 	1.424e-04 	1.530e-10 	3.452e-04 	8.432e-15 	6.545e-13 
0.11055 	2.38810 	1.406e-04 	2.785e-06 	1.406e-04 	5.240e-10 	3.458e-04 	3.656e-14 	1.388e-12 
0.13065 	2.82230 	1.342e-04 	9.410e-06 	1.342e-04 	1.859e-09 	3.462e-04 	1.593e-13 	3.028e-12 
0.15075 	3.25650 	1.169e-04 	2.701e-05 	1.169e-04 	6.700e-09 	3.470e-04 	7.013e-13 	7.235e-12 
0.17085 	3.69070 	8.625e-05 	5.819e-05 	8.622e-05 	2.315e-08 	3.482e-04 	3.339e-12 	2.041e-11 
0.19095 	4.12490 	5.227e-05 	9.271e-05 	5.224e-05 	7.308e-08 	3.496e-04 	1.898e-11 	6.811e-11 
0.21105 	4.55910 	2.625e-05 	1.190e-04 	2.622e-05 	2.097e-07 	3.505e-04 	1.266e-10 	2.503e-10 
0.23115 	4.99330 	1.093e-05 	1.343e-04 	1.090e-05 	5.594e-07 	3.508e-04 	8.347e-10 	9.087e-10 
0.25125 	5.42750 	3.872e-06 	1.405e-04 	3.847e-06 	1.484e-06 	3.502e-04 	4.216e-09 	2.823e-09 
0.27135 	5.86170 	1.374e-06 	1.400e-04 	1.354e-06 	4.527e-06 	3.471e-04 	1.386e-08 	7.034e-09 
0.29145 	6.29590 	6.390e-07 	1.297e-04 	6.253e-07 	1.562e-05 	3.356e-04 	3.124e-08 	1.510e-08 
0.31155 	6.73010 	3.944e-07 	9.883e-05 	3.841e-07 	4.673e-05 	3.036e-04 	5.779e-08 	2.973e-08 
0.33165 	7.16430 	2.606e-07 	5.077e-05 	2.519e-07 	9.494e-05 	2.539e-04 	1.130e-07 	5.465e-08 
0.35175 	7.59850 	1.808e-07 	1.736e-05 	1.725e-07 	1.284e-04 	2.175e-04 	2.646e-07 	9.880e-08 
0.37185 	8.03270 	1.338e-07 	5.480e-06 	1.248e-07 	1.404e-04 	2.002e-04 	6.243e-07 	1.796e-07 
0.39195 	8.46690 	9.928e-08 	2.070e-06 	8.866e-08 	1.438e-04 	1.876e-04 	1.309e-06 	3.146e-07 
0.41205 	8.90110 	7.442e-08 	9.641e-07 	6.135e-08 	1.449e-04 	1.732e-04 	2.459e-06 	5.062e-07 
0.43215 	9.33530 	5.852e-08 	5.275e-07 	4.267e-08 	1.454e-04 	1.572e-04 	4.227e-06 	7.176e-07 
0.45225 	9.76950 	4.894e-08 	3.228e-07 	3.052e-08 	1.456e-04 	1.421e-04 	6.737e-06 	8.886e-07 
0.47235 	10.20370 	4.324e-08 	2.167e-07 	2.272e-08 	1.457e-04 	1.299e-04 	9.935e-06 	9.882e-07 
0.49245 	10.63790 	3.996e-08 	1.608e-07 	1.793e-08 	1.458e-04 	1.208e-04 	1.333e-05 	1.028e-06 
0.51255 	11.07211 	3.820e-08 	1.324e-07 	1.525e-08 	1.458e-04 	1.147e-04 	1.616e-05 	1.036e-06 
0.53265 	11.50631 	3.733e-08 	1.186e-07 	1.386e-08 	1.458e-04 	1.110e-04 	1.803e-05 	1.034e-06 
0.55275 	11.94051 	3.691e-08 	1.120e-07 	1.319e-08 	1.458e-04 	1.091e-04 	1.908e-05 	1.032e-06 
0.57285 	12.37471 	3.672e-08 	1.089e-07 	1.287e-08 	1.458e-04 	1.081e-04 	1.961e-05 	1.030e-06 
0.59295 	12.80891 	3.663e-08 	1.075e-07 	1.273e-08 	1.458e-04 	1.076e-04 	1.986e-05 	1.029e-06 
0.61305 	13.24311 	3.659e-08 	1.069e-07 	1.266e-08 	1.458e-04 	1.074e-04 	1.998e-05 	1.029e-06 
0.63315 	13.67731 	3.657e-08 	1.065e-07 	1.263e-08 	1.458e-04 	1.073e-04 	2.003e-05 	1.029e-06 
0.65325 	14.11151 	3.656e-08 	1.064e-07 	1.261e-08 	1.458e-04 	1.072e-04 	2.006e-05 	1.029e-06 
0.67335 	14.54571 	3.656e-08 	1.063e-07 	1.261e-08 	1.458e-04 	1.072e-04 	2.007e-05 	1.029e-06 
0.69345 	14.97991 	3.655e-08 	1.063e-07 	1.260e-08 	1.458e-04 	1.072e-04 	2.008e-05 	1.029e-06 
0.71355 	15.41411 	3.655e-08 	1.063e-07 	1.260e-08 	1.458e-04 	1.072e-04 	2.008e-05 	1.029e-06 
0.73365 	15.84831 	3.655e-08 	1.063e-07 	1.260e-08 	1.458e-04 	1.072e-04 	2.008e-05 	1.029e-06 
0.75375 	16.28251 	3.655e-08 	1.063e-07 	1.260e-08 	1.458e-04 	1.072e-04 	2.008e-05 	1.029e-06 
0.77385 	16.71671 	3.655e-08 	1.063e-07 	1.260e-08 	1.458e-04 	1.072e-04 	2.008e-05 	1.029e-06 
0.79395 	17.15091 	3.655e-08 	1.063e-07 	1.260e-08 	1.458e-04 	1.072e-04 	2.008e-05 	1.029e-06 
