n = 8.0e+03, Tgas =  30.0, Tdust =  30.0, Go = 10000.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.12406 	1.403e-04 	1.653e-09 	1.401e-04 	2.952e-13 	3.379e-04 	8.487e-18 	2.484e-14 
0.03015 	0.37217 	1.401e-04 	3.589e-09 	1.399e-04 	7.321e-13 	3.374e-04 	2.064e-17 	3.891e-14 
0.05025 	0.62029 	1.404e-04 	7.751e-09 	1.402e-04 	1.671e-12 	3.381e-04 	4.801e-17 	6.088e-14 
0.07035 	0.86840 	1.409e-04 	1.662e-08 	1.408e-04 	3.605e-12 	3.395e-04 	1.087e-16 	9.497e-14 
0.09045 	1.11651 	1.415e-04 	3.544e-08 	1.414e-04 	7.497e-12 	3.410e-04 	2.436e-16 	1.476e-13 
0.11055 	1.36463 	1.420e-04 	7.523e-08 	1.419e-04 	1.522e-11 	3.423e-04 	5.470e-16 	2.283e-13 
0.13065 	1.61274 	1.423e-04 	1.591e-07 	1.423e-04 	3.045e-11 	3.434e-04 	1.238e-15 	3.517e-13 
0.15075 	1.86086 	1.425e-04 	3.356e-07 	1.425e-04 	6.042e-11 	3.443e-04 	2.831e-15 	5.405e-13 
0.17085 	2.10897 	1.424e-04 	7.050e-07 	1.423e-04 	1.197e-10 	3.449e-04 	6.527e-15 	8.293e-13 
0.19095 	2.35709 	1.418e-04 	1.472e-06 	1.417e-04 	2.379e-10 	3.453e-04 	1.516e-14 	1.273e-12 
0.21105 	2.60520 	1.404e-04 	3.042e-06 	1.403e-04 	4.764e-10 	3.456e-04 	3.536e-14 	1.962e-12 
0.23115 	2.85332 	1.374e-04 	6.156e-06 	1.373e-04 	9.638e-10 	3.459e-04 	8.287e-14 	3.054e-12 
0.25125 	3.10143 	1.317e-04 	1.200e-05 	1.316e-04 	1.969e-09 	3.463e-04 	1.955e-13 	4.854e-12 
0.27135 	3.34954 	1.219e-04 	2.197e-05 	1.218e-04 	4.039e-09 	3.467e-04 	4.677e-13 	7.994e-12 
0.29145 	3.59766 	1.073e-04 	3.683e-05 	1.072e-04 	8.246e-09 	3.473e-04 	1.151e-12 	1.386e-11 
0.31155 	3.84577 	8.877e-05 	5.563e-05 	8.872e-05 	1.658e-08 	3.481e-04 	2.967e-12 	2.553e-11 
0.33165 	4.09389 	6.884e-05 	7.589e-05 	6.880e-05 	3.257e-08 	3.489e-04 	8.119e-12 	4.978e-11 
0.35175 	4.34200 	5.013e-05 	9.489e-05 	5.009e-05 	6.243e-08 	3.496e-04 	2.357e-11 	1.015e-10 
