n = 1.0e+04, Tgas =  30.0, Tdust =  30.0, Go = 10000.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.15507 	1.402e-04 	2.311e-09 	1.401e-04 	4.772e-13 	3.377e-04 	1.372e-17 	2.671e-14 
0.03015 	0.46521 	1.403e-04 	6.065e-09 	1.402e-04 	1.384e-12 	3.381e-04 	3.993e-17 	4.681e-14 
0.05025 	0.77536 	1.410e-04 	1.575e-08 	1.409e-04 	3.637e-12 	3.398e-04 	1.103e-16 	8.173e-14 
0.07035 	1.08550 	1.417e-04 	4.052e-08 	1.416e-04 	9.027e-12 	3.416e-04 	2.997e-16 	1.417e-13 
0.09045 	1.39564 	1.423e-04 	1.036e-07 	1.422e-04 	2.169e-11 	3.431e-04 	8.207e-16 	2.441e-13 
0.11055 	1.70579 	1.425e-04 	2.636e-07 	1.425e-04 	5.128e-11 	3.442e-04 	2.284e-15 	4.181e-13 
0.13065 	2.01593 	1.424e-04 	6.671e-07 	1.424e-04 	1.208e-10 	3.449e-04 	6.454e-15 	7.140e-13 
0.15075 	2.32607 	1.416e-04 	1.674e-06 	1.416e-04 	2.867e-10 	3.454e-04 	1.844e-14 	1.220e-12 
0.17085 	2.63622 	1.393e-04 	4.118e-06 	1.393e-04 	6.904e-10 	3.458e-04 	5.305e-14 	2.100e-12 
0.19095 	2.94636 	1.339e-04 	9.711e-06 	1.339e-04 	1.691e-09 	3.462e-04 	1.534e-13 	3.693e-12 
0.21105 	3.25650 	1.228e-04 	2.105e-05 	1.227e-04 	4.180e-09 	3.467e-04 	4.492e-13 	6.813e-12 
0.23115 	3.56664 	1.043e-04 	3.989e-05 	1.042e-04 	1.024e-08 	3.475e-04 	1.364e-12 	1.359e-11 
0.25125 	3.87679 	8.030e-05 	6.424e-05 	8.027e-05 	2.434e-08 	3.484e-04 	4.456e-12 	2.977e-11 
0.27135 	4.18693 	5.594e-05 	8.899e-05 	5.590e-05 	5.547e-08 	3.494e-04 	1.603e-11 	7.080e-11 
0.29145 	4.49707 	3.541e-05 	1.098e-04 	3.537e-05 	1.211e-07 	3.502e-04 	6.258e-11 	1.777e-10 
0.31155 	4.80722 	2.040e-05 	1.250e-04 	2.037e-05 	2.550e-07 	3.507e-04 	2.518e-10 	4.539e-10 
0.33165 	5.11736 	1.070e-05 	1.346e-04 	1.067e-05 	5.229e-07 	3.509e-04 	9.663e-10 	1.126e-09 
0.35175 	5.42750 	5.197e-06 	1.396e-04 	5.162e-06 	1.073e-06 	3.505e-04 	3.222e-09 	2.567e-09 
0.37185 	5.73765 	2.483e-06 	1.411e-04 	2.452e-06 	2.329e-06 	3.493e-04 	8.717e-09 	5.202e-09 
