n = 1.0e+04, Tgas =  26.2, Tdust =  26.2, Go = 10000.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.15895 	1.399e-04 	2.584e-09 	1.398e-04 	4.885e-13 	3.370e-04 	1.347e-17 	2.223e-14 
0.03015 	0.47684 	1.401e-04 	6.928e-09 	1.400e-04 	1.430e-12 	3.376e-04 	4.043e-17 	4.161e-14 
0.05025 	0.79474 	1.408e-04 	1.838e-08 	1.408e-04 	3.812e-12 	3.394e-04 	1.146e-16 	7.596e-14 
0.07035 	1.11264 	1.416e-04 	4.834e-08 	1.415e-04 	9.628e-12 	3.413e-04 	3.198e-16 	1.360e-13 
0.09045 	1.43053 	1.421e-04 	1.264e-07 	1.421e-04 	2.360e-11 	3.428e-04 	9.000e-16 	2.398e-13 
0.11055 	1.74843 	1.423e-04 	3.288e-07 	1.423e-04 	5.706e-11 	3.439e-04 	2.575e-15 	4.186e-13 
0.13065 	2.06633 	1.421e-04 	8.504e-07 	1.421e-04 	1.379e-10 	3.446e-04 	7.484e-15 	7.272e-13 
0.15075 	2.38422 	1.410e-04 	2.174e-06 	1.409e-04 	3.366e-10 	3.450e-04 	2.198e-14 	1.264e-12 
0.17085 	2.70212 	1.379e-04 	5.417e-06 	1.379e-04 	8.356e-10 	3.454e-04 	6.488e-14 	2.221e-12 
0.19095 	3.02002 	1.307e-04 	1.275e-05 	1.307e-04 	2.110e-09 	3.459e-04 	1.924e-13 	4.025e-12 
0.21105 	3.33791 	1.168e-04 	2.699e-05 	1.167e-04 	5.351e-09 	3.465e-04 	5.795e-13 	7.758e-12 
0.23115 	3.65581 	9.532e-05 	4.882e-05 	9.529e-05 	1.333e-08 	3.475e-04 	1.829e-12 	1.639e-11 
0.25125 	3.97371 	7.009e-05 	7.450e-05 	7.006e-05 	3.193e-08 	3.486e-04 	6.308e-12 	3.817e-11 
0.27135 	4.29160 	4.654e-05 	9.846e-05 	4.650e-05 	7.301e-08 	3.496e-04 	2.415e-11 	9.575e-11 
0.29145 	4.60950 	2.803e-05 	1.172e-04 	2.800e-05 	1.599e-07 	3.504e-04 	9.953e-11 	2.502e-10 
0.31155 	4.92740 	1.532e-05 	1.300e-04 	1.528e-05 	3.379e-07 	3.508e-04 	4.126e-10 	6.530e-10 
0.33165 	5.24529 	7.619e-06 	1.375e-04 	7.582e-06 	7.000e-07 	3.508e-04 	1.567e-09 	1.611e-09 
0.35175 	5.56319 	3.567e-06 	1.408e-04 	3.533e-06 	1.484e-06 	3.501e-04 	4.958e-09 	3.563e-09 
0.37185 	5.88109 	1.722e-06 	1.408e-04 	1.693e-06 	3.424e-06 	3.481e-04 	1.244e-08 	6.969e-09 
0.39195 	6.19898 	9.700e-07 	1.364e-04 	9.484e-07 	8.587e-06 	3.424e-04 	2.508e-08 	1.243e-08 
0.41205 	6.51688 	6.605e-07 	1.239e-04 	6.447e-07 	2.139e-05 	3.280e-04 	4.300e-08 	2.097e-08 
0.43215 	6.83478 	4.949e-07 	9.871e-05 	4.825e-07 	4.673e-05 	2.981e-04 	6.777e-08 	3.385e-08 
0.45225 	7.15267 	3.757e-07 	6.493e-05 	3.652e-07 	8.063e-05 	2.514e-04 	1.058e-07 	5.182e-08 
0.47235 	7.47057 	2.982e-07 	3.852e-05 	2.885e-07 	1.071e-04 	1.927e-04 	1.565e-07 	7.297e-08 
0.49245 	7.78847 	2.756e-07 	3.041e-05 	2.661e-07 	1.153e-04 	1.241e-04 	1.598e-07 	8.520e-08 
