n = 9.8e+03, Tgas =  26.2, Tdust =  26.2, Go = 10000.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.15119 	1.399e-04 	2.392e-09 	1.398e-04 	4.392e-13 	3.370e-04 	1.202e-17 	2.168e-14 
0.03015 	0.45358 	1.400e-04 	6.119e-09 	1.399e-04 	1.237e-12 	3.374e-04 	3.456e-17 	3.948e-14 
0.05025 	0.75597 	1.407e-04 	1.550e-08 	1.406e-04 	3.181e-12 	3.390e-04 	9.381e-17 	7.025e-14 
0.07035 	1.05836 	1.414e-04 	3.896e-08 	1.413e-04 	7.748e-12 	3.408e-04 	2.497e-16 	1.227e-13 
0.09045 	1.36075 	1.420e-04 	9.734e-08 	1.419e-04 	1.829e-11 	3.424e-04 	6.668e-16 	2.111e-13 
0.11055 	1.66314 	1.423e-04 	2.421e-07 	1.422e-04 	4.245e-11 	3.435e-04 	1.806e-15 	3.596e-13 
0.13065 	1.96553 	1.422e-04 	5.991e-07 	1.422e-04 	9.808e-11 	3.443e-04 	4.963e-15 	6.088e-13 
0.15075 	2.26792 	1.416e-04 	1.471e-06 	1.416e-04 	2.278e-10 	3.448e-04 	1.379e-14 	1.029e-12 
0.17085 	2.57031 	1.397e-04 	3.553e-06 	1.396e-04 	5.362e-10 	3.452e-04 	3.859e-14 	1.749e-12 
0.19095 	2.87270 	1.351e-04 	8.280e-06 	1.351e-04 	1.282e-09 	3.456e-04 	1.084e-13 	3.025e-12 
0.21105 	3.17509 	1.256e-04 	1.797e-05 	1.256e-04 	3.102e-09 	3.461e-04 	3.069e-13 	5.448e-12 
0.23115 	3.47748 	1.093e-04 	3.463e-05 	1.092e-04 	7.478e-09 	3.469e-04 	8.913e-13 	1.052e-11 
0.25125 	3.77987 	8.694e-05 	5.735e-05 	8.691e-05 	1.760e-08 	3.478e-04 	2.745e-12 	2.219e-11 
0.27135 	4.08226 	6.291e-05 	8.181e-05 	6.287e-05 	3.987e-08 	3.489e-04 	9.245e-12 	5.087e-11 
0.29145 	4.38465 	4.157e-05 	1.035e-04 	4.153e-05 	8.670e-08 	3.498e-04 	3.408e-11 	1.237e-10 
0.31155 	4.68704 	2.517e-05 	1.201e-04 	2.513e-05 	1.817e-07 	3.505e-04 	1.325e-10 	3.095e-10 
0.33165 	4.98943 	1.395e-05 	1.314e-04 	1.391e-05 	3.697e-07 	3.508e-04 	5.098e-10 	7.672e-10 
0.35175 	5.29181 	7.120e-06 	1.380e-04 	7.081e-06 	7.417e-07 	3.507e-04 	1.789e-09 	1.793e-09 
0.37185 	5.59420 	3.463e-06 	1.409e-04 	3.427e-06 	1.527e-06 	3.500e-04 	5.284e-09 	3.779e-09 
0.39195 	5.89659 	1.746e-06 	1.408e-04 	1.716e-06 	3.403e-06 	3.481e-04 	1.265e-08 	7.128e-09 
0.41205 	6.19898 	1.017e-06 	1.367e-04 	9.946e-07 	8.171e-06 	3.429e-04 	2.485e-08 	1.237e-08 
0.43215 	6.50137 	7.056e-07 	1.256e-04 	6.887e-07 	1.960e-05 	3.301e-04 	4.200e-08 	2.038e-08 
0.45225 	6.80376 	5.369e-07 	1.032e-04 	5.237e-07 	4.220e-05 	3.036e-04 	6.528e-08 	3.229e-08 
0.47235 	7.10615 	4.137e-07 	7.151e-05 	4.026e-07 	7.402e-05 	2.615e-04 	9.985e-08 	4.891e-08 
0.49245 	7.40854 	3.266e-07 	4.363e-05 	3.165e-07 	1.020e-04 	2.082e-04 	1.489e-07 	6.935e-08 
0.51255 	7.71093 	2.887e-07 	3.098e-05 	2.788e-07 	1.147e-04 	1.446e-04 	1.744e-07 	8.554e-08 
0.53265 	8.01332 	3.110e-07 	3.803e-05 	3.014e-07 	1.076e-04 	8.480e-05 	1.095e-07 	8.255e-08 
0.55275 	8.31571 	3.864e-07 	6.582e-05 	3.769e-07 	7.976e-05 	4.945e-05 	4.027e-08 	6.557e-08 
0.57285 	8.61810 	4.714e-07 	9.939e-05 	4.612e-07 	4.609e-05 	3.061e-05 	1.455e-08 	4.739e-08 
0.59295 	8.92049 	5.240e-07 	1.243e-04 	5.114e-07 	2.111e-05 	1.890e-05 	5.844e-09 	3.287e-08 
0.61305 	9.22288 	5.289e-07 	1.357e-04 	5.125e-07 	9.648e-06 	1.128e-05 	2.521e-09 	2.280e-08 
0.63315 	9.52527 	5.205e-07 	1.391e-04 	5.016e-07 	6.252e-06 	7.212e-06 	1.233e-09 	1.657e-08 
0.65325 	9.82766 	5.212e-07 	1.395e-04 	5.022e-07 	5.795e-06 	5.309e-06 	7.354e-10 	1.297e-08 
0.67335 	10.13005 	5.324e-07 	1.379e-04 	5.151e-07 	7.221e-06 	4.456e-06 	5.374e-10 	1.093e-08 
0.69345 	10.43244 	5.471e-07 	1.336e-04 	5.328e-07 	1.148e-05 	4.068e-06 	4.597e-10 	9.717e-09 
0.71355 	10.73482 	5.498e-07 	1.247e-04 	5.383e-07 	2.023e-05 	3.756e-06 	4.264e-10 	8.924e-09 
0.73365 	11.03721 	5.342e-07 	1.122e-04 	5.243e-07 	3.256e-05 	3.364e-06 	4.036e-10 	8.313e-09 
0.75375 	11.33960 	5.086e-07 	9.848e-05 	4.995e-07 	4.613e-05 	2.955e-06 	3.872e-10 	7.806e-09 
0.77385 	11.64199 	4.798e-07 	8.491e-05 	4.711e-07 	5.953e-05 	2.583e-06 	3.780e-10 	7.377e-09 
0.79395 	11.94438 	4.513e-07 	7.220e-05 	4.427e-07 	7.205e-05 	2.264e-06 	3.766e-10 	7.011e-09 
0.81405 	12.24677 	4.246e-07 	6.067e-05 	4.160e-07 	8.337e-05 	1.998e-06 	3.832e-10 	6.698e-09 
0.83415 	12.54916 	4.006e-07 	5.049e-05 	3.920e-07 	9.331e-05 	1.780e-06 	3.980e-10 	6.434e-09 
0.85425 	12.85155 	3.797e-07 	4.173e-05 	3.711e-07 	1.018e-04 	1.606e-06 	4.213e-10 	6.213e-09 
0.87435 	13.15394 	3.620e-07 	3.437e-05 	3.533e-07 	1.090e-04 	1.468e-06 	4.529e-10 	6.032e-09 
0.89445 	13.45633 	3.475e-07 	2.834e-05 	3.386e-07 	1.148e-04 	1.361e-06 	4.920e-10 	5.887e-09 
0.91455 	13.75872 	3.358e-07 	2.353e-05 	3.269e-07 	1.194e-04 	1.278e-06 	5.368e-10 	5.772e-09 
0.93465 	14.06111 	3.266e-07 	1.978e-05 	3.176e-07 	1.230e-04 	1.216e-06 	5.848e-10 	5.684e-09 
0.95475 	14.36350 	3.196e-07 	1.693e-05 	3.106e-07 	1.257e-04 	1.170e-06 	6.327e-10 	5.617e-09 
0.97485 	14.66589 	3.144e-07 	1.479e-05 	3.053e-07 	1.277e-04 	1.136e-06 	6.775e-10 	5.567e-09 
0.99495 	14.96828 	3.106e-07 	1.323e-05 	3.014e-07 	1.292e-04 	1.111e-06 	7.170e-10 	5.530e-09 
1.01505 	15.27067 	3.078e-07 	1.209e-05 	2.986e-07 	1.303e-04 	1.093e-06 	7.500e-10 	5.504e-09 
1.03515 	15.57306 	3.058e-07 	1.128e-05 	2.966e-07 	1.311e-04 	1.080e-06 	7.764e-10 	5.485e-09 
1.05525 	15.87544 	3.044e-07 	1.070e-05 	2.952e-07 	1.316e-04 	1.071e-06 	7.967e-10 	5.472e-09 
