n = 8.0e+03, Tgas =  22.5, Tdust =  22.5, Go = 10000.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.12406 	1.396e-04 	1.942e-09 	1.394e-04 	2.804e-13 	3.362e-04 	7.128e-18 	1.715e-14 
0.03015 	0.37217 	1.394e-04 	4.198e-09 	1.393e-04 	6.805e-13 	3.359e-04 	1.760e-17 	2.906e-14 
0.05025 	0.62029 	1.398e-04 	9.034e-09 	1.397e-04 	1.532e-12 	3.368e-04 	4.117e-17 	4.793e-14 
0.07035 	0.86840 	1.403e-04 	1.933e-08 	1.403e-04 	3.284e-12 	3.382e-04 	9.340e-17 	7.744e-14 
0.09045 	1.11651 	1.410e-04 	4.116e-08 	1.409e-04 	6.816e-12 	3.398e-04 	2.095e-16 	1.232e-13 
0.11055 	1.36463 	1.415e-04 	8.729e-08 	1.414e-04 	1.385e-11 	3.412e-04 	4.704e-16 	1.935e-13 
0.13065 	1.61274 	1.418e-04 	1.845e-07 	1.418e-04 	2.777e-11 	3.423e-04 	1.064e-15 	3.012e-13 
0.15075 	1.86086 	1.420e-04 	3.889e-07 	1.419e-04 	5.529e-11 	3.431e-04 	2.430e-15 	4.660e-13 
0.17085 	2.10897 	1.418e-04 	8.164e-07 	1.417e-04 	1.100e-10 	3.437e-04 	5.597e-15 	7.187e-13 
0.19095 	2.35709 	1.411e-04 	1.702e-06 	1.410e-04 	2.197e-10 	3.442e-04 	1.298e-14 	1.108e-12 
0.21105 	2.60520 	1.394e-04 	3.505e-06 	1.394e-04 	4.427e-10 	3.445e-04 	3.024e-14 	1.716e-12 
0.23115 	2.85332 	1.360e-04 	7.049e-06 	1.360e-04 	9.012e-10 	3.448e-04 	7.070e-14 	2.690e-12 
0.25125 	3.10143 	1.296e-04 	1.359e-05 	1.296e-04 	1.852e-09 	3.453e-04 	1.661e-13 	4.319e-12 
0.27135 	3.34954 	1.190e-04 	2.447e-05 	1.190e-04 	3.816e-09 	3.458e-04 	3.950e-13 	7.222e-12 
0.29145 	3.59766 	1.036e-04 	4.015e-05 	1.036e-04 	7.811e-09 	3.466e-04 	9.647e-13 	1.276e-11 
0.31155 	3.84577 	8.483e-05 	5.932e-05 	8.479e-05 	1.571e-08 	3.475e-04 	2.469e-12 	2.398e-11 
0.33165 	4.09389 	6.519e-05 	7.935e-05 	6.515e-05 	3.086e-08 	3.484e-04 	6.729e-12 	4.758e-11 
0.35175 	4.34200 	4.717e-05 	9.772e-05 	4.712e-05 	5.911e-08 	3.493e-04 	1.953e-11 	9.837e-11 
0.37185 	4.59012 	3.222e-05 	1.129e-04 	3.217e-05 	1.106e-07 	3.500e-04 	5.939e-11 	2.084e-10 
0.39195 	4.83823 	2.078e-05 	1.245e-04 	2.074e-05 	2.027e-07 	3.505e-04 	1.837e-10 	4.443e-10 
0.41205 	5.08635 	1.266e-05 	1.327e-04 	1.261e-05 	3.655e-07 	3.508e-04 	5.567e-10 	9.316e-10 
0.43215 	5.33446 	7.322e-06 	1.378e-04 	7.274e-06 	6.541e-07 	3.507e-04 	1.579e-09 	1.868e-09 
0.45225 	5.58257 	4.106e-06 	1.406e-04 	4.059e-06 	1.186e-06 	3.503e-04 	4.010e-09 	3.495e-09 
0.47235 	5.83069 	2.337e-06 	1.413e-04 	2.295e-06 	2.250e-06 	3.492e-04 	8.887e-09 	6.053e-09 
0.49245 	6.07880 	1.439e-06 	1.399e-04 	1.405e-06 	4.520e-06 	3.467e-04 	1.714e-08 	9.800e-09 
0.51255 	6.32692 	1.004e-06 	1.354e-04 	9.782e-07 	9.396e-06 	3.413e-04 	2.921e-08 	1.513e-08 
0.53265 	6.57503 	7.809e-07 	1.256e-04 	7.610e-07 	1.933e-05 	3.301e-04 	4.528e-08 	2.265e-08 
0.55275 	6.82315 	6.370e-07 	1.079e-04 	6.211e-07 	3.701e-05 	3.095e-04 	6.627e-08 	3.312e-08 
0.57285 	7.07126 	5.195e-07 	8.286e-05 	5.062e-07 	6.197e-05 	2.780e-04 	9.528e-08 	4.718e-08 
0.59295 	7.31937 	4.224e-07 	5.697e-05 	4.106e-07 	8.772e-05 	2.382e-04 	1.364e-07 	6.493e-08 
0.61305 	7.56749 	3.569e-07 	3.859e-05 	3.458e-07 	1.060e-04 	1.921e-04 	1.827e-07 	8.431e-08 
0.63315 	7.81560 	3.325e-07 	3.177e-05 	3.217e-07 	1.128e-04 	1.393e-04 	1.926e-07 	9.746e-08 
0.65325 	8.06372 	3.578e-07 	3.887e-05 	3.471e-07 	1.057e-04 	9.067e-05 	1.288e-07 	9.481e-08 
0.67335 	8.31183 	4.287e-07 	6.095e-05 	4.180e-07 	8.379e-05 	5.877e-05 	5.843e-08 	8.030e-08 
0.69345 	8.55995 	5.155e-07 	8.957e-05 	5.042e-07 	5.534e-05 	3.971e-05 	2.482e-08 	6.290e-08 
0.71355 	8.80806 	5.861e-07 	1.147e-04 	5.729e-07 	3.035e-05 	2.702e-05 	1.120e-08 	4.716e-08 
0.73365 	9.05618 	6.159e-07 	1.307e-04 	5.990e-07 	1.439e-05 	1.768e-05 	5.273e-09 	3.466e-08 
0.75375 	9.30429 	6.103e-07 	1.376e-04 	5.890e-07 	7.585e-06 	1.130e-05 	2.567e-09 	2.559e-08 
