n = 1.0e+04, Tgas =  22.5, Tdust =  22.5, Go = 10000.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.15507 	1.395e-04 	2.708e-09 	1.394e-04 	4.476e-13 	3.361e-04 	1.192e-17 	1.941e-14 
0.03015 	0.46521 	1.398e-04 	7.073e-09 	1.397e-04 	1.272e-12 	3.368e-04 	3.494e-17 	3.663e-14 
0.05025 	0.77536 	1.405e-04 	1.831e-08 	1.404e-04 	3.314e-12 	3.385e-04 	9.669e-17 	6.684e-14 
0.07035 	1.08550 	1.412e-04 	4.704e-08 	1.411e-04 	8.212e-12 	3.404e-04 	2.630e-16 	1.190e-13 
0.09045 	1.39564 	1.417e-04 	1.202e-07 	1.417e-04 	1.977e-11 	3.419e-04 	7.198e-16 	2.082e-13 
0.11055 	1.70579 	1.420e-04 	3.056e-07 	1.420e-04 	4.694e-11 	3.430e-04 	2.001e-15 	3.600e-13 
0.13065 	2.01593 	1.419e-04 	7.726e-07 	1.418e-04 	1.112e-10 	3.438e-04 	5.648e-15 	6.186e-13 
0.15075 	2.32607 	1.409e-04 	1.934e-06 	1.409e-04 	2.658e-10 	3.443e-04 	1.612e-14 	1.062e-12 
0.17085 	2.63622 	1.383e-04 	4.735e-06 	1.382e-04 	6.452e-10 	3.447e-04 	4.626e-14 	1.841e-12 
0.19095 	2.94636 	1.321e-04 	1.105e-05 	1.321e-04 	1.593e-09 	3.452e-04 	1.331e-13 	3.274e-12 
0.21105 	3.25650 	1.200e-04 	2.348e-05 	1.199e-04 	3.961e-09 	3.458e-04 	3.864e-13 	6.149e-12 
0.23115 	3.56664 	1.005e-04 	4.332e-05 	1.005e-04 	9.732e-09 	3.468e-04 	1.158e-12 	1.256e-11 
0.25125 	3.87679 	7.643e-05 	6.790e-05 	7.639e-05 	2.313e-08 	3.479e-04 	3.739e-12 	2.819e-11 
0.27135 	4.18693 	5.272e-05 	9.206e-05 	5.269e-05 	5.266e-08 	3.491e-04 	1.337e-11 	6.837e-11 
0.29145 	4.49707 	3.320e-05 	1.119e-04 	3.316e-05 	1.148e-07 	3.500e-04 	5.226e-11 	1.739e-10 
0.31155 	4.80722 	1.910e-05 	1.262e-04 	1.906e-05 	2.415e-07 	3.506e-04 	2.120e-10 	4.478e-10 
0.33165 	5.11736 	1.004e-05 	1.352e-04 	9.997e-06 	4.946e-07 	3.508e-04 	8.249e-10 	1.117e-09 
0.35175 	5.42750 	4.889e-06 	1.399e-04 	4.851e-06 	1.012e-06 	3.505e-04 	2.807e-09 	2.555e-09 
0.37185 	5.73765 	2.343e-06 	1.413e-04 	2.309e-06 	2.186e-06 	3.493e-04 	7.782e-09 	5.196e-09 
0.39195 	6.04779 	1.233e-06 	1.394e-04 	1.207e-06 	5.185e-06 	3.461e-04 	1.733e-08 	9.511e-09 
0.41205 	6.35793 	7.807e-07 	1.321e-04 	7.612e-07 	1.289e-05 	3.375e-04 	3.201e-08 	1.625e-08 
0.43215 	6.66807 	5.720e-07 	1.147e-04 	5.574e-07 	3.028e-05 	3.175e-04 	5.222e-08 	2.658e-08 
0.45225 	6.97822 	4.370e-07 	8.506e-05 	4.254e-07 	5.974e-05 	2.811e-04 	8.141e-08 	4.168e-08 
0.47235 	7.28836 	3.361e-07 	5.270e-05 	3.260e-07 	9.185e-05 	2.309e-04 	1.268e-07 	6.187e-08 
0.49245 	7.59850 	2.789e-07 	3.281e-05 	2.694e-07 	1.116e-04 	1.703e-04 	1.738e-07 	8.284e-08 
0.51255 	7.90865 	2.775e-07 	3.202e-05 	2.682e-07 	1.124e-04 	1.040e-04 	1.418e-07 	8.877e-08 
0.53265 	8.21879 	3.371e-07 	5.450e-05 	3.280e-07 	9.009e-05 	5.834e-05 	5.595e-08 	7.420e-08 
0.55275 	8.52893 	4.238e-07 	9.018e-05 	4.142e-07 	5.471e-05 	3.478e-05 	1.835e-08 	5.432e-08 
0.57285 	8.83908 	4.885e-07 	1.203e-04 	4.769e-07 	2.486e-05 	2.097e-05 	6.637e-09 	3.726e-08 
0.59295 	9.14922 	4.994e-07 	1.355e-04 	4.835e-07 	9.803e-06 	1.187e-05 	2.542e-09 	2.502e-08 
0.61305 	9.45936 	4.867e-07 	1.399e-04 	4.672e-07 	5.398e-06 	6.956e-06 	1.071e-09 	1.732e-08 
0.63315 	9.76950 	4.825e-07 	1.408e-04 	4.621e-07 	4.418e-06 	4.731e-06 	5.545e-10 	1.291e-08 
0.65325 	10.07965 	4.899e-07 	1.402e-04 	4.707e-07 	4.937e-06 	3.754e-06 	3.634e-10 	1.047e-08 
0.67335 	10.38979 	5.062e-07 	1.378e-04 	4.898e-07 	7.230e-06 	3.359e-06 	2.922e-10 	9.099e-09 
0.69345 	10.69993 	5.212e-07 	1.316e-04 	5.082e-07 	1.316e-05 	3.186e-06 	2.697e-10 	8.287e-09 
0.71355 	11.01008 	5.174e-07 	1.204e-04 	5.070e-07 	2.411e-05 	2.945e-06 	2.592e-10 	7.716e-09 
0.73365 	11.32022 	4.968e-07 	1.065e-04 	4.876e-07 	3.768e-05 	2.610e-06 	2.479e-10 	7.225e-09 
0.75375 	11.63036 	4.696e-07 	9.217e-05 	4.610e-07 	5.160e-05 	2.274e-06 	2.389e-10 	6.800e-09 
0.77385 	11.94051 	4.413e-07 	7.856e-05 	4.330e-07 	6.483e-05 	1.977e-06 	2.342e-10 	6.433e-09 
0.79395 	12.25065 	4.143e-07 	6.609e-05 	4.061e-07 	7.689e-05 	1.728e-06 	2.342e-10 	6.118e-09 
0.81405 	12.56079 	3.897e-07 	5.500e-05 	3.815e-07 	8.758e-05 	1.523e-06 	2.393e-10 	5.850e-09 
0.83415 	12.87093 	3.680e-07 	4.537e-05 	3.597e-07 	9.680e-05 	1.359e-06 	2.497e-10 	5.626e-09 
0.85425 	13.18108 	3.495e-07 	3.723e-05 	3.411e-07 	1.046e-04 	1.229e-06 	2.655e-10 	5.443e-09 
0.87435 	13.49122 	3.341e-07 	3.051e-05 	3.257e-07 	1.109e-04 	1.128e-06 	2.862e-10 	5.297e-09 
0.89445 	13.80136 	3.216e-07 	2.513e-05 	3.132e-07 	1.160e-04 	1.051e-06 	3.111e-10 	5.182e-09 
0.91455 	14.11151 	3.119e-07 	2.091e-05 	3.033e-07 	1.199e-04 	9.926e-07 	3.384e-10 	5.093e-09 
0.93465 	14.42165 	3.044e-07 	1.770e-05 	2.958e-07 	1.229e-04 	9.495e-07 	3.662e-10 	5.027e-09 
0.95475 	14.73179 	2.989e-07 	1.530e-05 	2.902e-07 	1.252e-04 	9.180e-07 	3.927e-10 	4.977e-09 
0.97485 	15.04194 	2.948e-07 	1.354e-05 	2.861e-07 	1.268e-04 	8.952e-07 	4.163e-10 	4.941e-09 
0.99495 	15.35208 	2.918e-07 	1.228e-05 	2.831e-07 	1.280e-04 	8.789e-07 	4.361e-10 	4.915e-09 
1.01505 	15.66222 	2.897e-07 	1.138e-05 	2.810e-07 	1.288e-04 	8.674e-07 	4.519e-10 	4.897e-09 
1.03515 	15.97236 	2.882e-07 	1.074e-05 	2.795e-07 	1.294e-04 	8.593e-07 	4.641e-10 	4.884e-09 
1.05525 	16.28251 	2.872e-07 	1.029e-05 	2.784e-07 	1.298e-04 	8.536e-07 	4.732e-10 	4.875e-09 
1.07535 	16.59265 	2.864e-07 	9.982e-06 	2.777e-07 	1.301e-04 	8.496e-07 	4.798e-10 	4.868e-09 
1.09545 	16.90279 	2.859e-07 	9.766e-06 	2.772e-07 	1.303e-04 	8.469e-07 	4.846e-10 	4.864e-09 
1.11555 	17.21294 	2.856e-07 	9.616e-06 	2.768e-07 	1.304e-04 	8.450e-07 	4.879e-10 	4.861e-09 
1.13565 	17.52308 	2.853e-07 	9.512e-06 	2.766e-07 	1.305e-04 	8.437e-07 	4.903e-10 	4.859e-09 
1.15575 	17.83322 	2.852e-07 	9.441e-06 	2.764e-07 	1.306e-04 	8.428e-07 	4.920e-10 	4.857e-09 
1.17585 	18.14337 	2.851e-07 	9.391e-06 	2.763e-07 	1.306e-04 	8.422e-07 	4.931e-10 	4.856e-09 
1.19595 	18.45351 	2.850e-07 	9.357e-06 	2.762e-07 	1.306e-04 	8.417e-07 	4.939e-10 	4.856e-09 
1.21605 	18.76365 	2.849e-07 	9.333e-06 	2.761e-07 	1.307e-04 	8.414e-07 	4.945e-10 	4.855e-09 
1.23615 	19.07379 	2.849e-07 	9.317e-06 	2.761e-07 	1.307e-04 	8.412e-07 	4.948e-10 	4.855e-09 
1.25625 	19.38394 	2.849e-07 	9.306e-06 	2.761e-07 	1.307e-04 	8.411e-07 	4.951e-10 	4.855e-09 
1.27635 	19.69408 	2.848e-07 	9.298e-06 	2.761e-07 	1.307e-04 	8.410e-07 	4.953e-10 	4.855e-09 
1.29645 	20.00422 	2.848e-07 	9.293e-06 	2.760e-07 	1.307e-04 	8.409e-07 	4.954e-10 	4.854e-09 
1.31655 	20.31437 	2.848e-07 	9.289e-06 	2.760e-07 	1.307e-04 	8.409e-07 	4.955e-10 	4.854e-09 
1.33665 	20.62451 	2.848e-07 	9.287e-06 	2.760e-07 	1.307e-04 	8.409e-07 	4.956e-10 	4.854e-09 
1.35675 	20.93465 	2.848e-07 	9.285e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.956e-10 	4.854e-09 
1.37685 	21.24480 	2.848e-07 	9.284e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.956e-10 	4.854e-09 
1.39695 	21.55494 	2.848e-07 	9.283e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.41705 	21.86508 	2.848e-07 	9.282e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.43715 	22.17522 	2.848e-07 	9.282e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.45725 	22.48537 	2.848e-07 	9.282e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.47735 	22.79551 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.49745 	23.10565 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.51755 	23.41580 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.53765 	23.72594 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.55775 	24.03608 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.57785 	24.34623 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.59795 	24.65637 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.61805 	24.96651 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.63815 	25.27665 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.65825 	25.58680 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.67835 	25.89694 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.69845 	26.20708 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.71855 	26.51723 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.73865 	26.82737 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.75875 	27.13751 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.77885 	27.44766 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.79895 	27.75780 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.81905 	28.06794 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.83915 	28.37808 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.85925 	28.68823 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.87935 	28.99837 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.89945 	29.30851 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.91955 	29.61866 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.93965 	29.92880 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.95975 	30.23894 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.97985 	30.54909 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
1.99995 	30.85923 	2.848e-07 	9.281e-06 	2.760e-07 	1.307e-04 	8.408e-07 	4.957e-10 	4.854e-09 
