n = 1.0e+04, Tgas =  23.8, Tdust =  23.8, Go = 10000.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.15895 	1.396e-04 	2.730e-09 	1.395e-04 	4.774e-13 	3.364e-04 	1.292e-17 	2.040e-14 
0.03015 	0.47684 	1.399e-04 	7.308e-09 	1.398e-04 	1.388e-12 	3.372e-04 	3.874e-17 	3.882e-14 
0.05025 	0.79474 	1.406e-04 	1.937e-08 	1.406e-04 	3.689e-12 	3.390e-04 	1.097e-16 	7.156e-14 
0.07035 	1.11264 	1.414e-04 	5.092e-08 	1.413e-04 	9.315e-12 	3.409e-04 	3.058e-16 	1.288e-13 
0.09045 	1.43053 	1.419e-04 	1.331e-07 	1.419e-04 	2.285e-11 	3.424e-04 	8.599e-16 	2.278e-13 
0.11055 	1.74843 	1.421e-04 	3.462e-07 	1.421e-04 	5.534e-11 	3.434e-04 	2.459e-15 	3.986e-13 
0.13065 	2.06633 	1.419e-04 	8.949e-07 	1.418e-04 	1.340e-10 	3.441e-04 	7.141e-15 	6.934e-13 
0.15075 	2.38422 	1.407e-04 	2.286e-06 	1.407e-04 	3.280e-10 	3.446e-04 	2.095e-14 	1.207e-12 
0.17085 	2.70212 	1.375e-04 	5.682e-06 	1.374e-04 	8.168e-10 	3.450e-04 	6.179e-14 	2.127e-12 
0.19095 	3.02002 	1.300e-04 	1.332e-05 	1.300e-04 	2.068e-09 	3.455e-04 	1.828e-13 	3.870e-12 
0.21105 	3.33791 	1.157e-04 	2.796e-05 	1.156e-04 	5.255e-09 	3.462e-04 	5.485e-13 	7.513e-12 
0.23115 	3.65581 	9.397e-05 	5.008e-05 	9.394e-05 	1.309e-08 	3.472e-04 	1.722e-12 	1.601e-11 
0.25125 	3.97371 	6.880e-05 	7.572e-05 	6.877e-05 	3.137e-08 	3.484e-04 	5.912e-12 	3.758e-11 
0.27135 	4.29160 	4.555e-05 	9.940e-05 	4.551e-05 	7.170e-08 	3.495e-04 	2.260e-11 	9.484e-11 
0.29145 	4.60950 	2.740e-05 	1.178e-04 	2.736e-05 	1.569e-07 	3.503e-04 	9.325e-11 	2.487e-10 
0.31155 	4.92740 	1.497e-05 	1.303e-04 	1.493e-05 	3.316e-07 	3.507e-04 	3.880e-10 	6.506e-10 
0.33165 	5.24529 	7.454e-06 	1.377e-04 	7.416e-06 	6.865e-07 	3.507e-04 	1.483e-09 	1.608e-09 
0.35175 	5.56319 	3.494e-06 	1.409e-04 	3.458e-06 	1.453e-06 	3.501e-04 	4.730e-09 	3.560e-09 
0.37185 	5.88109 	1.688e-06 	1.409e-04 	1.658e-06 	3.347e-06 	3.481e-04 	1.198e-08 	6.971e-09 
0.39195 	6.19898 	9.516e-07 	1.366e-04 	9.294e-07 	8.394e-06 	3.426e-04 	2.438e-08 	1.244e-08 
0.41205 	6.51688 	6.489e-07 	1.243e-04 	6.327e-07 	2.097e-05 	3.285e-04 	4.210e-08 	2.101e-08 
0.43215 	6.83478 	4.870e-07 	9.932e-05 	4.745e-07 	4.609e-05 	2.990e-04 	6.667e-08 	3.397e-08 
0.45225 	7.15267 	3.699e-07 	6.548e-05 	3.594e-07 	8.003e-05 	2.527e-04 	1.045e-07 	5.215e-08 
0.47235 	7.47057 	2.929e-07 	3.871e-05 	2.833e-07 	1.069e-04 	1.947e-04 	1.560e-07 	7.384e-08 
0.49245 	7.78847 	2.692e-07 	3.015e-05 	2.599e-07 	1.155e-04 	1.263e-04 	1.621e-07 	8.714e-08 
0.51255 	8.10636 	3.095e-07 	4.479e-05 	3.005e-07 	1.008e-04 	6.996e-05 	7.824e-08 	7.793e-08 
0.53265 	8.42426 	3.936e-07 	7.910e-05 	3.844e-07 	6.642e-05 	4.022e-05 	2.512e-08 	5.837e-08 
0.55275 	8.74216 	4.698e-07 	1.129e-04 	4.592e-07 	3.251e-05 	2.404e-05 	8.650e-09 	4.016e-08 
0.57285 	9.06005 	4.958e-07 	1.329e-04 	4.815e-07 	1.247e-05 	1.367e-05 	3.223e-09 	2.668e-08 
0.59295 	9.37795 	4.838e-07 	1.393e-04 	4.654e-07 	6.039e-06 	7.703e-06 	1.289e-09 	1.802e-08 
0.61305 	9.69585 	4.766e-07 	1.408e-04 	4.566e-07 	4.507e-06 	4.988e-06 	6.237e-10 	1.305e-08 
0.63315 	10.01374 	4.816e-07 	1.405e-04 	4.624e-07 	4.740e-06 	3.810e-06 	3.851e-10 	1.033e-08 
0.65325 	10.33164 	4.968e-07 	1.384e-04 	4.801e-07 	6.664e-06 	3.331e-06 	2.971e-10 	8.837e-09 
0.67335 	10.64954 	5.136e-07 	1.330e-04 	5.003e-07 	1.198e-05 	3.140e-06 	2.687e-10 	7.974e-09 
0.69345 	10.96743 	5.129e-07 	1.221e-04 	5.024e-07 	2.267e-05 	2.919e-06 	2.579e-10 	7.396e-09 
0.71355 	11.28533 	4.933e-07 	1.080e-04 	4.842e-07 	3.657e-05 	2.590e-06 	2.468e-10 	6.910e-09 
0.73365 	11.60322 	4.661e-07 	9.333e-05 	4.576e-07 	5.103e-05 	2.254e-06 	2.378e-10 	6.490e-09 
0.75375 	11.92112 	4.374e-07 	7.931e-05 	4.292e-07 	6.481e-05 	1.955e-06 	2.332e-10 	6.128e-09 
0.77385 	12.23902 	4.099e-07 	6.647e-05 	4.018e-07 	7.737e-05 	1.704e-06 	2.336e-10 	5.819e-09 
0.79395 	12.55691 	3.850e-07 	5.508e-05 	3.768e-07 	8.847e-05 	1.499e-06 	2.393e-10 	5.557e-09 
0.81405 	12.87481 	3.631e-07 	4.523e-05 	3.549e-07 	9.801e-05 	1.335e-06 	2.505e-10 	5.340e-09 
0.83415 	13.19271 	3.444e-07 	3.694e-05 	3.362e-07 	1.060e-04 	1.207e-06 	2.674e-10 	5.163e-09 
0.85425 	13.51060 	3.290e-07 	3.015e-05 	3.207e-07 	1.125e-04 	1.107e-06 	2.895e-10 	5.022e-09 
0.87435 	13.82850 	3.167e-07 	2.474e-05 	3.083e-07 	1.176e-04 	1.032e-06 	3.158e-10 	4.913e-09 
0.89445 	14.14640 	3.072e-07 	2.056e-05 	2.987e-07 	1.216e-04 	9.758e-07 	3.444e-10 	4.830e-09 
0.91455 	14.46429 	2.999e-07 	1.739e-05 	2.914e-07 	1.246e-04 	9.344e-07 	3.734e-10 	4.767e-09 
0.93465 	14.78219 	2.946e-07 	1.506e-05 	2.860e-07 	1.268e-04 	9.044e-07 	4.005e-10 	4.721e-09 
0.95475 	15.10009 	2.907e-07 	1.337e-05 	2.820e-07 	1.284e-04 	8.830e-07 	4.244e-10 	4.689e-09 
