n = 1.3e+04, Tgas =  23.8, Tdust =  23.8, Go = 10000.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.20159 	1.398e-04 	4.005e-09 	1.397e-04 	7.902e-13 	3.368e-04 	2.260e-17 	2.341e-14 
0.03015 	0.60478 	1.405e-04 	1.385e-08 	1.405e-04 	2.837e-12 	3.387e-04 	8.554e-17 	5.159e-14 
0.05025 	1.00796 	1.415e-04 	4.723e-08 	1.414e-04 	9.242e-12 	3.411e-04 	3.108e-16 	1.091e-13 
0.07035 	1.41115 	1.421e-04 	1.596e-07 	1.420e-04 	2.879e-11 	3.428e-04 	1.147e-15 	2.244e-13 
0.09045 	1.81434 	1.421e-04 	5.349e-07 	1.421e-04 	8.861e-11 	3.439e-04 	4.358e-15 	4.543e-13 
0.11055 	2.21752 	1.412e-04 	1.770e-06 	1.412e-04 	2.762e-10 	3.446e-04 	1.693e-14 	9.158e-13 
0.13065 	2.62071 	1.375e-04 	5.649e-06 	1.375e-04 	8.855e-10 	3.451e-04 	6.628e-14 	1.871e-12 
0.15075 	3.02389 	1.270e-04 	1.638e-05 	1.270e-04 	2.915e-09 	3.457e-04 	2.593e-13 	4.029e-12 
0.17085 	3.42708 	1.049e-04 	3.890e-05 	1.049e-04 	9.528e-09 	3.468e-04 	1.035e-12 	9.754e-12 
0.19095 	3.83027 	7.388e-05 	7.055e-05 	7.385e-05 	2.944e-08 	3.482e-04 	4.569e-12 	2.761e-11 
0.21105 	4.23345 	4.415e-05 	1.008e-04 	4.412e-05 	8.382e-08 	3.496e-04 	2.396e-11 	8.865e-11 
0.23115 	4.63664 	2.260e-05 	1.227e-04 	2.257e-05 	2.209e-07 	3.505e-04 	1.428e-10 	3.020e-10 
0.25125 	5.03982 	9.888e-06 	1.353e-04 	9.857e-06 	5.498e-07 	3.508e-04 	8.286e-10 	9.984e-10 
0.27135 	5.44301 	3.791e-06 	1.407e-04 	3.761e-06 	1.368e-06 	3.502e-04 	3.811e-09 	2.860e-09 
0.29145 	5.84620 	1.456e-06 	1.406e-04 	1.432e-06 	3.839e-06 	3.477e-04 	1.216e-08 	6.750e-09 
0.31155 	6.24938 	7.029e-07 	1.330e-04 	6.865e-07 	1.222e-05 	3.385e-04 	2.753e-08 	1.387e-08 
0.33165 	6.65257 	4.441e-07 	1.095e-04 	4.324e-07 	3.596e-05 	3.113e-04 	5.025e-08 	2.630e-08 
0.35175 	7.05575 	3.074e-07 	6.815e-05 	2.982e-07 	7.743e-05 	2.569e-04 	8.735e-08 	4.592e-08 
0.37185 	7.45894 	2.295e-07 	3.461e-05 	2.212e-07 	1.110e-04 	1.816e-04 	1.429e-07 	7.029e-08 
0.39195 	7.86213 	2.231e-07 	3.117e-05 	2.150e-07 	1.145e-04 	9.502e-05 	1.136e-07 	7.716e-08 
0.41205 	8.26531 	2.909e-07 	6.475e-05 	2.831e-07 	8.086e-05 	4.368e-05 	2.917e-08 	5.721e-08 
0.43215 	8.66850 	3.720e-07 	1.095e-04 	3.634e-07 	3.605e-05 	2.200e-05 	6.952e-09 	3.573e-08 
0.45225 	9.07168 	3.959e-07 	1.347e-04 	3.836e-07 	1.081e-05 	1.052e-05 	1.911e-09 	2.099e-08 
0.47235 	9.47487 	3.814e-07 	1.405e-04 	3.656e-07 	4.975e-06 	5.186e-06 	6.077e-10 	1.283e-08 
0.49245 	9.87805 	3.796e-07 	1.411e-04 	3.635e-07 	4.323e-06 	3.292e-06 	2.757e-10 	8.936e-09 
0.51255 	10.28124 	3.927e-07 	1.391e-04 	3.786e-07 	6.116e-06 	2.658e-06 	1.838e-10 	7.130e-09 
0.53265 	10.68443 	4.094e-07 	1.321e-04 	3.988e-07 	1.288e-05 	2.455e-06 	1.611e-10 	6.240e-09 
0.55275 	11.08761 	4.031e-07 	1.169e-04 	3.949e-07 	2.787e-05 	2.199e-06 	1.533e-10 	5.684e-09 
0.57285 	11.49080 	3.782e-07 	9.832e-05 	3.709e-07 	4.620e-05 	1.858e-06 	1.460e-10 	5.229e-09 
0.59295 	11.89398 	3.491e-07 	8.022e-05 	3.421e-07 	6.399e-05 	1.552e-06 	1.425e-10 	4.854e-09 
0.61305 	12.29717 	3.215e-07 	6.401e-05 	3.145e-07 	7.984e-05 	1.305e-06 	1.440e-10 	4.547e-09 
0.63315 	12.70036 	2.972e-07 	5.017e-05 	2.902e-07 	9.328e-05 	1.115e-06 	1.510e-10 	4.299e-09 
0.65325 	13.10354 	2.771e-07 	3.886e-05 	2.700e-07 	1.042e-04 	9.736e-07 	1.638e-10 	4.106e-09 
0.67335 	13.50673 	2.612e-07 	3.000e-05 	2.539e-07 	1.127e-04 	8.711e-07 	1.823e-10 	3.961e-09 
0.69345 	13.90991 	2.492e-07 	2.337e-05 	2.418e-07 	1.190e-04 	7.988e-07 	2.053e-10 	3.855e-09 
0.71355 	14.31310 	2.406e-07 	1.861e-05 	2.331e-07 	1.235e-04 	7.491e-07 	2.303e-10 	3.780e-09 
0.73365 	14.71629 	2.346e-07 	1.533e-05 	2.271e-07 	1.266e-04 	7.157e-07 	2.546e-10 	3.730e-09 
0.75375 	15.11947 	2.306e-07 	1.314e-05 	2.231e-07 	1.286e-04 	6.938e-07 	2.756e-10 	3.696e-09 
0.77385 	15.52266 	2.281e-07 	1.172e-05 	2.204e-07 	1.299e-04 	6.797e-07 	2.921e-10 	3.674e-09 
0.79395 	15.92584 	2.264e-07 	1.081e-05 	2.188e-07 	1.308e-04 	6.707e-07 	3.042e-10 	3.660e-09 
0.81405 	16.32903 	2.253e-07 	1.024e-05 	2.177e-07 	1.313e-04 	6.651e-07 	3.125e-10 	3.651e-09 
0.83415 	16.73221 	2.247e-07 	9.878e-06 	2.170e-07 	1.317e-04 	6.616e-07 	3.180e-10 	3.646e-09 
0.85425 	17.13540 	2.243e-07 	9.655e-06 	2.166e-07 	1.319e-04 	6.594e-07 	3.215e-10 	3.642e-09 
0.87435 	17.53859 	2.240e-07 	9.516e-06 	2.164e-07 	1.320e-04 	6.580e-07 	3.238e-10 	3.640e-09 
0.89445 	17.94177 	2.239e-07 	9.431e-06 	2.162e-07 	1.321e-04 	6.572e-07 	3.252e-10 	3.639e-09 
0.91455 	18.34496 	2.238e-07 	9.378e-06 	2.161e-07 	1.321e-04 	6.567e-07 	3.261e-10 	3.638e-09 
0.93465 	18.74814 	2.237e-07 	9.345e-06 	2.160e-07 	1.321e-04 	6.563e-07 	3.266e-10 	3.638e-09 
0.95475 	19.15133 	2.237e-07 	9.325e-06 	2.160e-07 	1.322e-04 	6.561e-07 	3.269e-10 	3.637e-09 
0.97485 	19.55452 	2.237e-07 	9.312e-06 	2.160e-07 	1.322e-04 	6.560e-07 	3.272e-10 	3.637e-09 
0.99495 	19.95770 	2.236e-07 	9.305e-06 	2.160e-07 	1.322e-04 	6.559e-07 	3.273e-10 	3.637e-09 
1.01505 	20.36089 	2.236e-07 	9.300e-06 	2.160e-07 	1.322e-04 	6.559e-07 	3.274e-10 	3.637e-09 
1.03515 	20.76407 	2.236e-07 	9.297e-06 	2.160e-07 	1.322e-04 	6.559e-07 	3.274e-10 	3.637e-09 
1.05525 	21.16726 	2.236e-07 	9.295e-06 	2.160e-07 	1.322e-04 	6.559e-07 	3.274e-10 	3.637e-09 
1.07535 	21.57045 	2.236e-07 	9.294e-06 	2.160e-07 	1.322e-04 	6.558e-07 	3.275e-10 	3.637e-09 
1.09545 	21.97363 	2.236e-07 	9.294e-06 	2.160e-07 	1.322e-04 	6.558e-07 	3.275e-10 	3.637e-09 
1.11555 	22.37682 	2.236e-07 	9.293e-06 	2.160e-07 	1.322e-04 	6.558e-07 	3.275e-10 	3.637e-09 
1.13565 	22.78000 	2.236e-07 	9.293e-06 	2.160e-07 	1.322e-04 	6.558e-07 	3.275e-10 	3.637e-09 
1.15575 	23.18319 	2.236e-07 	9.293e-06 	2.160e-07 	1.322e-04 	6.558e-07 	3.275e-10 	3.637e-09 
1.17585 	23.58638 	2.236e-07 	9.293e-06 	2.160e-07 	1.322e-04 	6.558e-07 	3.275e-10 	3.637e-09 
1.19595 	23.98956 	2.236e-07 	9.293e-06 	2.159e-07 	1.322e-04 	6.558e-07 	3.275e-10 	3.637e-09 
1.21605 	24.39275 	2.236e-07 	9.293e-06 	2.159e-07 	1.322e-04 	6.558e-07 	3.275e-10 	3.637e-09 
1.23615 	24.79593 	2.236e-07 	9.292e-06 	2.159e-07 	1.322e-04 	6.558e-07 	3.275e-10 	3.637e-09 
1.25625 	25.19912 	2.236e-07 	9.292e-06 	2.159e-07 	1.322e-04 	6.558e-07 	3.275e-10 	3.637e-09 
1.27635 	25.60230 	2.236e-07 	9.292e-06 	2.159e-07 	1.322e-04 	6.558e-07 	3.275e-10 	3.637e-09 
1.29645 	26.00549 	2.236e-07 	9.292e-06 	2.159e-07 	1.322e-04 	6.558e-07 	3.275e-10 	3.637e-09 
