n = 9.8e+03, Tgas =  23.8, Tdust =  23.8, Go = 10000.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.15119 	1.396e-04 	2.528e-09 	1.395e-04 	4.296e-13 	3.364e-04 	1.151e-17 	1.984e-14 
0.03015 	0.45358 	1.398e-04 	6.455e-09 	1.397e-04 	1.202e-12 	3.369e-04 	3.307e-17 	3.676e-14 
0.05025 	0.75597 	1.405e-04 	1.634e-08 	1.404e-04 	3.080e-12 	3.386e-04 	8.969e-17 	6.607e-14 
0.07035 	1.05836 	1.412e-04 	4.104e-08 	1.411e-04 	7.496e-12 	3.404e-04 	2.385e-16 	1.161e-13 
0.09045 	1.36075 	1.418e-04 	1.025e-07 	1.417e-04 	1.770e-11 	3.419e-04 	6.363e-16 	2.004e-13 
0.11055 	1.66314 	1.421e-04 	2.549e-07 	1.421e-04 	4.114e-11 	3.431e-04 	1.722e-15 	3.422e-13 
0.13065 	1.96553 	1.420e-04 	6.306e-07 	1.420e-04 	9.524e-11 	3.439e-04 	4.729e-15 	5.802e-13 
0.15075 	2.26792 	1.413e-04 	1.547e-06 	1.413e-04 	2.218e-10 	3.444e-04 	1.313e-14 	9.822e-13 
0.17085 	2.57031 	1.393e-04 	3.732e-06 	1.393e-04 	5.232e-10 	3.448e-04 	3.671e-14 	1.672e-12 
0.19095 	2.87270 	1.346e-04 	8.670e-06 	1.345e-04 	1.255e-09 	3.452e-04 	1.030e-13 	2.901e-12 
0.21105 	3.17509 	1.247e-04 	1.871e-05 	1.247e-04 	3.043e-09 	3.458e-04 	2.908e-13 	5.253e-12 
0.23115 	3.47748 	1.080e-04 	3.575e-05 	1.080e-04 	7.345e-09 	3.466e-04 	8.409e-13 	1.022e-11 
0.25125 	3.77987 	8.557e-05 	5.863e-05 	8.553e-05 	1.729e-08 	3.476e-04 	2.577e-12 	2.174e-11 
0.27135 	4.08226 	6.169e-05 	8.297e-05 	6.165e-05 	3.916e-08 	3.487e-04 	8.653e-12 	5.018e-11 
0.29145 	4.38465 	4.067e-05 	1.044e-04 	4.063e-05 	8.512e-08 	3.497e-04 	3.187e-11 	1.227e-10 
0.31155 	4.68704 	2.460e-05 	1.207e-04 	2.456e-05 	1.783e-07 	3.504e-04 	1.241e-10 	3.079e-10 
0.33165 	4.98943 	1.364e-05 	1.317e-04 	1.360e-05 	3.627e-07 	3.508e-04 	4.796e-10 	7.646e-10 
0.35175 	5.29181 	6.966e-06 	1.381e-04 	6.926e-06 	7.271e-07 	3.507e-04 	1.693e-09 	1.789e-09 
0.37185 	5.59420 	3.393e-06 	1.410e-04 	3.355e-06 	1.495e-06 	3.501e-04 	5.042e-09 	3.776e-09 
0.39195 	5.89659 	1.712e-06 	1.409e-04 	1.681e-06 	3.325e-06 	3.481e-04 	1.218e-08 	7.131e-09 
0.41205 	6.19898 	9.980e-07 	1.369e-04 	9.745e-07 	7.984e-06 	3.431e-04 	2.414e-08 	1.238e-08 
0.43215 	6.50137 	6.931e-07 	1.260e-04 	6.758e-07 	1.920e-05 	3.305e-04 	4.109e-08 	2.042e-08 
0.45225 	6.80376 	5.282e-07 	1.038e-04 	5.149e-07 	4.157e-05 	3.045e-04 	6.417e-08 	3.241e-08 
0.47235 	7.10615 	4.073e-07 	7.211e-05 	3.962e-07 	7.337e-05 	2.628e-04 	9.854e-08 	4.920e-08 
0.49245 	7.40854 	3.211e-07 	4.392e-05 	3.111e-07 	1.016e-04 	2.100e-04 	1.480e-07 	7.006e-08 
0.51255 	7.71093 	2.825e-07 	3.086e-05 	2.728e-07 	1.147e-04 	1.469e-04 	1.759e-07 	8.719e-08 
0.53265 	8.01332 	3.029e-07 	3.752e-05 	2.935e-07 	1.081e-04 	8.637e-05 	1.119e-07 	8.500e-08 
0.55275 	8.31571 	3.773e-07 	6.553e-05 	3.679e-07 	8.000e-05 	5.008e-05 	4.053e-08 	6.774e-08 
0.57285 	8.61810 	4.627e-07 	1.000e-04 	4.525e-07 	4.543e-05 	3.069e-05 	1.420e-08 	4.879e-08 
0.59295 	8.92049 	5.147e-07 	1.258e-04 	5.019e-07 	1.964e-05 	1.856e-05 	5.460e-09 	3.347e-08 
0.61305 	9.22288 	5.148e-07 	1.371e-04 	4.975e-07 	8.305e-06 	1.061e-05 	2.199e-09 	2.275e-08 
0.63315 	9.52527 	5.027e-07 	1.402e-04 	4.824e-07 	5.099e-06 	6.496e-06 	9.942e-10 	1.612e-08 
0.65325 	9.82766 	5.009e-07 	1.408e-04 	4.802e-07 	4.474e-06 	4.609e-06 	5.515e-10 	1.231e-08 
0.67335 	10.13005 	5.102e-07 	1.399e-04 	4.910e-07 	5.229e-06 	3.768e-06 	3.807e-10 	1.017e-08 
0.69345 	10.43244 	5.275e-07 	1.372e-04 	5.112e-07 	7.870e-06 	3.426e-06 	3.158e-10 	8.945e-09 
0.71355 	10.73482 	5.410e-07 	1.305e-04 	5.282e-07 	1.435e-05 	3.257e-06 	2.951e-10 	8.201e-09 
0.73365 	11.03721 	5.348e-07 	1.191e-04 	5.244e-07 	2.555e-05 	3.002e-06 	2.839e-10 	7.655e-09 
0.75375 	11.33960 	5.131e-07 	1.055e-04 	5.038e-07 	3.901e-05 	2.665e-06 	2.721e-10 	7.183e-09 
0.77385 	11.64199 	4.855e-07 	9.161e-05 	4.767e-07 	5.271e-05 	2.332e-06 	2.630e-10 	6.772e-09 
0.79395 	11.94438 	4.569e-07 	7.837e-05 	4.484e-07 	6.571e-05 	2.037e-06 	2.583e-10 	6.417e-09 
0.81405 	12.24677 	4.296e-07 	6.623e-05 	4.212e-07 	7.759e-05 	1.788e-06 	2.587e-10 	6.110e-09 
0.83415 	12.54916 	4.047e-07 	5.539e-05 	3.963e-07 	8.815e-05 	1.583e-06 	2.644e-10 	5.848e-09 
0.85425 	12.85155 	3.827e-07 	4.595e-05 	3.743e-07 	9.730e-05 	1.417e-06 	2.756e-10 	5.629e-09 
0.87435 	13.15394 	3.638e-07 	3.792e-05 	3.553e-07 	1.050e-04 	1.285e-06 	2.924e-10 	5.448e-09 
0.89445 	13.45633 	3.479e-07 	3.125e-05 	3.394e-07 	1.114e-04 	1.181e-06 	3.144e-10 	5.303e-09 
0.91455 	13.75872 	3.351e-07 	2.586e-05 	3.264e-07 	1.166e-04 	1.102e-06 	3.407e-10 	5.187e-09 
0.93465 	14.06111 	3.249e-07 	2.161e-05 	3.162e-07 	1.206e-04 	1.041e-06 	3.699e-10 	5.098e-09 
0.95475 	14.36350 	3.170e-07 	1.833e-05 	3.082e-07 	1.237e-04 	9.955e-07 	3.998e-10 	5.030e-09 
0.97485 	14.66589 	3.111e-07 	1.586e-05 	3.022e-07 	1.260e-04 	9.620e-07 	4.286e-10 	4.979e-09 
0.99495 	14.96828 	3.067e-07 	1.404e-05 	2.978e-07 	1.277e-04 	9.375e-07 	4.545e-10 	4.942e-09 
1.01505 	15.27067 	3.034e-07 	1.270e-05 	2.945e-07 	1.290e-04 	9.198e-07 	4.766e-10 	4.914e-09 
1.03515 	15.57306 	3.011e-07 	1.174e-05 	2.922e-07 	1.299e-04 	9.071e-07 	4.946e-10 	4.895e-09 
1.05525 	15.87544 	2.995e-07 	1.106e-05 	2.905e-07 	1.305e-04 	8.981e-07 	5.086e-10 	4.881e-09 
1.07535 	16.17783 	2.983e-07 	1.057e-05 	2.893e-07 	1.310e-04 	8.918e-07 	5.192e-10 	4.871e-09 
1.09545 	16.48022 	2.975e-07 	1.023e-05 	2.885e-07 	1.313e-04 	8.873e-07 	5.271e-10 	4.864e-09 
1.11555 	16.78261 	2.969e-07 	9.992e-06 	2.879e-07 	1.315e-04 	8.842e-07 	5.328e-10 	4.859e-09 
1.13565 	17.08500 	2.965e-07 	9.824e-06 	2.875e-07 	1.317e-04 	8.820e-07 	5.369e-10 	4.856e-09 
1.15575 	17.38739 	2.962e-07 	9.707e-06 	2.872e-07 	1.318e-04 	8.805e-07 	5.398e-10 	4.853e-09 
1.17585 	17.68978 	2.960e-07 	9.625e-06 	2.870e-07 	1.319e-04 	8.794e-07 	5.418e-10 	4.852e-09 
1.19595 	17.99217 	2.959e-07 	9.568e-06 	2.869e-07 	1.319e-04 	8.786e-07 	5.433e-10 	4.851e-09 
1.21605 	18.29456 	2.958e-07 	9.528e-06 	2.868e-07 	1.319e-04 	8.781e-07 	5.443e-10 	4.850e-09 
1.23615 	18.59695 	2.957e-07 	9.500e-06 	2.867e-07 	1.320e-04 	8.778e-07 	5.450e-10 	4.849e-09 
1.25625 	18.89934 	2.956e-07 	9.481e-06 	2.867e-07 	1.320e-04 	8.775e-07 	5.455e-10 	4.849e-09 
