n = 1.0e+04, Tgas =  25.0, Tdust =  25.0, Go = 10000.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.15895 	1.398e-04 	2.655e-09 	1.397e-04 	4.831e-13 	3.367e-04 	1.320e-17 	2.123e-14 
0.03015 	0.47684 	1.400e-04 	7.110e-09 	1.399e-04 	1.410e-12 	3.374e-04 	3.961e-17 	4.012e-14 
0.05025 	0.79474 	1.407e-04 	1.885e-08 	1.407e-04 	3.752e-12 	3.392e-04 	1.122e-16 	7.367e-14 
0.07035 	1.11264 	1.415e-04 	4.958e-08 	1.414e-04 	9.474e-12 	3.411e-04 	3.131e-16 	1.323e-13 
0.09045 	1.43053 	1.420e-04 	1.296e-07 	1.420e-04 	2.323e-11 	3.426e-04 	8.808e-16 	2.337e-13 
0.11055 	1.74843 	1.422e-04 	3.372e-07 	1.422e-04 	5.622e-11 	3.437e-04 	2.520e-15 	4.086e-13 
0.13065 	2.06633 	1.420e-04 	8.718e-07 	1.420e-04 	1.360e-10 	3.444e-04 	7.320e-15 	7.103e-13 
0.15075 	2.38422 	1.408e-04 	2.228e-06 	1.408e-04 	3.324e-10 	3.448e-04 	2.149e-14 	1.236e-12 
0.17085 	2.70212 	1.377e-04 	5.545e-06 	1.376e-04 	8.264e-10 	3.452e-04 	6.341e-14 	2.174e-12 
0.19095 	3.02002 	1.304e-04 	1.303e-05 	1.304e-04 	2.089e-09 	3.457e-04 	1.878e-13 	3.947e-12 
0.21105 	3.33791 	1.162e-04 	2.746e-05 	1.162e-04 	5.304e-09 	3.464e-04 	5.647e-13 	7.636e-12 
0.23115 	3.65581 	9.466e-05 	4.943e-05 	9.463e-05 	1.321e-08 	3.474e-04 	1.778e-12 	1.620e-11 
0.25125 	3.97371 	6.946e-05 	7.509e-05 	6.943e-05 	3.165e-08 	3.485e-04 	6.119e-12 	3.788e-11 
0.27135 	4.29160 	4.605e-05 	9.892e-05 	4.602e-05 	7.237e-08 	3.496e-04 	2.341e-11 	9.529e-11 
0.29145 	4.60950 	2.772e-05 	1.175e-04 	2.769e-05 	1.584e-07 	3.503e-04 	9.654e-11 	2.494e-10 
0.31155 	4.92740 	1.515e-05 	1.302e-04 	1.511e-05 	3.348e-07 	3.508e-04 	4.010e-10 	6.518e-10 
0.33165 	5.24529 	7.538e-06 	1.376e-04 	7.500e-06 	6.934e-07 	3.508e-04 	1.527e-09 	1.610e-09 
0.35175 	5.56319 	3.532e-06 	1.409e-04 	3.496e-06 	1.468e-06 	3.501e-04 	4.851e-09 	3.561e-09 
0.37185 	5.88109 	1.705e-06 	1.408e-04 	1.676e-06 	3.386e-06 	3.481e-04 	1.222e-08 	6.970e-09 
0.39195 	6.19898 	9.610e-07 	1.365e-04 	9.391e-07 	8.494e-06 	3.425e-04 	2.476e-08 	1.244e-08 
0.41205 	6.51688 	6.548e-07 	1.241e-04 	6.388e-07 	2.119e-05 	3.283e-04 	4.258e-08 	2.098e-08 
0.43215 	6.83478 	4.911e-07 	9.901e-05 	4.787e-07 	4.643e-05 	2.985e-04 	6.725e-08 	3.390e-08 
0.45225 	7.15267 	3.729e-07 	6.521e-05 	3.624e-07 	8.035e-05 	2.520e-04 	1.052e-07 	5.197e-08 
0.47235 	7.47057 	2.956e-07 	3.863e-05 	2.860e-07 	1.070e-04 	1.937e-04 	1.562e-07 	7.337e-08 
0.49245 	7.78847 	2.726e-07 	3.033e-05 	2.632e-07 	1.154e-04 	1.251e-04 	1.606e-07 	8.605e-08 
0.51255 	8.10636 	3.142e-07 	4.525e-05 	3.051e-07 	1.004e-04 	6.921e-05 	7.701e-08 	7.649e-08 
0.53265 	8.42426 	3.992e-07 	7.954e-05 	3.899e-07 	6.602e-05 	3.987e-05 	2.490e-08 	5.710e-08 
0.55275 	8.74216 	4.754e-07 	1.131e-04 	4.648e-07 	3.233e-05 	2.389e-05 	8.665e-09 	3.922e-08 
0.57285 	9.06005 	5.012e-07 	1.329e-04 	4.869e-07 	1.248e-05 	1.362e-05 	3.266e-09 	2.605e-08 
0.59295 	9.37795 	4.892e-07 	1.393e-04 	4.708e-07 	6.093e-06 	7.710e-06 	1.323e-09 	1.760e-08 
0.61305 	9.69585 	4.820e-07 	1.408e-04 	4.621e-07 	4.566e-06 	5.009e-06 	6.465e-10 	1.276e-08 
0.63315 	10.01374 	4.871e-07 	1.404e-04 	4.680e-07 	4.815e-06 	3.833e-06 	4.015e-10 	1.011e-08 
0.65325 	10.33164 	5.025e-07 	1.383e-04 	4.860e-07 	6.788e-06 	3.354e-06 	3.106e-10 	8.647e-09 
0.67335 	10.64954 	5.191e-07 	1.327e-04 	5.060e-07 	1.221e-05 	3.158e-06 	2.809e-10 	7.803e-09 
0.69345 	10.96743 	5.179e-07 	1.218e-04 	5.074e-07 	2.299e-05 	2.929e-06 	2.693e-10 	7.236e-09 
0.71355 	11.28533 	4.978e-07 	1.077e-04 	4.887e-07 	3.693e-05 	2.598e-06 	2.577e-10 	6.760e-09 
0.73365 	11.60322 	4.703e-07 	9.300e-05 	4.617e-07 	5.139e-05 	2.260e-06 	2.487e-10 	6.348e-09 
0.75375 	11.92112 	4.413e-07 	7.899e-05 	4.330e-07 	6.517e-05 	1.962e-06 	2.442e-10 	5.995e-09 
0.77385 	12.23902 	4.135e-07 	6.617e-05 	4.054e-07 	7.772e-05 	1.711e-06 	2.450e-10 	5.693e-09 
0.79395 	12.55691 	3.884e-07 	5.480e-05 	3.802e-07 	8.880e-05 	1.506e-06 	2.515e-10 	5.438e-09 
0.81405 	12.87481 	3.663e-07 	4.499e-05 	3.580e-07 	9.832e-05 	1.343e-06 	2.638e-10 	5.226e-09 
0.83415 	13.19271 	3.475e-07 	3.673e-05 	3.392e-07 	1.063e-04 	1.214e-06 	2.820e-10 	5.054e-09 
0.85425 	13.51060 	3.321e-07 	2.998e-05 	3.236e-07 	1.128e-04 	1.115e-06 	3.058e-10 	4.917e-09 
0.87435 	13.82850 	3.197e-07 	2.460e-05 	3.112e-07 	1.179e-04 	1.040e-06 	3.339e-10 	4.810e-09 
0.89445 	14.14640 	3.101e-07 	2.045e-05 	3.015e-07 	1.218e-04 	9.839e-07 	3.644e-10 	4.729e-09 
0.91455 	14.46429 	3.029e-07 	1.731e-05 	2.942e-07 	1.248e-04 	9.427e-07 	3.953e-10 	4.668e-09 
0.93465 	14.78219 	2.975e-07 	1.500e-05 	2.888e-07 	1.270e-04 	9.128e-07 	4.241e-10 	4.624e-09 
0.95475 	15.10009 	2.936e-07 	1.332e-05 	2.849e-07 	1.285e-04 	8.915e-07 	4.493e-10 	4.592e-09 
0.97485 	15.41798 	2.909e-07 	1.213e-05 	2.821e-07 	1.297e-04 	8.764e-07 	4.702e-10 	4.569e-09 
0.99495 	15.73588 	2.889e-07 	1.129e-05 	2.801e-07 	1.304e-04 	8.659e-07 	4.866e-10 	4.553e-09 
1.01505 	16.05378 	2.875e-07 	1.071e-05 	2.787e-07 	1.310e-04 	8.586e-07 	4.990e-10 	4.542e-09 
1.03515 	16.37167 	2.866e-07 	1.030e-05 	2.778e-07 	1.314e-04 	8.535e-07 	5.081e-10 	4.534e-09 
