n = 1.2e+04, Tgas =  25.0, Tdust =  25.0, Go = 10000.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.18609 	1.398e-04 	3.412e-09 	1.397e-04 	6.752e-13 	3.369e-04 	1.905e-17 	2.316e-14 
0.03015 	0.55826 	1.404e-04 	1.076e-08 	1.403e-04 	2.253e-12 	3.384e-04 	6.631e-17 	4.809e-14 
0.05025 	0.93043 	1.413e-04 	3.350e-08 	1.412e-04 	6.815e-12 	3.406e-04 	2.196e-16 	9.645e-14 
0.07035 	1.30260 	1.420e-04 	1.033e-07 	1.419e-04 	1.962e-11 	3.425e-04 	7.297e-16 	1.886e-13 
0.09045 	1.67477 	1.423e-04 	3.166e-07 	1.422e-04 	5.535e-11 	3.437e-04 	2.482e-15 	3.631e-13 
0.11055 	2.04694 	1.420e-04 	9.623e-07 	1.419e-04 	1.563e-10 	3.445e-04 	8.631e-15 	6.934e-13 
0.13065 	2.41912 	1.402e-04 	2.873e-06 	1.402e-04 	4.492e-10 	3.450e-04 	3.041e-14 	1.327e-12 
0.15075 	2.79129 	1.351e-04 	8.194e-06 	1.351e-04 	1.324e-09 	3.455e-04 	1.076e-13 	2.596e-12 
0.17085 	3.16346 	1.226e-04 	2.097e-05 	1.226e-04 	3.969e-09 	3.461e-04 	3.822e-13 	5.400e-12 
0.19095 	3.53563 	9.974e-05 	4.426e-05 	9.972e-05 	1.171e-08 	3.471e-04 	1.409e-12 	1.258e-11 
0.21105 	3.90780 	7.052e-05 	7.402e-05 	7.048e-05 	3.279e-08 	3.485e-04 	5.765e-12 	3.347e-11 
0.23115 	4.27997 	4.336e-05 	1.017e-04 	4.333e-05 	8.578e-08 	3.497e-04 	2.733e-11 	9.874e-11 
0.25125 	4.65214 	2.336e-05 	1.219e-04 	2.332e-05 	2.107e-07 	3.505e-04 	1.431e-10 	3.057e-10 
0.27135 	5.02432 	1.100e-05 	1.343e-04 	1.097e-05 	4.934e-07 	3.508e-04 	7.323e-10 	9.255e-10 
0.29145 	5.39649 	4.606e-06 	1.401e-04 	4.574e-06 	1.147e-06 	3.504e-04 	3.123e-09 	2.502e-09 
0.31155 	5.76866 	1.884e-06 	1.411e-04 	1.858e-06 	2.905e-06 	3.487e-04 	9.835e-09 	5.722e-09 
0.33165 	6.14083 	9.041e-07 	1.367e-04 	8.846e-07 	8.356e-06 	3.427e-04 	2.276e-08 	1.143e-08 
0.35175 	6.51300 	5.595e-07 	1.214e-04 	5.457e-07 	2.400e-05 	3.251e-04 	4.206e-08 	2.111e-08 
0.37185 	6.88517 	3.947e-07 	8.895e-05 	3.840e-07 	5.660e-05 	2.858e-04 	7.044e-08 	3.657e-08 
0.39195 	7.25735 	2.871e-07 	5.034e-05 	2.779e-07 	9.532e-05 	2.252e-04 	1.177e-07 	5.831e-08 
0.41205 	7.62952 	2.371e-07 	2.992e-05 	2.285e-07 	1.158e-04 	1.487e-04 	1.571e-07 	7.855e-08 
0.43215 	8.00169 	2.593e-07 	3.864e-05 	2.509e-07 	1.071e-04 	7.538e-05 	8.505e-08 	7.418e-08 
0.45225 	8.37386 	3.403e-07 	7.651e-05 	3.320e-07 	6.912e-05 	3.819e-05 	2.231e-08 	5.318e-08 
0.47235 	8.74603 	4.154e-07 	1.156e-04 	4.057e-07 	2.991e-05 	2.059e-05 	6.313e-09 	3.393e-08 
0.49245 	9.11820 	4.305e-07 	1.356e-04 	4.169e-07 	9.863e-06 	1.040e-05 	1.985e-09 	2.081e-08 
0.51255 	9.49038 	4.164e-07 	1.404e-04 	3.995e-07 	5.039e-06 	5.515e-06 	7.156e-10 	1.333e-08 
0.53265 	9.86255 	4.147e-07 	1.410e-04 	3.975e-07 	4.408e-06 	3.633e-06 	3.485e-10 	9.562e-09 
0.55275 	10.23472 	4.269e-07 	1.394e-04 	4.116e-07 	5.866e-06 	2.943e-06 	2.350e-10 	7.707e-09 
0.57285 	10.60689 	4.447e-07 	1.339e-04 	4.328e-07 	1.114e-05 	2.709e-06 	2.023e-10 	6.751e-09 
0.59295 	10.97906 	4.446e-07 	1.213e-04 	4.354e-07 	2.351e-05 	2.485e-06 	1.925e-10 	6.169e-09 
0.61305 	11.35123 	4.229e-07 	1.046e-04 	4.149e-07 	4.007e-05 	2.149e-06 	1.834e-10 	5.699e-09 
0.63315 	11.72341 	3.942e-07 	8.747e-05 	3.866e-07 	5.690e-05 	1.822e-06 	1.774e-10 	5.304e-09 
0.65325 	12.09558 	3.653e-07 	7.163e-05 	3.579e-07 	7.244e-05 	1.547e-06 	1.764e-10 	4.974e-09 
0.67335 	12.46775 	3.390e-07 	5.767e-05 	3.315e-07 	8.606e-05 	1.327e-06 	1.809e-10 	4.702e-09 
0.69345 	12.83992 	3.161e-07 	4.583e-05 	3.086e-07 	9.756e-05 	1.157e-06 	1.913e-10 	4.482e-09 
0.71355 	13.21209 	2.972e-07 	3.613e-05 	2.896e-07 	1.069e-04 	1.028e-06 	2.079e-10 	4.308e-09 
0.73365 	13.58426 	2.822e-07 	2.848e-05 	2.745e-07 	1.142e-04 	9.337e-07 	2.301e-10 	4.176e-09 
0.75375 	13.95643 	2.707e-07 	2.267e-05 	2.629e-07 	1.198e-04 	8.654e-07 	2.565e-10 	4.078e-09 
0.77385 	14.32861 	2.623e-07 	1.843e-05 	2.544e-07 	1.238e-04 	8.173e-07 	2.847e-10 	4.008e-09 
0.79395 	14.70078 	2.564e-07 	1.542e-05 	2.484e-07 	1.266e-04 	7.841e-07 	3.118e-10 	3.958e-09 
0.81405 	15.07295 	2.522e-07 	1.335e-05 	2.442e-07 	1.285e-04 	7.616e-07 	3.355e-10 	3.925e-09 
0.83415 	15.44512 	2.495e-07 	1.196e-05 	2.414e-07 	1.299e-04 	7.465e-07 	3.547e-10 	3.902e-09 
0.85425 	15.81729 	2.476e-07 	1.104e-05 	2.396e-07 	1.307e-04 	7.367e-07 	3.691e-10 	3.887e-09 
0.87435 	16.18946 	2.464e-07 	1.043e-05 	2.383e-07 	1.313e-04 	7.302e-07 	3.794e-10 	3.877e-09 
0.89445 	16.56164 	2.456e-07 	1.004e-05 	2.375e-07 	1.316e-04 	7.260e-07 	3.865e-10 	3.871e-09 
0.91455 	16.93381 	2.451e-07 	9.785e-06 	2.370e-07 	1.319e-04 	7.233e-07 	3.913e-10 	3.866e-09 
0.93465 	17.30598 	2.448e-07 	9.622e-06 	2.367e-07 	1.320e-04 	7.216e-07 	3.945e-10 	3.864e-09 
0.95475 	17.67815 	2.446e-07 	9.517e-06 	2.365e-07 	1.321e-04 	7.205e-07 	3.966e-10 	3.862e-09 
0.97485 	18.05032 	2.445e-07 	9.449e-06 	2.363e-07 	1.322e-04 	7.197e-07 	3.979e-10 	3.861e-09 
0.99495 	18.42249 	2.444e-07 	9.406e-06 	2.363e-07 	1.322e-04 	7.193e-07 	3.988e-10 	3.860e-09 
1.01505 	18.79467 	2.443e-07 	9.378e-06 	2.362e-07 	1.323e-04 	7.190e-07 	3.994e-10 	3.860e-09 
1.03515 	19.16684 	2.443e-07 	9.361e-06 	2.362e-07 	1.323e-04 	7.188e-07 	3.997e-10 	3.860e-09 
1.05525 	19.53901 	2.443e-07 	9.349e-06 	2.361e-07 	1.323e-04 	7.187e-07 	4.000e-10 	3.859e-09 
1.07535 	19.91118 	2.442e-07 	9.342e-06 	2.361e-07 	1.323e-04 	7.186e-07 	4.001e-10 	3.859e-09 
1.09545 	20.28335 	2.442e-07 	9.337e-06 	2.361e-07 	1.323e-04 	7.186e-07 	4.002e-10 	3.859e-09 
1.11555 	20.65552 	2.442e-07 	9.334e-06 	2.361e-07 	1.323e-04 	7.185e-07 	4.003e-10 	3.859e-09 
1.13565 	21.02770 	2.442e-07 	9.333e-06 	2.361e-07 	1.323e-04 	7.185e-07 	4.003e-10 	3.859e-09 
1.15575 	21.39987 	2.442e-07 	9.331e-06 	2.361e-07 	1.323e-04 	7.185e-07 	4.003e-10 	3.859e-09 
1.17585 	21.77204 	2.442e-07 	9.331e-06 	2.361e-07 	1.323e-04 	7.185e-07 	4.003e-10 	3.859e-09 
1.19595 	22.14421 	2.442e-07 	9.330e-06 	2.361e-07 	1.323e-04 	7.185e-07 	4.004e-10 	3.859e-09 
1.21605 	22.51638 	2.442e-07 	9.330e-06 	2.361e-07 	1.323e-04 	7.185e-07 	4.004e-10 	3.859e-09 
1.23615 	22.88855 	2.442e-07 	9.330e-06 	2.361e-07 	1.323e-04 	7.185e-07 	4.004e-10 	3.859e-09 
1.25625 	23.26072 	2.442e-07 	9.329e-06 	2.361e-07 	1.323e-04 	7.185e-07 	4.004e-10 	3.859e-09 
1.27635 	23.63290 	2.442e-07 	9.329e-06 	2.361e-07 	1.323e-04 	7.185e-07 	4.004e-10 	3.859e-09 
1.29645 	24.00507 	2.442e-07 	9.329e-06 	2.361e-07 	1.323e-04 	7.185e-07 	4.004e-10 	3.859e-09 
1.31655 	24.37724 	2.442e-07 	9.329e-06 	2.361e-07 	1.323e-04 	7.185e-07 	4.004e-10 	3.859e-09 
1.33665 	24.74941 	2.442e-07 	9.329e-06 	2.361e-07 	1.323e-04 	7.185e-07 	4.004e-10 	3.859e-09 
