n = 9.8e+03, Tgas =  25.0, Tdust =  25.0, Go = 10000.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.15119 	1.398e-04 	2.457e-09 	1.396e-04 	4.346e-13 	3.367e-04 	1.176e-17 	2.067e-14 
0.03015 	0.45358 	1.399e-04 	6.281e-09 	1.398e-04 	1.220e-12 	3.372e-04 	3.383e-17 	3.803e-14 
0.05025 	0.75597 	1.406e-04 	1.591e-08 	1.405e-04 	3.131e-12 	3.388e-04 	9.182e-17 	6.806e-14 
0.07035 	1.05836 	1.413e-04 	3.996e-08 	1.412e-04 	7.624e-12 	3.406e-04 	2.443e-16 	1.193e-13 
0.09045 	1.36075 	1.419e-04 	9.983e-08 	1.418e-04 	1.800e-11 	3.422e-04 	6.522e-16 	2.057e-13 
0.11055 	1.66314 	1.422e-04 	2.482e-07 	1.421e-04 	4.181e-11 	3.433e-04 	1.766e-15 	3.508e-13 
0.13065 	1.96553 	1.421e-04 	6.142e-07 	1.421e-04 	9.669e-11 	3.441e-04 	4.851e-15 	5.945e-13 
0.15075 	2.26792 	1.415e-04 	1.508e-06 	1.414e-04 	2.249e-10 	3.446e-04 	1.348e-14 	1.006e-12 
0.17085 	2.57031 	1.395e-04 	3.639e-06 	1.395e-04 	5.298e-10 	3.450e-04 	3.769e-14 	1.710e-12 
0.19095 	2.87270 	1.348e-04 	8.468e-06 	1.348e-04 	1.269e-09 	3.454e-04 	1.058e-13 	2.963e-12 
0.21105 	3.17509 	1.252e-04 	1.833e-05 	1.252e-04 	3.073e-09 	3.459e-04 	2.992e-13 	5.350e-12 
0.23115 	3.47748 	1.087e-04 	3.517e-05 	1.086e-04 	7.413e-09 	3.467e-04 	8.672e-13 	1.037e-11 
0.25125 	3.77987 	8.627e-05 	5.798e-05 	8.624e-05 	1.745e-08 	3.477e-04 	2.665e-12 	2.196e-11 
0.27135 	4.08226 	6.231e-05 	8.238e-05 	6.228e-05 	3.952e-08 	3.488e-04 	8.962e-12 	5.052e-11 
0.29145 	4.38465 	4.113e-05 	1.039e-04 	4.109e-05 	8.592e-08 	3.498e-04 	3.302e-11 	1.232e-10 
0.31155 	4.68704 	2.489e-05 	1.204e-04 	2.485e-05 	1.800e-07 	3.505e-04 	1.285e-10 	3.087e-10 
0.33165 	4.98943 	1.380e-05 	1.315e-04 	1.376e-05 	3.663e-07 	3.508e-04 	4.955e-10 	7.658e-10 
0.35175 	5.29181 	7.045e-06 	1.380e-04 	7.005e-06 	7.346e-07 	3.507e-04 	1.744e-09 	1.791e-09 
0.37185 	5.59420 	3.429e-06 	1.409e-04 	3.392e-06 	1.511e-06 	3.501e-04 	5.170e-09 	3.777e-09 
0.39195 	5.89659 	1.730e-06 	1.408e-04 	1.699e-06 	3.365e-06 	3.481e-04 	1.243e-08 	7.129e-09 
0.41205 	6.19898 	1.008e-06 	1.368e-04 	9.848e-07 	8.081e-06 	3.430e-04 	2.452e-08 	1.237e-08 
0.43215 	6.50137 	6.995e-07 	1.258e-04 	6.824e-07 	1.941e-05 	3.303e-04 	4.158e-08 	2.040e-08 
0.45225 	6.80376 	5.327e-07 	1.035e-04 	5.194e-07 	4.190e-05 	3.040e-04 	6.476e-08 	3.235e-08 
0.47235 	7.10615 	4.106e-07 	7.181e-05 	3.995e-07 	7.371e-05 	2.621e-04 	9.923e-08 	4.905e-08 
0.49245 	7.40854 	3.240e-07 	4.378e-05 	3.139e-07 	1.018e-04 	2.090e-04 	1.485e-07 	6.968e-08 
0.51255 	7.71093 	2.857e-07 	3.096e-05 	2.760e-07 	1.147e-04 	1.457e-04 	1.750e-07 	8.628e-08 
0.53265 	8.01332 	3.074e-07 	3.791e-05 	2.979e-07 	1.077e-04 	8.543e-05 	1.102e-07 	8.357e-08 
0.55275 	8.31571 	3.829e-07 	6.602e-05 	3.734e-07 	7.956e-05 	4.961e-05 	4.005e-08 	6.633e-08 
0.57285 	8.61810 	4.686e-07 	1.003e-04 	4.584e-07 	4.515e-05 	3.047e-05 	1.417e-08 	4.768e-08 
0.59295 	8.92049 	5.204e-07 	1.258e-04 	5.076e-07 	1.958e-05 	1.846e-05 	5.504e-09 	3.268e-08 
0.61305 	9.22288 	5.204e-07 	1.370e-04 	5.031e-07 	8.352e-06 	1.060e-05 	2.244e-09 	2.221e-08 
0.63315 	9.52527 	5.084e-07 	1.402e-04 	4.882e-07 	5.157e-06 	6.515e-06 	1.026e-09 	1.575e-08 
0.65325 	9.82766 	5.066e-07 	1.407e-04 	4.860e-07 	4.539e-06 	4.633e-06 	5.734e-10 	1.204e-08 
0.67335 	10.13005 	5.161e-07 	1.399e-04 	4.970e-07 	5.320e-06 	3.793e-06 	3.975e-10 	9.951e-09 
0.69345 	10.43244 	5.335e-07 	1.370e-04 	5.173e-07 	8.024e-06 	3.449e-06 	3.303e-10 	8.753e-09 
0.71355 	10.73482 	5.467e-07 	1.303e-04 	5.339e-07 	1.461e-05 	3.274e-06 	3.084e-10 	8.025e-09 
0.73365 	11.03721 	5.399e-07 	1.188e-04 	5.295e-07 	2.589e-05 	3.012e-06 	2.964e-10 	7.489e-09 
0.75375 	11.33960 	5.178e-07 	1.052e-04 	5.084e-07 	3.937e-05 	2.673e-06 	2.841e-10 	7.027e-09 
0.77385 	11.64199 	4.898e-07 	9.127e-05 	4.810e-07 	5.308e-05 	2.339e-06 	2.750e-10 	6.625e-09 
0.79395 	11.94438 	4.609e-07 	7.805e-05 	4.524e-07 	6.608e-05 	2.044e-06 	2.706e-10 	6.277e-09 
0.81405 	12.24677 	4.334e-07 	6.592e-05 	4.249e-07 	7.795e-05 	1.795e-06 	2.714e-10 	5.978e-09 
0.83415 	12.54916 	4.083e-07 	5.511e-05 	3.998e-07 	8.849e-05 	1.590e-06 	2.779e-10 	5.723e-09 
0.85425 	12.85155 	3.861e-07 	4.570e-05 	3.776e-07 	9.762e-05 	1.424e-06 	2.901e-10 	5.509e-09 
0.87435 	13.15394 	3.670e-07 	3.771e-05 	3.585e-07 	1.053e-04 	1.293e-06 	3.083e-10 	5.333e-09 
0.89445 	13.45633 	3.511e-07 	3.107e-05 	3.425e-07 	1.117e-04 	1.189e-06 	3.320e-10 	5.191e-09 
0.91455 	13.75872 	3.382e-07 	2.572e-05 	3.295e-07 	1.168e-04 	1.110e-06 	3.601e-10 	5.079e-09 
0.93465 	14.06111 	3.280e-07 	2.149e-05 	3.192e-07 	1.208e-04 	1.049e-06 	3.912e-10 	4.992e-09 
