n = 8.0e+03, Tgas =  25.0, Tdust =  25.0, Go = 10000.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.01005 	0.12406 	1.399e-04 	1.831e-09 	1.397e-04 	2.859e-13 	3.368e-04 	7.496e-18 	1.866e-14 
0.03015 	0.37217 	1.397e-04 	3.964e-09 	1.396e-04 	6.993e-13 	3.365e-04 	1.853e-17 	3.122e-14 
0.05025 	0.62029 	1.400e-04 	8.540e-09 	1.399e-04 	1.582e-12 	3.373e-04 	4.343e-17 	5.107e-14 
0.07035 	0.86840 	1.406e-04 	1.829e-08 	1.405e-04 	3.399e-12 	3.387e-04 	9.872e-17 	8.208e-14 
0.09045 	1.11651 	1.412e-04 	3.896e-08 	1.411e-04 	7.060e-12 	3.402e-04 	2.218e-16 	1.301e-13 
0.11055 	1.36463 	1.417e-04 	8.265e-08 	1.416e-04 	1.434e-11 	3.416e-04 	4.986e-16 	2.039e-13 
0.13065 	1.61274 	1.420e-04 	1.748e-07 	1.420e-04 	2.873e-11 	3.427e-04 	1.129e-15 	3.170e-13 
0.15075 	1.86086 	1.422e-04 	3.684e-07 	1.421e-04 	5.713e-11 	3.435e-04 	2.581e-15 	4.899e-13 
0.17085 	2.10897 	1.420e-04 	7.736e-07 	1.420e-04 	1.135e-10 	3.441e-04 	5.950e-15 	7.548e-13 
0.19095 	2.35709 	1.414e-04 	1.614e-06 	1.413e-04 	2.263e-10 	3.446e-04 	1.381e-14 	1.163e-12 
0.21105 	2.60520 	1.398e-04 	3.327e-06 	1.397e-04 	4.548e-10 	3.449e-04 	3.220e-14 	1.798e-12 
0.23115 	2.85332 	1.365e-04 	6.708e-06 	1.365e-04 	9.237e-10 	3.453e-04 	7.536e-14 	2.811e-12 
0.25125 	3.10143 	1.304e-04 	1.298e-05 	1.304e-04 	1.894e-09 	3.456e-04 	1.774e-13 	4.498e-12 
0.27135 	3.34954 	1.201e-04 	2.353e-05 	1.200e-04 	3.896e-09 	3.462e-04 	4.229e-13 	7.479e-12 
0.29145 	3.59766 	1.050e-04 	3.892e-05 	1.049e-04 	7.967e-09 	3.469e-04 	1.036e-12 	1.313e-11 
0.31155 	3.84577 	8.628e-05 	5.797e-05 	8.624e-05 	1.602e-08 	3.477e-04 	2.662e-12 	2.449e-11 
0.33165 	4.09389 	6.652e-05 	7.809e-05 	6.648e-05 	3.148e-08 	3.486e-04 	7.271e-12 	4.830e-11 
0.35175 	4.34200 	4.824e-05 	9.670e-05 	4.820e-05 	6.030e-08 	3.494e-04 	2.112e-11 	9.939e-11 
0.37185 	4.59012 	3.300e-05 	1.122e-04 	3.295e-05 	1.128e-07 	3.501e-04 	6.414e-11 	2.099e-10 
0.39195 	4.83823 	2.130e-05 	1.240e-04 	2.125e-05 	2.069e-07 	3.506e-04 	1.979e-10 	4.464e-10 
0.41205 	5.08635 	1.297e-05 	1.324e-04 	1.292e-05 	3.732e-07 	3.508e-04 	5.975e-10 	9.346e-10 
0.43215 	5.33446 	7.493e-06 	1.376e-04 	7.446e-06 	6.682e-07 	3.507e-04 	1.685e-09 	1.872e-09 
0.45225 	5.58257 	4.198e-06 	1.405e-04 	4.152e-06 	1.214e-06 	3.503e-04 	4.250e-09 	3.498e-09 
0.47235 	5.83069 	2.387e-06 	1.412e-04 	2.347e-06 	2.307e-06 	3.492e-04 	9.341e-09 	6.050e-09 
0.49245 	6.07880 	1.470e-06 	1.398e-04 	1.437e-06 	4.640e-06 	3.467e-04 	1.786e-08 	9.785e-09 
0.51255 	6.32692 	1.026e-06 	1.352e-04 	1.000e-06 	9.646e-06 	3.411e-04 	3.019e-08 	1.509e-08 
0.53265 	6.57503 	7.966e-07 	1.253e-04 	7.770e-07 	1.980e-05 	3.297e-04 	4.648e-08 	2.257e-08 
0.55275 	6.82315 	6.491e-07 	1.075e-04 	6.335e-07 	3.775e-05 	3.089e-04 	6.763e-08 	3.295e-08 
0.57285 	7.07126 	5.293e-07 	8.249e-05 	5.161e-07 	6.289e-05 	2.771e-04 	9.670e-08 	4.682e-08 
0.59295 	7.31937 	4.309e-07 	5.683e-05 	4.190e-07 	8.866e-05 	2.370e-04 	1.375e-07 	6.420e-08 
