n = 4.5e+02, Tgas =  10.5, Tdust =  10.5, Go =   1.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.10005 	0.06947 	1.394e-04 	1.491e-06 	1.389e-04 	3.451e-09 	3.384e-04 	2.698e-12 	1.396e-10 
0.30015 	0.20841 	1.386e-04 	2.240e-06 	1.382e-04 	5.692e-09 	3.385e-04 	4.178e-12 	1.741e-10 
0.50025 	0.34735 	1.376e-04 	3.347e-06 	1.371e-04 	9.375e-09 	3.385e-04 	6.415e-12 	2.167e-10 
0.70035 	0.48629 	1.360e-04 	4.968e-06 	1.355e-04 	1.540e-08 	3.387e-04 	9.766e-12 	2.695e-10 
0.90045 	0.62523 	1.337e-04 	7.298e-06 	1.332e-04 	2.519e-08 	3.388e-04 	1.475e-11 	3.355e-10 
1.10055 	0.76417 	1.305e-04 	1.057e-05 	1.300e-04 	4.095e-08 	3.390e-04 	2.216e-11 	4.190e-10 
1.30065 	0.90311 	1.261e-04 	1.504e-05 	1.256e-04 	6.603e-08 	3.393e-04 	3.323e-11 	5.270e-10 
1.50075 	1.04205 	1.203e-04 	2.089e-05 	1.198e-04 	1.053e-07 	3.396e-04 	4.998e-11 	6.703e-10 
1.70085 	1.18099 	1.131e-04 	2.822e-05 	1.126e-04 	1.659e-07 	3.400e-04 	7.589e-11 	8.661e-10 
1.90095 	1.31992 	1.045e-04 	3.694e-05 	1.040e-04 	2.571e-07 	3.405e-04 	1.170e-10 	1.141e-09 
2.10105 	1.45886 	9.483e-05 	4.676e-05 	9.430e-05 	3.915e-07 	3.410e-04 	1.841e-10 	1.537e-09 
2.30115 	1.59780 	8.441e-05 	5.724e-05 	8.388e-05 	5.847e-07 	3.415e-04 	2.965e-10 	2.117e-09 
2.50125 	1.73674 	7.377e-05 	6.787e-05 	7.323e-05 	8.558e-07 	3.419e-04 	4.889e-10 	2.979e-09 
2.70135 	1.87568 	6.336e-05 	7.816e-05 	6.281e-05 	1.228e-06 	3.422e-04 	8.239e-10 	4.271e-09 
2.90145 	2.01462 	5.353e-05 	8.768e-05 	5.299e-05 	1.730e-06 	3.423e-04 	1.414e-09 	6.222e-09 
3.10155 	2.15356 	4.457e-05 	9.612e-05 	4.403e-05 	2.399e-06 	3.421e-04 	2.461e-09 	9.174e-09 
3.30165 	2.29250 	3.662e-05 	1.032e-04 	3.609e-05 	3.293e-06 	3.415e-04 	4.315e-09 	1.364e-08 
3.50175 	2.43144 	2.974e-05 	1.089e-04 	2.922e-05 	4.499e-06 	3.405e-04 	7.576e-09 	2.039e-08 
3.70185 	2.57038 	2.390e-05 	1.129e-04 	2.341e-05 	6.163e-06 	3.387e-04 	1.322e-08 	3.052e-08 
3.90195 	2.70932 	1.904e-05 	1.151e-04 	1.859e-05 	8.521e-06 	3.358e-04 	2.276e-08 	4.559e-08 
4.10205 	2.84826 	1.505e-05 	1.152e-04 	1.465e-05 	1.194e-05 	3.313e-04 	3.839e-08 	6.778e-08 
4.30215 	2.98720 	1.180e-05 	1.126e-04 	1.146e-05 	1.693e-05 	3.242e-04 	6.312e-08 	1.002e-07 
4.50225 	3.12614 	9.162e-06 	1.070e-04 	8.881e-06 	2.408e-05 	3.134e-04 	1.010e-07 	1.471e-07 
4.70235 	3.26508 	7.016e-06 	9.786e-05 	6.787e-06 	3.377e-05 	2.975e-04 	1.575e-07 	2.147e-07 
4.90245 	3.40402 	5.302e-06 	8.574e-05 	5.114e-06 	4.570e-05 	2.752e-04 	2.378e-07 	3.093e-07 
5.10255 	3.54296 	4.023e-06 	7.235e-05 	3.864e-06 	5.836e-05 	2.460e-04 	3.381e-07 	4.291e-07 
5.30265 	3.68190 	3.195e-06 	6.027e-05 	3.052e-06 	6.953e-05 	2.119e-04 	4.308e-07 	5.494e-07 
5.50275 	3.82083 	2.757e-06 	5.129e-05 	2.622e-06 	7.769e-05 	1.772e-04 	4.747e-07 	6.296e-07 
5.70285 	3.95977 	2.601e-06 	4.558e-05 	2.468e-06 	8.279e-05 	1.467e-04 	4.553e-07 	6.473e-07 
5.90295 	4.09871 	2.623e-06 	4.233e-05 	2.490e-06 	8.559e-05 	1.228e-04 	3.954e-07 	6.130e-07 
6.10305 	4.23765 	2.748e-06 	4.065e-05 	2.613e-06 	8.693e-05 	1.050e-04 	3.244e-07 	5.517e-07 
6.30315 	4.37659 	2.925e-06 	3.989e-05 	2.787e-06 	8.742e-05 	9.173e-05 	2.596e-07 	4.839e-07 
6.50325 	4.51553 	3.122e-06 	3.960e-05 	2.981e-06 	8.747e-05 	8.155e-05 	2.064e-07 	4.202e-07 
6.70335 	4.65447 	3.317e-06 	3.950e-05 	3.173e-06 	8.736e-05 	7.339e-05 	1.648e-07 	3.652e-07 
6.90345 	4.79341 	3.496e-06 	3.936e-05 	3.350e-06 	8.726e-05 	6.664e-05 	1.330e-07 	3.195e-07 
7.10355 	4.93235 	3.651e-06 	3.907e-05 	3.504e-06 	8.732e-05 	6.091e-05 	1.090e-07 	2.825e-07 
7.30365 	5.07129 	3.777e-06 	3.855e-05 	3.630e-06 	8.760e-05 	5.600e-05 	9.109e-08 	2.530e-07 
7.50375 	5.21023 	3.874e-06 	3.776e-05 	3.728e-06 	8.813e-05 	5.178e-05 	7.770e-08 	2.298e-07 
7.70385 	5.34917 	3.943e-06 	3.671e-05 	3.799e-06 	8.889e-05 	4.816e-05 	6.772e-08 	2.115e-07 
7.90395 	5.48811 	3.989e-06 	3.546e-05 	3.847e-06 	8.985e-05 	4.505e-05 	6.025e-08 	1.972e-07 
8.10405 	5.62705 	4.015e-06 	3.405e-05 	3.875e-06 	9.097e-05 	4.240e-05 	5.465e-08 	1.860e-07 
8.30415 	5.76599 	4.025e-06 	3.255e-05 	3.888e-06 	9.218e-05 	4.014e-05 	5.044e-08 	1.772e-07 
8.50425 	5.90493 	4.024e-06 	3.101e-05 	3.889e-06 	9.344e-05 	3.821e-05 	4.725e-08 	1.704e-07 
8.70435 	6.04387 	4.015e-06 	2.948e-05 	3.881e-06 	9.470e-05 	3.657e-05 	4.484e-08 	1.649e-07 
8.90445 	6.18280 	4.000e-06 	2.799e-05 	3.868e-06 	9.593e-05 	3.517e-05 	4.301e-08 	1.607e-07 
9.10455 	6.32174 	3.981e-06 	2.659e-05 	3.851e-06 	9.710e-05 	3.398e-05 	4.162e-08 	1.573e-07 
9.30465 	6.46068 	3.961e-06 	2.528e-05 	3.833e-06 	9.819e-05 	3.297e-05 	4.056e-08 	1.546e-07 
9.50475 	6.59962 	3.941e-06 	2.408e-05 	3.814e-06 	9.920e-05 	3.210e-05 	3.976e-08 	1.524e-07 
9.70485 	6.73856 	3.921e-06 	2.299e-05 	3.795e-06 	1.001e-04 	3.137e-05 	3.915e-08 	1.507e-07 
9.90495 	6.87750 	3.902e-06 	2.201e-05 	3.777e-06 	1.009e-04 	3.075e-05 	3.869e-08 	1.493e-07 
10.10505 	7.01644 	3.884e-06 	2.114e-05 	3.760e-06 	1.017e-04 	3.022e-05 	3.834e-08 	1.482e-07 
10.30515 	7.15538 	3.867e-06 	2.037e-05 	3.744e-06 	1.023e-04 	2.977e-05 	3.808e-08 	1.474e-07 
10.50525 	7.29432 	3.853e-06 	1.969e-05 	3.730e-06 	1.029e-04 	2.939e-05 	3.788e-08 	1.466e-07 
10.70535 	7.43326 	3.840e-06 	1.910e-05 	3.717e-06 	1.034e-04 	2.907e-05 	3.774e-08 	1.461e-07 
10.90545 	7.57220 	3.828e-06 	1.859e-05 	3.706e-06 	1.038e-04 	2.879e-05 	3.763e-08 	1.456e-07 
11.10555 	7.71114 	3.818e-06 	1.815e-05 	3.696e-06 	1.042e-04 	2.856e-05 	3.755e-08 	1.452e-07 
11.30565 	7.85008 	3.809e-06 	1.777e-05 	3.688e-06 	1.045e-04 	2.836e-05 	3.749e-08 	1.449e-07 
11.50575 	7.98902 	3.801e-06 	1.744e-05 	3.680e-06 	1.048e-04 	2.820e-05 	3.744e-08 	1.446e-07 
11.70585 	8.12796 	3.794e-06 	1.715e-05 	3.674e-06 	1.050e-04 	2.806e-05 	3.741e-08 	1.444e-07 
11.90595 	8.26690 	3.788e-06 	1.691e-05 	3.668e-06 	1.052e-04 	2.794e-05 	3.739e-08 	1.443e-07 
12.10605 	8.40584 	3.783e-06 	1.671e-05 	3.663e-06 	1.054e-04 	2.784e-05 	3.737e-08 	1.441e-07 
12.30615 	8.54478 	3.779e-06 	1.653e-05 	3.659e-06 	1.056e-04 	2.775e-05 	3.736e-08 	1.440e-07 
12.50625 	8.68371 	3.775e-06 	1.638e-05 	3.655e-06 	1.057e-04 	2.768e-05 	3.735e-08 	1.439e-07 
12.70635 	8.82265 	3.772e-06 	1.625e-05 	3.652e-06 	1.058e-04 	2.762e-05 	3.734e-08 	1.438e-07 
12.90645 	8.96159 	3.769e-06 	1.614e-05 	3.650e-06 	1.059e-04 	2.757e-05 	3.734e-08 	1.438e-07 
13.10655 	9.10053 	3.767e-06 	1.605e-05 	3.647e-06 	1.060e-04 	2.753e-05 	3.734e-08 	1.437e-07 
13.30665 	9.23947 	3.765e-06 	1.597e-05 	3.645e-06 	1.060e-04 	2.749e-05 	3.734e-08 	1.437e-07 
13.50675 	9.37841 	3.763e-06 	1.590e-05 	3.644e-06 	1.061e-04 	2.746e-05 	3.734e-08 	1.436e-07 
13.70685 	9.51735 	3.762e-06 	1.585e-05 	3.642e-06 	1.061e-04 	2.743e-05 	3.733e-08 	1.436e-07 
13.90695 	9.65629 	3.761e-06 	1.580e-05 	3.641e-06 	1.062e-04 	2.741e-05 	3.733e-08 	1.436e-07 
14.10705 	9.79523 	3.760e-06 	1.576e-05 	3.640e-06 	1.062e-04 	2.739e-05 	3.733e-08 	1.435e-07 
14.30715 	9.93417 	3.759e-06 	1.572e-05 	3.639e-06 	1.062e-04 	2.738e-05 	3.733e-08 	1.435e-07 
14.50725 	10.07311 	3.758e-06 	1.569e-05 	3.639e-06 	1.063e-04 	2.736e-05 	3.733e-08 	1.435e-07 
14.70735 	10.21205 	3.757e-06 	1.567e-05 	3.638e-06 	1.063e-04 	2.735e-05 	3.734e-08 	1.435e-07 
14.90745 	10.35099 	3.757e-06 	1.565e-05 	3.637e-06 	1.063e-04 	2.734e-05 	3.734e-08 	1.435e-07 
15.10755 	10.48993 	3.756e-06 	1.563e-05 	3.637e-06 	1.063e-04 	2.734e-05 	3.734e-08 	1.435e-07 
15.30765 	10.62887 	3.756e-06 	1.562e-05 	3.637e-06 	1.063e-04 	2.733e-05 	3.734e-08 	1.435e-07 
15.50775 	10.76781 	3.756e-06 	1.560e-05 	3.636e-06 	1.063e-04 	2.732e-05 	3.734e-08 	1.435e-07 
15.70785 	10.90675 	3.755e-06 	1.559e-05 	3.636e-06 	1.063e-04 	2.732e-05 	3.734e-08 	1.435e-07 
15.90795 	11.04569 	3.755e-06 	1.558e-05 	3.636e-06 	1.064e-04 	2.731e-05 	3.734e-08 	1.435e-07 
16.10805 	11.18462 	3.755e-06 	1.558e-05 	3.636e-06 	1.064e-04 	2.731e-05 	3.734e-08 	1.434e-07 
16.30815 	11.32356 	3.755e-06 	1.557e-05 	3.636e-06 	1.064e-04 	2.731e-05 	3.734e-08 	1.434e-07 
16.50825 	11.46250 	3.755e-06 	1.556e-05 	3.635e-06 	1.064e-04 	2.730e-05 	3.734e-08 	1.434e-07 
16.70835 	11.60144 	3.755e-06 	1.556e-05 	3.635e-06 	1.064e-04 	2.730e-05 	3.734e-08 	1.434e-07 
16.90845 	11.74038 	3.754e-06 	1.555e-05 	3.635e-06 	1.064e-04 	2.730e-05 	3.734e-08 	1.434e-07 
17.10855 	11.87932 	3.754e-06 	1.555e-05 	3.635e-06 	1.064e-04 	2.730e-05 	3.734e-08 	1.434e-07 
17.30865 	12.01826 	3.754e-06 	1.555e-05 	3.635e-06 	1.064e-04 	2.730e-05 	3.734e-08 	1.434e-07 
17.50875 	12.15720 	3.754e-06 	1.555e-05 	3.635e-06 	1.064e-04 	2.730e-05 	3.734e-08 	1.434e-07 
17.70885 	12.29614 	3.754e-06 	1.554e-05 	3.635e-06 	1.064e-04 	2.730e-05 	3.734e-08 	1.434e-07 
17.90895 	12.43508 	3.754e-06 	1.554e-05 	3.635e-06 	1.064e-04 	2.730e-05 	3.734e-08 	1.434e-07 
18.10905 	12.57402 	3.754e-06 	1.554e-05 	3.635e-06 	1.064e-04 	2.729e-05 	3.734e-08 	1.434e-07 
18.30915 	12.71296 	3.754e-06 	1.554e-05 	3.635e-06 	1.064e-04 	2.729e-05 	3.734e-08 	1.434e-07 
18.50925 	12.85190 	3.754e-06 	1.554e-05 	3.635e-06 	1.064e-04 	2.729e-05 	3.734e-08 	1.434e-07 
