n = 4.5e+02, Tgas =   9.0, Tdust =   9.0, Go =   1.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.10005 	0.06947 	1.388e-04 	1.614e-06 	1.383e-04 	3.414e-09 	3.373e-04 	1.747e-12 	1.285e-10 
0.30015 	0.20841 	1.380e-04 	2.421e-06 	1.375e-04 	5.633e-09 	3.373e-04 	2.709e-12 	1.601e-10 
0.50025 	0.34735 	1.368e-04 	3.615e-06 	1.363e-04 	9.278e-09 	3.374e-04 	4.166e-12 	1.993e-10 
0.70035 	0.48629 	1.351e-04 	5.354e-06 	1.346e-04 	1.524e-08 	3.375e-04 	6.354e-12 	2.480e-10 
0.90045 	0.62523 	1.327e-04 	7.846e-06 	1.322e-04 	2.492e-08 	3.377e-04 	9.624e-12 	3.091e-10 
1.10055 	0.76417 	1.292e-04 	1.133e-05 	1.288e-04 	4.051e-08 	3.379e-04 	1.451e-11 	3.869e-10 
1.30065 	0.90311 	1.246e-04 	1.604e-05 	1.242e-04 	6.528e-08 	3.382e-04 	2.185e-11 	4.882e-10 
1.50075 	1.04205 	1.186e-04 	2.217e-05 	1.182e-04 	1.041e-07 	3.386e-04 	3.304e-11 	6.238e-10 
1.70085 	1.18099 	1.112e-04 	2.976e-05 	1.107e-04 	1.637e-07 	3.391e-04 	5.049e-11 	8.106e-10 
1.90095 	1.31992 	1.024e-04 	3.870e-05 	1.019e-04 	2.536e-07 	3.397e-04 	7.843e-11 	1.075e-09 
2.10105 	1.45886 	9.261e-05 	4.866e-05 	9.210e-05 	3.858e-07 	3.402e-04 	1.244e-10 	1.458e-09 
2.30115 	1.59780 	8.219e-05 	5.918e-05 	8.167e-05 	5.759e-07 	3.408e-04 	2.021e-10 	2.022e-09 
2.50125 	1.73674 	7.164e-05 	6.976e-05 	7.111e-05 	8.426e-07 	3.413e-04 	3.361e-10 	2.864e-09 
2.70135 	1.87568 	6.138e-05 	7.992e-05 	6.084e-05 	1.209e-06 	3.417e-04 	5.714e-10 	4.129e-09 
2.90145 	2.01462 	5.177e-05 	8.927e-05 	5.123e-05 	1.702e-06 	3.418e-04 	9.894e-10 	6.039e-09 
3.10155 	2.15356 	4.305e-05 	9.751e-05 	4.251e-05 	2.361e-06 	3.417e-04 	1.736e-09 	8.932e-09 
3.30165 	2.29250 	3.534e-05 	1.044e-04 	3.481e-05 	3.240e-06 	3.412e-04 	3.071e-09 	1.330e-08 
3.50175 	2.43144 	2.869e-05 	1.099e-04 	2.817e-05 	4.426e-06 	3.402e-04 	5.442e-09 	1.989e-08 
3.70185 	2.57038 	2.306e-05 	1.138e-04 	2.257e-05 	6.062e-06 	3.385e-04 	9.589e-09 	2.972e-08 
3.90195 	2.70932 	1.838e-05 	1.159e-04 	1.793e-05 	8.379e-06 	3.358e-04 	1.668e-08 	4.426e-08 
4.10205 	2.84826 	1.455e-05 	1.159e-04 	1.414e-05 	1.174e-05 	3.314e-04 	2.847e-08 	6.554e-08 
