n = 4.6e+02, Tgas =  10.0, Tdust =  10.0, Go =   1.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.10005 	0.07121 	1.392e-04 	1.574e-06 	1.387e-04 	3.623e-09 	3.381e-04 	2.438e-12 	1.362e-10 
0.30015 	0.21362 	1.384e-04 	2.387e-06 	1.379e-04 	6.051e-09 	3.382e-04 	3.814e-12 	1.707e-10 
0.50025 	0.35603 	1.372e-04 	3.600e-06 	1.367e-04 	1.009e-08 	3.383e-04 	5.914e-12 	2.135e-10 
0.70035 	0.49845 	1.354e-04 	5.386e-06 	1.350e-04 	1.677e-08 	3.384e-04 	9.087e-12 	2.670e-10 
0.90045 	0.64086 	1.329e-04 	7.967e-06 	1.324e-04 	2.774e-08 	3.385e-04 	1.386e-11 	3.343e-10 
1.10055 	0.78327 	1.293e-04 	1.160e-05 	1.289e-04 	4.558e-08 	3.388e-04 	2.102e-11 	4.204e-10 
1.30065 	0.92568 	1.245e-04 	1.654e-05 	1.240e-04 	7.421e-08 	3.391e-04 	3.186e-11 	5.333e-10 
1.50075 	1.06810 	1.181e-04 	2.299e-05 	1.177e-04 	1.194e-07 	3.394e-04 	4.853e-11 	6.854e-10 
1.70085 	1.21051 	1.103e-04 	3.097e-05 	1.098e-04 	1.893e-07 	3.399e-04 	7.482e-11 	8.970e-10 
1.90095 	1.35292 	1.011e-04 	4.033e-05 	1.006e-04 	2.950e-07 	3.404e-04 	1.174e-10 	1.200e-09 
2.10105 	1.49534 	9.082e-05 	5.069e-05 	9.032e-05 	4.511e-07 	3.410e-04 	1.886e-10 	1.642e-09 
2.30115 	1.63775 	8.002e-05 	6.155e-05 	7.951e-05 	6.755e-07 	3.415e-04 	3.105e-10 	2.302e-09 
2.50125 	1.78016 	6.918e-05 	7.235e-05 	6.865e-05 	9.904e-07 	3.419e-04 	5.238e-10 	3.297e-09 
2.70135 	1.92257 	5.875e-05 	8.259e-05 	5.822e-05 	1.422e-06 	3.421e-04 	9.034e-10 	4.809e-09 
2.90145 	2.06499 	4.909e-05 	9.187e-05 	4.856e-05 	2.006e-06 	3.421e-04 	1.586e-09 	7.119e-09 
3.10155 	2.20740 	4.041e-05 	9.989e-05 	3.989e-05 	2.788e-06 	3.418e-04 	2.817e-09 	1.066e-08 
3.30165 	2.34981 	3.283e-05 	1.065e-04 	3.232e-05 	3.843e-06 	3.410e-04 	5.033e-09 	1.606e-08 
3.50175 	2.49223 	2.636e-05 	1.114e-04 	2.587e-05 	5.288e-06 	3.396e-04 	8.977e-09 	2.429e-08 
3.70185 	2.63464 	2.095e-05 	1.146e-04 	2.050e-05 	7.321e-06 	3.373e-04 	1.586e-08 	3.671e-08 
3.90195 	2.77705 	1.651e-05 	1.156e-04 	1.610e-05 	1.026e-05 	3.335e-04 	2.754e-08 	5.529e-08 
4.10205 	2.91946 	1.290e-05 	1.143e-04 	1.254e-05 	1.458e-05 	3.277e-04 	4.668e-08 	8.279e-08 
4.30215 	3.06188 	9.975e-06 	1.099e-04 	9.677e-06 	2.089e-05 	3.185e-04 	7.702e-08 	1.232e-07 
4.50225 	3.20429 	7.613e-06 	1.019e-04 	7.370e-06 	2.974e-05 	3.046e-04 	1.237e-07 	1.822e-07 
4.70235 	3.34670 	5.719e-06 	9.054e-05 	5.522e-06 	4.119e-05 	2.845e-04 	1.931e-07 	2.671e-07 
4.90245 	3.48912 	4.271e-06 	7.697e-05 	4.108e-06 	5.415e-05 	2.573e-04 	2.870e-07 	3.810e-07 
5.10255 	3.63153 	3.289e-06 	6.378e-05 	3.146e-06 	6.640e-05 	2.239e-04 	3.876e-07 	5.078e-07 
5.30265 	3.77394 	2.735e-06 	5.337e-05 	2.603e-06 	7.590e-05 	1.881e-04 	4.531e-07 	6.076e-07 
5.50275 	3.91636 	2.503e-06 	4.647e-05 	2.374e-06 	8.209e-05 	1.551e-04 	4.543e-07 	6.465e-07 
5.70285 	4.05877 	2.480e-06 	4.244e-05 	2.351e-06 	8.561e-05 	1.285e-04 	4.039e-07 	6.252e-07 
5.90295 	4.20118 	2.581e-06 	4.032e-05 	2.449e-06 	8.736e-05 	1.086e-04 	3.338e-07 	5.679e-07 
6.10305 	4.34359 	2.747e-06 	3.932e-05 	2.612e-06 	8.807e-05 	9.392e-05 	2.664e-07 	4.989e-07 
6.30315 	4.48601 	2.940e-06 	3.892e-05 	2.803e-06 	8.823e-05 	8.289e-05 	2.103e-07 	4.322e-07 
6.50325 	4.62842 	3.135e-06 	3.877e-05 	2.995e-06 	8.815e-05 	7.421e-05 	1.664e-07 	3.739e-07 
6.70335 	4.77083 	3.317e-06 	3.863e-05 	3.175e-06 	8.806e-05 	6.711e-05 	1.330e-07 	3.255e-07 
6.90345 	4.91325 	3.475e-06 	3.835e-05 	3.332e-06 	8.810e-05 	6.115e-05 	1.081e-07 	2.863e-07 
7.10355 	5.05566 	3.605e-06 	3.785e-05 	3.461e-06 	8.836e-05 	5.607e-05 	8.958e-08 	2.552e-07 
7.30365 	5.19807 	3.705e-06 	3.707e-05 	3.562e-06 	8.887e-05 	5.173e-05 	7.590e-08 	2.308e-07 
7.50375 	5.34048 	3.777e-06 	3.604e-05 	3.636e-06 	8.963e-05 	4.802e-05 	6.578e-08 	2.118e-07 
7.70385 	5.48290 	3.825e-06 	3.479e-05 	3.686e-06 	9.059e-05 	4.486e-05 	5.829e-08 	1.969e-07 
7.90395 	5.62531 	3.853e-06 	3.337e-05 	3.715e-06 	9.171e-05 	4.217e-05 	5.272e-08 	1.854e-07 
8.10405 	5.76772 	3.864e-06 	3.186e-05 	3.729e-06 	9.293e-05 	3.988e-05 	4.857e-08 	1.765e-07 
8.30415 	5.91014 	3.864e-06 	3.032e-05 	3.731e-06 	9.419e-05 	3.794e-05 	4.547e-08 	1.695e-07 
8.50425 	6.05255 	3.856e-06 	2.879e-05 	3.725e-06 	9.545e-05 	3.630e-05 	4.314e-08 	1.640e-07 
8.70435 	6.19496 	3.842e-06 	2.731e-05 	3.712e-06 	9.668e-05 	3.492e-05 	4.139e-08 	1.597e-07 
8.90445 	6.33737 	3.824e-06 	2.591e-05 	3.697e-06 	9.784e-05 	3.374e-05 	4.007e-08 	1.564e-07 
