n = 4.3e+02, Tgas =  10.0, Tdust =  10.0, Go =   1.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.10005 	0.06600 	1.393e-04 	1.439e-06 	1.388e-04 	3.089e-09 	3.379e-04 	2.231e-12 	1.356e-10 
0.30015 	0.19799 	1.386e-04 	2.118e-06 	1.381e-04 	4.971e-09 	3.380e-04 	3.389e-12 	1.673e-10 
0.50025 	0.32998 	1.376e-04 	3.106e-06 	1.371e-04 	7.990e-09 	3.381e-04 	5.111e-12 	2.062e-10 
0.70035 	0.46197 	1.362e-04 	4.526e-06 	1.357e-04 	1.281e-08 	3.382e-04 	7.650e-12 	2.538e-10 
0.90045 	0.59397 	1.343e-04 	6.541e-06 	1.338e-04 	2.048e-08 	3.383e-04 	1.137e-11 	3.127e-10 
1.10055 	0.72596 	1.315e-04 	9.345e-06 	1.310e-04 	3.258e-08 	3.385e-04 	1.681e-11 	3.861e-10 
1.30065 	0.85795 	1.278e-04 	1.315e-05 	1.273e-04 	5.148e-08 	3.387e-04 	2.477e-11 	4.793e-10 
1.50075 	0.98994 	1.229e-04 	1.814e-05 	1.224e-04 	8.065e-08 	3.390e-04 	3.656e-11 	6.002e-10 
1.70085 	1.12194 	1.167e-04 	2.446e-05 	1.162e-04 	1.250e-07 	3.394e-04 	5.428e-11 	7.611e-10 
1.90095 	1.25393 	1.092e-04 	3.208e-05 	1.087e-04 	1.912e-07 	3.398e-04 	8.149e-11 	9.808e-10 
2.10105 	1.38592 	1.005e-04 	4.085e-05 	1.000e-04 	2.882e-07 	3.403e-04 	1.243e-10 	1.288e-09 
2.30115 	1.51791 	9.104e-05 	5.048e-05 	9.049e-05 	4.273e-07 	3.408e-04 	1.935e-10 	1.726e-09 
2.50125 	1.64991 	8.105e-05 	6.053e-05 	8.049e-05 	6.225e-07 	3.413e-04 	3.075e-10 	2.359e-09 
2.70135 	1.78190 	7.099e-05 	7.058e-05 	7.042e-05 	8.904e-07 	3.417e-04 	4.990e-10 	3.285e-09 
