n = 4.5e+02, Tgas =  10.0, Tdust =  10.0, Go =   1.0
pc 	Av 	e- 	C 	C+ 	CO 	O 	O2 	H2O 
0.10005 	0.06947 	1.392e-04 	1.529e-06 	1.387e-04 	3.439e-09 	3.381e-04 	2.369e-12 	1.360e-10 
0.30015 	0.20841 	1.384e-04 	2.296e-06 	1.380e-04 	5.674e-09 	3.381e-04 	3.670e-12 	1.696e-10 
0.50025 	0.34735 	1.373e-04 	3.430e-06 	1.369e-04 	9.345e-09 	3.382e-04 	5.638e-12 	2.110e-10 
0.70035 	0.48629 	1.357e-04 	5.087e-06 	1.352e-04 	1.535e-08 	3.383e-04 	8.588e-12 	2.625e-10 
0.90045 	0.62523 	1.334e-04 	7.468e-06 	1.329e-04 	2.511e-08 	3.385e-04 	1.298e-11 	3.269e-10 
1.10055 	0.76417 	1.301e-04 	1.081e-05 	1.296e-04 	4.081e-08 	3.387e-04 	1.953e-11 	4.086e-10 
1.30065 	0.90311 	1.256e-04 	1.535e-05 	1.252e-04 	6.580e-08 	3.389e-04 	2.932e-11 	5.144e-10 
1.50075 	1.04205 	1.198e-04 	2.129e-05 	1.193e-04 	1.050e-07 	3.393e-04 	4.418e-11 	6.552e-10 
1.70085 	1.18099 	1.125e-04 	2.871e-05 	1.120e-04 	1.652e-07 	3.397e-04 	6.722e-11 	8.481e-10 
1.90095 	1.31992 	1.039e-04 	3.749e-05 	1.034e-04 	2.560e-07 	3.402e-04 	1.039e-10 	1.120e-09 
2.10105 	1.45886 	9.413e-05 	4.736e-05 	9.361e-05 	3.897e-07 	3.408e-04 	1.639e-10 	1.511e-09 
2.30115 	1.59780 	8.371e-05 	5.786e-05 	8.318e-05 	5.819e-07 	3.413e-04 	2.647e-10 	2.086e-09 
2.50125 	1.73674 	7.310e-05 	6.847e-05 	7.256e-05 	8.516e-07 	3.417e-04 	4.377e-10 	2.942e-09 
2.70135 	1.87568 	6.273e-05 	7.872e-05 	6.219e-05 	1.222e-06 	3.420e-04 	7.398e-10 	4.225e-09 
2.90145 	2.01462 	5.297e-05 	8.819e-05 	5.243e-05 	1.721e-06 	3.421e-04 	1.273e-09 	6.163e-09 
3.10155 	2.15356 	4.409e-05 	9.656e-05 	4.355e-05 	2.387e-06 	3.420e-04 	2.222e-09 	9.097e-09 
3.30165 	2.29250 	3.621e-05 	1.036e-04 	3.568e-05 	3.276e-06 	3.414e-04 	3.907e-09 	1.354e-08 
3.50175 	2.43144 	2.940e-05 	1.092e-04 	2.889e-05 	4.476e-06 	3.404e-04 	6.880e-09 	2.024e-08 
3.70185 	2.57038 	2.363e-05 	1.132e-04 	2.314e-05 	6.131e-06 	3.386e-04 	1.205e-08 	3.027e-08 
3.90195 	2.70932 	1.883e-05 	1.154e-04 	1.838e-05 	8.477e-06 	3.358e-04 	2.081e-08 	4.518e-08 
