ID#,Extinction_Index_x,Extinction_Index_y,Ra(deg),Dec(deg),Rotation_Measure(rad/m2),RM_Err(rad/m2),RA_inExtincFile(degree),Dec_inExtincFile(degree),Extinction_Value,Error_Range(pix),Min_Extinction_Value,Min_Extinction_Ra,Min_Extinction_Dec,Max_Extinction_Value,Max_Extinction_RA,Max_Extinction_dec
29,554,584,63.55833333333333,36.04741666666666,34.1,8.1,63.56171416921936,36.047920580398674,0.15904902,1,0.10001859,63.59277243500334,36.02312143469026,0.38094494,63.53103216294801,36.022836603772866
28,554,584,63.55833333333333,36.04338888888888,55.4,26.0,63.56171416921936,36.047920580398674,0.15904902,1,0.10001859,63.59277243500334,36.02312143469026,0.38094494,63.53103216294801,36.022836603772866
12,672,533,60.0,34.69888888888889,84.3,8.8,59.99580333217341,34.70940490441182,0.39276844,1,0.36611813,59.99716882264334,34.68460166637762,0.83420455,59.96422527759896,34.73318615334708
25,603,606,62.03333333333333,36.59227777777778,59.1,11.6,62.03381046546468,36.57997258760085,0.4451679,1,0.19212207,62.00345704710272,36.554484922679954,0.4451761,62.00201680461623,36.604370918892606
30,529,553,64.32083333333334,35.27763888888889,34.8,5.5,64.33153938294255,35.27645562717337,0.47522834,1,0.12895752,64.36210187732591,35.276397979553465,1.0583041,64.30103817570392,35.30140782407674
16,637,578,61.016666666666666,35.84883333333334,-273.0,16.9,61.00774301576576,35.859489236798765,0.5219271,1,0.1732397,60.97807145460381,35.83379974613067,0.737221,60.97595522037851,35.88358672068732
41,479,537,65.84583333333333,34.86244444444445,41.0,9.9,65.84988016644981,34.86611169849288,0.53146356,1,0.33925825,65.82007387315389,34.89140657072579,0.7718892,65.88025204907714,34.86567708506531
50,423,811,67.87916666666666,41.65725,-21.9,12.4,67.89223410889663,41.65777274355756,0.5767738,1,0.3294419,67.92414943288476,41.631790199392526,0.793702,67.89361369561394,41.68265906392543
27,571,566,63.05,35.595333333333336,-0.7,1.6,63.04334525663519,35.59571055355967,0.5866321,1,0.22650324,63.0740313472876,35.5959790049038,0.90896285,63.01303108014339,35.5705212461501
33,514,739,64.82916666666667,39.92480555555555,4.2,10.9,64.83459502842766,39.91959220245632,0.60769594,1,0.60769594,64.83459502842766,39.91959220245632,1.0775772,64.86691462467633,39.89439722704295
49,429,748,67.625,40.097750000000005,-53.2,9.5,67.61188942654019,40.09416926958385,0.6129379,1,0.52080953,67.6131382415638,40.11911120869172,0.89617103,67.6444642916068,40.09318468739527
0,710,596,58.725,36.219722222222224,-75.4,3.3,58.73783575778312,36.227884611518064,0.6272434,1,0.5604428,58.707100531408194,36.22650078262433,0.7891957,58.77037977662909,36.20442280357223
19,613,530,61.77916666666667,34.69083333333333,-20.0,16.6,61.78352323547408,34.68202833769044,0.6388185,1,0.23288831,61.81303826580084,34.70744936639728,0.8596305,61.75402904714053,34.65660254659885
42,484,816,65.84583333333333,41.83416666666667,-51.7,2.0,65.85977246391771,41.83108361652974,0.64922047,1,0.38837123,65.89325454460635,41.830572666967534,1.4301599,65.82691628936239,41.85650655190346
55,393,814,68.89583333333333,41.69419444444444,20.2,16.1,68.89543088905586,41.69530358894804,0.65550035,1,0.4893668,68.92868600687144,41.69391822589969,0.7369369,68.86390562509627,41.72153277079062
46,461,801,66.60833333333333,41.44861111111111,39.9,8.7,66.61577492657811,41.44310376247386,0.7019533,1,0.6123512,66.5816088371377,41.41889201923978,0.78512186,66.58340638008268,41.46874517749857
18,619,614,61.525,36.76508333333334,49.9,14.6,61.52975102985386,36.769787201941256,0.7319374,1,0.4658568,61.49861528681117,36.769108352511786,0.9064788,61.53063391393642,36.74484668588897
7,662,747,59.99583333333333,40.053916666666666,24.9,9.5,60.0062650038062,40.04898611983956,0.7526865,1,0.5889497,59.9722696497279,40.07275426534423,1.0309767,60.0402389214696,40.02520645791743
35,496,550,65.3375,35.187666666666665,31.5,21.0,65.33870739487064,35.19581546500033,0.7824735,1,0.5183885,65.36964408999512,35.22039720441919,1.04912,65.30779067382204,35.17122686017744
21,611,610,61.77916666666667,36.67855555555556,60.9,15.8,61.7820795791045,36.675149970790976,0.822847,1,0.46745056,61.75016745104166,36.69948056986489,1.0577118,61.8139713811026,36.650810973573215
10,662,753,60.0,40.19994444444444,28.1,8.3,59.99744482380585,40.198528031241125,0.9072542,1,0.5632488,59.96337385594521,40.22228703050371,1.3069769,60.03149426780694,40.17475740910484
8,662,746,59.99583333333333,40.02905555555555,26.5,14.2,60.0077313699685,40.02406069287215,0.9102042,1,0.6448025,59.97374858577157,40.04783032874745,1.0309767,60.0402389214696,40.02520645791743
37,491,740,65.59166666666667,39.92688888888889,-17.4,14.2,65.58446105051878,39.93754805421743,0.9601448,1,0.8719805,65.58498486006667,39.96253101115883,1.0913415,65.61650820252767,39.91214981249754
38,484,778,65.84583333333333,40.89275,-16.0,3.6,65.83581914310705,40.88332390256227,0.96535665,1,0.60479784,65.8034056694977,40.90876739819049,0.96535665,65.83581914310705,40.88332390256227
11,666,657,60.0,37.79875,73.0,3.6,60.008153138004,37.8005639551815,1.0974327,1,0.87815565,59.97521980141961,37.82438987103076,1.3709192,60.03965720640934,37.80165592480582
24,598,805,62.03333333333333,41.55561111111111,-2.4,9.6,62.04900861402808,41.55138119773815,1.1015601,1,1.0179285,62.08308790840604,41.52704394302921,1.2890785,62.01644145244859,41.525849601072736
45,468,749,66.35416666666667,40.14922222222222,-74.6,18.8,66.34070732714673,40.15043181933495,1.1469874,1,1.0369685,66.3080466479893,40.1510521084714,1.2552975,66.33991192567338,40.125462820852725
22,599,794,62.03333333333333,41.27672222222222,-2.4,17.5,62.02408592440096,41.27650397343909,1.1587422,1,1.1018198,62.02484731472048,41.2515641745056,1.2794147,61.99165926906229,41.25095821405701
3,689,823,58.97916666666666,41.89897222222222,-7.5,10.1,58.99052918750613,41.90454377290283,1.2957287,1,1.0354469,58.95908752284563,41.87822264022179,1.2989798,58.95719926875546,41.9030523947466
48,450,679,66.8625,38.38991666666666,-3.6,12.7,66.85967165153815,38.389972385814175,1.3520404,1,1.1390107,66.89247502961783,38.414194933661534,1.6271322,66.89053904079896,38.36425705091331
20,608,720,61.77916666666667,39.424416666666666,-3.4,10.5,61.78804060923746,39.42365826050257,1.3597834,1,1.0204374,61.81954668961887,39.44927624928997,1.4977475,61.788865448596056,39.39868112315816
34,506,695,65.08333333333333,38.82880555555556,27.3,11.4,65.08015997806302,38.817968537623415,1.3731,1,1.1964972,65.07982184401249,38.792972098135216,1.7272257,65.1125886300341,38.84269713254559
4,676,777,59.4875,40.770944444444446,8.4,7.6,59.50192172585189,40.779033436124976,1.3985945,1,0.89745224,59.533097822179954,40.80523167319868,1.6097287,59.50358435214248,40.754141660558496
17,624,715,61.270833333333336,39.28658333333333,7.0,15.3,61.27616446933258,39.28735980528612,1.4292054,1,1.3834665,61.309393896367965,39.263170774130224,1.669641,61.24494436560661,39.26160388531225
15,634,672,61.016666666666666,38.19622222222222,37.9,17.6,61.00123350712259,38.205725764935394,1.4828193,1,1.1708026,61.031897660586274,38.23152181403533,1.6690383,61.002317531649936,38.18076621222318
56,379,556,68.89583333333333,35.248222222222225,-17.6,9.1,68.90960712818664,35.25673249212453,1.5205485,1,1.2673208,68.93837813392602,35.23071644767014,1.9553908,68.88081440849268,35.28274464855252
40,483,745,65.84583333333333,40.05758333333333,-33.8,8.4,65.84817862830235,40.05886600759276,1.5439113,1,1.3509332,65.88081064427752,40.05837577752234,2.0260851,65.8161528127141,40.08432515405772
9,659,816,59.99583333333333,41.78194444444444,12.9,19.6,60.0025102060758,41.77075524284142,1.5934986,1,1.1943555,60.037345422465535,41.74706884546144,2.1367579,59.96765245579672,41.79442894096386
6,667,820,59.74166666666667,41.86694444444444,-20.2,7.2,59.72945460654034,41.86036010513395,1.6285082,1,1.472334,59.69447003465852,41.883940126359406,2.1532896,59.7310609194474,41.83550050062004
1,697,824,58.725,41.90669444444444,-56.5,16.5,58.72201507293206,41.91716525688575,1.6364504,1,1.2666543,58.75729405933533,41.893903696924525,1.68631,58.720039591400415,41.94198374974867
2,696,713,58.97916666666666,39.15277777777778,16.1,8.6,58.96471004309507,39.15825592044324,1.6389229,1,1.2083229,58.96289657305287,39.183154269758,2.0660415,58.99854488869624,39.13476618467613
57,389,739,68.89583333333333,39.82691666666667,-23.5,15.3,68.89756308588599,39.82358528082894,1.6755682,1,1.4659102,68.9316381692504,39.8471545036303,1.6755682,68.89756308588599,39.82358528082894
44,475,718,66.1,39.36775,-18.0,13.6,66.09016264410764,39.38024668230008,1.7105281,1,1.5357001,66.12318364675014,39.40467909872508,1.8538749,66.05716372494469,39.35580417678081
54,383,617,68.89583333333333,36.77605555555555,-14.0,13.9,68.88508307563512,36.77745643376706,1.7153445,1,1.6264162,68.85567878938991,36.80357474902756,2.100021,68.85245287174007,36.75381184171985
36,498,687,65.3375,38.60783333333333,5.1,10.3,65.33335601459578,38.61562890205883,1.7241683,1,1.6478637,65.36577695827441,38.64028717624954,2.1624117,65.36490259359152,38.59030003721448
52,397,579,68.3875,35.84127777777778,-24.2,7.7,68.39519031756484,35.84861655950676,1.7266217,1,1.6992408,68.39375159073359,35.82375605237491,2.0286975,68.42729883146359,35.87238462268946
43,475,717,66.1,39.35397222222223,-26.4,4.2,66.08946448523852,39.35526336087261,1.7616835,1,1.5598382,66.12247356800891,39.379696465964734,1.8538749,66.05716372494469,39.35580417678081
5,682,664,59.4875,37.95841666666667,44.5,9.6,59.49326034072362,37.95633909910617,1.8828444,1,1.5275433,59.52638740468919,37.93265868728449,2.0399354,59.46172556265755,37.95509786923893
39,483,746,65.84583333333333,40.07691666666667,-34.7,3.1,65.8487976099574,40.08384365214554,1.9201076,1,1.3509332,65.88081064427752,40.05837577752234,2.0990374,65.8167605706663,40.10930274690078
26,593,695,62.2875,38.80938888888888,56.0,2.4,62.28918339871498,38.80766693648862,1.9993387,1,1.8237689,62.25712827267783,38.80716281654362,2.1928165,62.32060848520008,38.83314999929911
