ID#,Ra(deg),Dec(deg),RM_Raw_Value,RM_Raw_Err,Scaled_RM,TotalRMScaledErrWithStDev,TotalRMScaledErrWithAvgErr,Extinction,Scaled_Extinction,eAbundance,BScaled_RM_ERR_with_0.05Uncty&StDev,BScaled_RM_ERR_with_0.05Uncty,Raw_Magnetic_FieldMagnetic_Field(uG),Magnetic_Field(uG),Reference_BField_RMErr(±),BField_of_Min_Extinction,BField_of_Max_Extinction
1,58.725,41.90669444444444,-56.5,16.5,-31.6875,28.1257017837327,25.55,1.6364504,1.0170975924999999,0.0001334,143.70922247165657,1.2308401253608672,-695.4246708288898,-390.02246472372474,113.9003658042736,-607.4477397061387,-372.0056634572752
2,58.97916666666666,39.15277777777778,16.1,8.6,40.9125,20.225701783732703,17.65,1.6389229,1.0195700925,0.0001334,143.36490544505136,1.2278911203846956,197.690470381936,502.3609546273886,268.3418763848162,861.8606076781685,357.2715040582209
3,58.97916666666666,41.89897222222222,-7.5,10.1,17.3125,21.725701783732703,19.15,1.2957287,0.6763758925,0.0001373,214.2128701523999,1.8346894612438143,-137.60170959328607,317.6306129778353,-427.74255881015154,513.9621631232817,316.1129716142679
4,59.4875,40.770944444444446,8.4,7.6,33.2125,19.225701783732703,16.65,1.3985945,0.7792416925,0.0001357,186.6535315240711,1.598649357284272,134.28654601187884,530.9514177880387,480.38461609393977,1475.2457650367423,419.68629623194454
5,59.4875,37.95841666666667,44.5,9.6,69.3125,21.225701783732703,18.65,1.8828444,1.2634915924999999,0.0001301,116.40641108462307,0.9969971248050167,443.66372053823244,691.0436321304771,149.0790756955636,951.4516236024966,616.1745284157222
6,59.74166666666667,41.86694444444444,-20.2,7.2,4.612500000000001,18.8257017837327,16.25,1.6285082,1.0091553924999999,0.0001334,144.82651850362603,1.240409537569786,-250.56272658909674,57.21388992040638,-20.393069674600298,67.3939962190065,38.2024020181961
7,59.99583333333333,40.053916666666666,24.9,9.5,49.7125,21.1257017837327,18.55,0.7526865,0.13333369250000005,0.0001392,1038.050808738894,8.890693064678729,2213.7825731050034,4419.785789778412,1686.2636547347358,4419.785789778412,1491.859556310407
8,59.99583333333333,40.02905555555555,26.5,14.2,51.3125,25.8257017837327,23.25,0.9102042,0.2908513925,0.0001384,495.8779056427655,4.247092935635378,1125.4796279433754,2179.2895625979036,1167.770256184537,4562.036878813273,1539.8751517863268
9,59.99583333333333,41.78194444444444,12.9,19.6,37.7125,31.225701783732703,28.650000000000002,1.5934986,0.9741457925,0.0001334,149.96604224316096,1.2844285082041302,165.69127755833279,484.39010115648256,735.972556795896,813.720644717174,314.27088959893837
10,60.0,40.19994444444444,28.1,8.3,52.9125,19.925701783732702,17.35,0.9072542,0.2879013925,0.0001384,500.9589502634376,4.29061104456611,1205.6617035230768,2270.269568956043,670.5778442112155,4704.287967848132,954.9185030320036
11,60.0,37.79875,73.0,3.6,97.8125,15.225701783732701,12.65,1.0974327,0.47807989249999994,0.0001373,302.91418982321704,2.5943981392643614,1893.9106416629836,2537.645679967953,125.14417051896754,4668.616805633894,1620.9429000001062
12,60.0,34.69888888888889,84.3,8.8,109.1125,20.425701783732702,17.85,0.39276844,-0.2265843675,0.0001392,1038.050808738894,8.890693064678729,7494.854253524168,9700.857470197578,1012.6636505069833,9700.857470197578,6273.335841850346
