ID#,Ra(deg),Dec(deg),RM_Raw_Value,RM_Raw_Err,Scaled_RM,TotalRMScaledErrWithStDev,TotalRMScaledErrWithAvgErr,Extinction,Scaled_Extinction,eAbundance,BScaled_RM_ERR_with_0.05Uncty&StDev,BScaled_RM_ERR_with_0.05Uncty,Raw_Magnetic_FieldMagnetic_Field(uG),Magnetic_Field(uG),Reference_BField_RMErr(±),BField_of_Min_Extinction,BField_of_Max_Extinction
0,58.725,36.219722222222224,-75.4,3.3,-74.51666666666667,58.244404729791285,16.116666666666667,0.6272434,0.26837843,0.0001385,2531.2428240499703,4.602727925662516,-3470.456855949537,-3429.7994259395177,150.11058495491255,-4566.395943187548,-2146.4117664915893
1,58.725,41.90669444444444,-56.5,16.5,-55.61666666666667,71.44440472979129,29.31666666666667,1.6364504,1.27758543,0.0001308,541.770022126088,0.9851366239674982,-556.6021925416364,-547.9001523632569,160.0062391857299,-763.0955183794309,-527.7299183240983
2,58.97916666666666,39.15277777777778,16.1,8.6,16.983333333333338,63.54440472979129,21.416666666666668,1.6389229,1.2800579300000001,0.0001308,540.7451271928038,0.9832729890426002,158.30695123585863,166.99252930573496,89.20097838691431,248.95498177043433,126.66066093147322
3,58.97916666666666,41.89897222222222,-7.5,10.1,-6.6166666666666645,65.04440472979128,22.916666666666668,1.2957287,0.93686373,0.000136,731.2316949369563,1.3296474405528702,-99.72355804146525,-87.97833898324821,118.47749649744092,-121.29195433223919,-87.67526791290486
4,59.4875,40.770944444444446,8.4,7.6,9.283333333333335,62.54440472979129,20.416666666666668,1.3985945,1.03972953,0.0001338,661.6470410577447,1.203117015828559,101.06182932959895,111.6893629694179,101.05228078185428,213.72165233670455,93.36602514119211
5,59.4875,37.95841666666667,44.5,9.6,45.38333333333333,64.54440472979128,22.416666666666668,1.8828444,1.52397943,0.0001267,457.71550627333687,0.8322946825631984,370.3711337406233,377.72307010326483,81.4863252357605,486.33848630116137,343.55429548530236
6,59.74166666666667,41.86694444444444,-20.2,7.2,-19.316666666666663,62.14440472979129,20.01666666666667,1.6285082,1.26964323,0.0001308,545.0886487163696,0.9911711043961658,-200.21656308802548,-191.461218332526,68.24360257396967,-217.16394325809782,-137.97958080946992
7,59.99583333333333,40.053916666666666,24.9,9.5,25.783333333333335,64.44440472979129,22.31666666666667,0.7526865,0.39382153000000003,0.0001385,1724.9716516699768,3.1366311902918627,781.0211663826738,808.728075230252,308.55087207579896,1384.248871887904,475.7817729835475
8,59.99583333333333,40.02905555555555,26.5,14.2,27.383333333333336,69.14440472979129,27.016666666666666,0.9102042,0.55133923,0.0001375,1236.8385855015567,2.2490262265381755,595.9919500326165,615.8583483670371,330.007114974035,1182.9818011355014,505.30669231542896
9,59.99583333333333,41.78194444444444,12.9,19.6,13.783333333333335,74.5444047297913,32.41666666666667,1.5934986,1.23463363,0.0001308,560.2153686650427,1.0186770298134815,131.40933684593912,140.40765060929155,213.3325544141174,205.40994589425992,99.31898544939948
10,60.0,40.19994444444444,28.1,8.3,28.983333333333338,63.244404729791285,21.116666666666667,0.9072542,0.54838923,0.0001375,1243.4837275439863,2.261109532240055,635.3717785594554,655.3449127609093,193.57162903614048,1751.7200874557436,380.8216394219921
11,60.0,37.79875,73.0,3.6,73.88333333333334,58.54440472979129,16.416666666666668,1.0974327,0.73856773,0.000136,926.5938401821348,1.6848874803443141,1229.9678606513494,1244.851033394391,61.389913975613794,1764.071272300979,912.9455788018165
13,60.50833333333333,41.51016666666667,-16.5,8.9,-15.616666666666665,63.844404729791286,21.71666666666667,3.0134103,2.65454533,9.737e-05,279.8385073068201,0.5088490523386416,-83.96009363587588,-79.46526034021787,42.8630798198751,-101.59857199904401,-67.48870774418693
14,60.7625,38.325138888888894,7.1,16.3,7.983333333333335,71.24440472979128,29.116666666666667,2.0179389,1.65907393,0.0001267,421.651495034728,0.7667170816857904,54.43691279969111,61.20958035458228,140.523402785872,72.63625921122042,49.446615306654
15,61.016666666666666,38.19622222222222,37.9,17.6,38.78333333333333,72.5444047297913,30.41666666666667,1.4828193,1.1239543300000001,0.0001338,612.553051438715,1.1138461347993933,422.14768508897004,431.986659279698,200.60594204017642,594.670617208829,372.7570416108591
17,61.270833333333336,39.28658333333333,7.0,15.3,7.8833333333333355,70.24440472979128,28.116666666666667,1.4292054,1.0703404300000001,0.0001338,642.9196437449908,1.1690637382182842,81.8344616752799,92.16119136287476,201.43803255028342,96.23101640636732,75.73469827674316
18,61.525,36.76508333333334,49.9,14.6,50.78333333333333,69.54440472979128,27.416666666666668,0.7319374,0.37307242999999995,0.0001385,1820.9090794173603,3.311080624227481,1652.2292314895126,1681.4771103368555,491.97526675186555,4630.981481933772,1149.890661957588
19,61.77916666666667,34.69083333333333,-20.0,16.6,-19.116666666666664,71.5444047297913,29.41666666666667,0.6388185,0.27995352999999995,0.0001385,2426.5847802215517,4.412421212929385,-882.484242585877,-843.5078552050006,700.1115198201505,-1743.2673973672581,-473.30028100272085
20,61.77916666666667,39.424416666666666,-3.4,10.5,-2.516666666666665,65.44440472979129,23.31666666666667,1.3597834,1.00091843,0.0001338,687.0199299737419,1.249254234770493,-42.47464398219676,-31.439564908390718,97.09277398179486,-47.1792975336756,-27.667924609317613
21,61.77916666666667,36.67855555555556,60.9,15.8,61.78333333333333,70.74440472979128,28.616666666666667,0.822847,0.46398203,0.0001375,1469.3638853167163,2.671842512954304,1627.1520903891712,1650.7533659202675,428.27427227488056,5634.082163941087,1099.8395979216516
22,62.03333333333333,41.27672222222222,-2.4,17.5,-1.5166666666666648,72.44440472979129,30.31666666666667,1.1587422,0.7998772300000001,0.000136,855.893882938407,1.556329025004896,-37.351896600117506,-23.60432354590756,172.11485918890932,-25.40396806908191,-20.52229779167582
23,62.03333333333333,40.37902777777778,21.8,6.1,22.683333333333337,61.04440472979129,18.916666666666668,2.3540301,1.9951651300000002,0.0001214,355.28863130921434,0.6460450532283863,140.83782160378823,146.54455290730567,41.00558590525525,156.47216717237293,142.5521073367322
24,62.03333333333333,41.55561111111111,-2.4,9.6,-1.5166666666666648,64.54440472979128,22.416666666666668,1.1015601,0.74269513,0.000136,921.4696052970957,1.6755697417303292,-40.2136738015279,-25.412807749576626,101.6512309983065,-28.540680535813305,-20.30992801430313
26,62.2875,38.80938888888888,56.0,2.4,56.88333333333333,57.344404729791286,15.216666666666669,1.9993387,1.64047373,0.0001267,426.27582756515926,0.7751258144526099,434.0704560934615,440.9174007877929,18.89646003376255,490.0160289405801,398.03865398161724
27,63.05,35.595333333333336,-0.7,1.6,0.18333333333333524,56.54440472979129,14.416666666666668,0.5866321,0.22776712999999998,0.0001385,2982.568095173774,5.423402816756144,-37.963819717293,9.942905164053032,-22.726640374978363,16.718344700122096,4.132507622855658
31,64.575,38.01386111111111,-24.2,11.2,-23.316666666666663,66.14440472979129,24.016666666666666,3.5451694,3.18630443,7.706e-05,245.27148432430198,0.44599352521300184,-107.93043310154644,-103.99082362883158,48.127984489376594,-117.63250391533013,-103.99082362883158
32,64.575,38.04044444444444,-13.7,18.6,-12.816666666666665,73.5444047297913,31.41666666666667,3.2261524,2.86728743,8.739e-05,264.2237192040015,0.48045563999144003,-65.82242267882728,-61.57839785890289,83.60278833398495,-69.52379560869416,-57.1615034814664
33,64.82916666666667,39.92480555555555,4.2,10.9,5.083333333333336,65.8444047297913,23.71666666666667,0.60769594,0.24883097000000004,0.0001385,2730.090129324727,4.964305264760503,208.5008211199411,252.3521842919923,654.9140020911229,252.3521842919923,88.00267288278275
34,65.08333333333333,38.82880555555556,27.3,11.4,28.183333333333337,66.3444047297913,24.21666666666667,1.3731,1.01423503,0.0001338,678.0977039640677,1.2330303551712636,336.6172869617549,347.50905509910115,145.11367136006422,418.9406885232876,259.58127203605676
35,65.3375,35.187666666666665,31.5,21.0,32.38333333333333,75.94440472979129,33.81666666666667,0.7824735,0.42360853000000004,0.0001375,1609.1808035808488,2.9260809558488265,921.7155010923801,947.5625495357115,631.7083663571409,2507.608369573815,583.6116273803943
36,65.3375,38.60783333333333,5.1,10.3,5.983333333333335,65.24440472979128,23.116666666666667,1.7241683,1.3653033300000001,0.0001308,507.63573451507506,0.9230679684765845,47.076466392305804,55.230233447182314,111.54341264823097,58.432775822066624,42.53492570393887
