ID#,Ra(deg),Dec(deg),RM_Raw_Value,RM_Raw_Err,Scaled_RM,TotalRMScaledErrWithStDev,TotalRMScaledErrWithAvgErr,Extinction,Scaled_Extinction,eAbundance,BScaled_RM_ERR_with_0.05Uncty&StDev,BScaled_RM_ERR_with_0.05Uncty,Raw_Magnetic_FieldMagnetic_Field(uG),Magnetic_Field(uG),Reference_BField_RMErr(±),BField_of_Min_Extinction,BField_of_Max_Extinction
0,58.725,36.219722222222224,-75.4,3.3,-74.51666666666667,58.244404729791285,16.116666666666667,0.6272434,0.26837843,0.0001386,2529.425707880516,4.599423741939857,-3467.965501422653,-3427.33725836885,150.00282430526795,-4563.117841290069,-2144.9525503417863
1,58.725,41.90669444444444,-56.5,16.5,-55.61666666666667,71.44440472979129,29.31666666666667,1.6364504,1.27758543,0.0001315,541.1399518562814,0.9839909251043096,-555.9548726839349,-547.2629528455135,159.82015437081367,-762.6212501711367,-527.0663180481026
2,58.97916666666666,39.15277777777778,16.1,8.6,16.983333333333338,63.54440472979129,21.416666666666668,1.6389229,1.2800579300000001,0.0001315,540.1136233521446,0.982124683421761,158.12207403090352,166.79750873446244,89.09680590784949,248.80204644907113,126.42591965196728
3,58.97916666666666,41.89897222222222,-7.5,10.1,-6.6166666666666645,65.04440472979128,22.916666666666668,1.2957287,0.93686373,0.0001343,732.970720029086,1.3328096260527842,-99.96072195395882,-88.1875702571592,118.75926127964105,-121.57107851945533,-87.88592760527983
4,59.4875,40.770944444444446,8.4,7.6,9.283333333333335,62.54440472979129,20.416666666666668,1.3985945,1.03972953,0.0001343,661.1702342272946,1.2022500061158568,100.98900051373197,111.60887556775538,100.97945884701676,213.5745683832821,93.26245344676992
5,59.4875,37.95841666666667,44.5,9.6,45.38333333333333,64.54440472979128,22.416666666666668,1.8828444,1.52397943,0.0001278,457.0521451844518,0.8310884487796991,369.83435970696604,377.17564100452006,81.36822817176163,485.9482385818062,342.93556763632114
6,59.74166666666667,41.86694444444444,-20.2,7.2,-19.316666666666663,62.14440472979129,20.01666666666667,1.6285082,1.26964323,0.0001315,544.4632888366119,0.990033970749879,-199.98686209147556,-191.24156201651826,68.16530923361047,-216.99679176590462,-137.71096710090268
7,59.99583333333333,40.053916666666666,24.9,9.5,25.783333333333335,64.44440472979129,22.31666666666667,0.7526865,0.39382153000000003,0.0001386,1723.7333374907448,3.134379480894668,780.4604907427723,808.1475094906752,308.3293710908199,1383.2551541047828,476.8633251468653
8,59.99583333333333,40.02905555555555,26.5,14.2,27.383333333333336,69.14440472979129,27.016666666666666,0.9102042,0.55133923,0.0001376,1235.986437679643,2.247476709226186,595.5813279449393,615.4340388764373,329.77974913378904,1182.132567968857,506.4553608379442
9,59.99583333333333,41.78194444444444,12.9,19.6,13.783333333333335,74.5444047297913,32.41666666666667,1.5934986,1.23463363,0.0001315,559.612804700984,1.0175813475035826,131.26799382796213,140.2566290642438,213.10309532241695,205.28414515097592,99.13148052910427
