ID#,Ra(deg),Dec(deg),Extinction,Magnetic_Field(uG),TotalUpperBUncertainty,TotalLowerBUncertainty
0,58.725,36.219722222222224,0.6272434,-3429.7994259395177,2972,2912
1,58.725,41.90669444444444,1.6364504,-548.5170386565144,705,737
2,58.97916666666666,39.15277777777778,1.6389229,167.18113833947027,631,627
3,58.97916666666666,41.89897222222222,1.2957287,-88.05933066052954,866,866
4,59.4875,40.770944444444446,1.3985945,111.80510020008796,760,753
5,59.4875,37.95841666666667,1.8828444,376.5938571341421,547,537
6,59.74166666666667,41.86694444444444,1.6285082,-191.67459439382972,619,617
7,59.99583333333333,40.053916666666666,0.7526865,808.7280752302522,2102,2049
8,59.99583333333333,40.02905555555555,0.9102042,616.1710782026238,1656,1560
9,59.99583333333333,41.78194444444444,1.5934986,140.05617388434317,760,759
10,60.0,40.19994444444444,0.9072542,655.6769377222686,1802,1457
11,60.0,37.79875,1.0974327,1245.8188560101823,1115,1042
13,60.50833333333333,41.51016666666667,3.0134103,-79.74537739012446,326,327
14,60.7625,38.325138888888894,2.0179389,61.312840117676096,547,547
15,61.016666666666666,38.19622222222222,1.4828193,432.471908334693,825,811
17,61.270833333333336,39.28658333333333,1.4292054,92.2597529747423,822,822
18,61.525,36.76508333333334,0.7319374,1681.477110336855,3651,2363
19,61.77916666666667,34.69083333333333,0.6388185,-843.5078552050006,3178,3271
20,61.77916666666667,39.424416666666666,1.3597834,-31.47072958284767,818,819
21,61.77916666666667,36.67855555555556,0.822847,1651.5249821076284,4282,1970
22,62.03333333333333,41.27672222222222,1.1587422,-23.623897477933227,1128,1128
23,62.03333333333333,40.37902777777778,2.3540301,146.89943666015608,395,395
24,62.03333333333333,41.55561111111111,1.1015601,-25.43266059523321,1082,1082
26,62.2875,38.80938888888888,1.9993387,441.64342868633,448,447
27,63.05,35.595333333333336,0.5866321,9.942905164053032,3067,3067
31,64.575,38.01386111111111,3.5451694,-103.69508313490476,294,295
32,64.575,38.04044444444444,3.2261524,-61.41589727538972,352,353
33,64.82916666666667,39.92480555555555,0.60769594,252.3521842919923,3269,3273
34,65.08333333333333,38.82880555555556,1.3731,347.85902278797647,822,824
35,65.3375,35.187666666666665,0.7824735,947.9824756654016,2716,2253
36,65.3375,38.60783333333333,1.7241683,55.29892254015068,603,603
37,65.59166666666667,39.92688888888889,0.9601448,-340.82553976883,1428,1428
38,65.84583333333333,40.89275,0.96535665,-309.25913026258155,1198,1279
39,65.84583333333333,40.07691666666667,1.9201076,-275.3699692695665,473,496
40,65.84583333333333,40.05758333333333,1.5439113,-348.3261798306584,677,674
41,65.84583333333333,34.86244444444445,0.53146356,2997.553247338658,4697,4983
42,65.84583333333333,41.83416666666667,0.64922047,-2161.917060893344,2886,3379
43,66.1,39.35397222222223,1.7616835,-229.6517322240553,532,534
44,66.1,39.36775,1.7105281,-159.75742798229317,640,640
45,66.35416666666667,40.14922222222222,1.1469874,-1165.2612873225655,1174,1180
46,66.60833333333333,41.44861111111111,0.7019533,1468.3841391576984,2350,2309
47,66.8625,36.05711111111111,2.9366941,-105.66427751799108,366,366
48,66.8625,38.38991666666666,1.3520404,-34.23330214300735,852,852
49,67.625,40.097750000000005,0.6129379,-2543.5751954775915,3406,3451
50,67.87916666666666,41.65725,0.5767738,-1191.3844273363843,3863,3877
51,67.87916666666666,34.94266666666666,2.1651974,-309.4610150383414,446,455
52,68.3875,35.84127777777778,1.7266217,-215.11793999823337,579,578
53,68.64166666666667,34.515388888888886,2.301355,-77.8172734816415,423,424
54,68.89583333333333,36.77605555555555,1.7153445,-121.99818461018133,641,640
55,68.89583333333333,41.69419444444444,0.65550035,877.969114486712,3122,2965
56,68.89583333333333,35.248222222222225,1.5205485,-180.41684810975585,693,693
57,68.89583333333333,39.82691666666667,1.6755682,-216.57377404065247,673,674
