ID#,Ra(deg),Dec(deg),RM_Raw_Value,RM_Raw_Err,Scaled_RM,TotalRMScaledErrWithStDev,TotalRMScaledErrWithAvgErr,Extinction,Scaled_Extinction,eAbundance,BScaled_RM_ERR_with_0.05Uncty&StDev,BScaled_RM_ERR_with_0.05Uncty,Raw_Magnetic_FieldMagnetic_Field(uG),Magnetic_Field(uG),Reference_BField_RMErr(±),BField_of_Min_Extinction,BField_of_Max_Extinction
0,58.725,36.219722222222224,-75.4,3.3,-74.51666666666667,58.244404729791285,16.116666666666667,0.6272434,0.26837843,0.0001388,2523.989979281919,4.589539593497294,-3460.51285349696,-3419.9719204210664,149.68046866564347,-4553.311714123973,-2141.1954317406307
1,58.725,41.90669444444444,-56.5,16.5,-55.61666666666667,71.44440472979129,29.31666666666667,1.6364504,1.27758543,0.0001308,540.4345708074713,0.9827082836205517,-555.2301802456117,-546.5495904069635,159.61182728698935,-761.278694956898,-526.4479501174326
2,58.97916666666666,39.15277777777778,16.1,8.6,16.983333333333338,63.54440472979129,21.416666666666668,1.6389229,1.2800579300000001,0.0001308,539.4131960153064,0.9808510496034124,157.91701898614937,166.58120325764622,88.98126385191038,248.3587865976736,126.37581832357617
3,58.97916666666666,41.89897222222222,-7.5,10.1,-6.6166666666666645,65.04440472979128,22.916666666666668,1.2957287,0.93686373,0.0001362,729.495340588337,1.3264901114442984,-99.48675835832238,-87.76942904056438,118.19616444129336,-121.00903924839301,-87.46713726743045
4,59.4875,40.770944444444446,8.4,7.6,9.283333333333335,62.54440472979129,20.416666666666668,1.3985945,1.03972953,0.000134,660.12174533325,1.2003434687159227,100.82885137213749,111.43188534579483,100.8193248366715,213.21378678960934,93.13398311367682
5,59.4875,37.95841666666667,44.5,9.6,45.38333333333333,64.54440472979128,22.416666666666668,1.8828444,1.52397943,0.0001308,454.6457776648754,0.826712789962407,367.88719153327116,375.18982117793905,80.93982659119584,485.2617794050796,342.7701004653115
6,59.74166666666667,41.86694444444444,-20.2,7.2,-19.316666666666663,62.14440472979129,20.01666666666667,1.6285082,1.26964323,0.0001308,543.7417733004879,0.98872199084998,-199.72184215169594,-190.98813123252108,68.07497746901743,-216.6752218702182,-136.97396411950908
7,59.99583333333333,40.053916666666666,24.9,9.5,25.783333333333335,64.44440472979129,22.31666666666667,0.7526865,0.39382153000000003,0.0001388,1720.0290394875412,3.1276437083712554,778.7832833844426,806.4108028083888,307.666772155811,1380.2825427420933,474.6714648390319
8,59.99583333333333,40.02905555555555,26.5,14.2,27.383333333333336,69.14440472979129,27.016666666666666,0.9102042,0.55133923,0.0001378,1233.9056320296345,2.2436930413053635,594.5786559459214,614.397944477452,329.22455892754033,1179.5921684674913,504.1274833422944
9,59.99583333333333,41.78194444444444,12.9,19.6,13.783333333333335,74.5444047297913,32.41666666666667,1.5934986,1.23463363,0.000134,556.9185481841643,1.0126822008902903,130.63600391484744,139.58136335604502,212.07711021538623,204.91728774638003,98.61663130789708
