ID#,Ra(deg),Dec(deg),RM_Raw_Value,RM_Raw_Err,Scaled_RM,TotalRMScaledErrWithStDev,TotalRMScaledErrWithAvgErr,Extinction,Scaled_Extinction,eAbundance,BScaled_RM_ERR_with_0.05Uncty&StDev,BScaled_RM_ERR_with_0.05Uncty,Raw_Magnetic_FieldMagnetic_Field(uG),Magnetic_Field(uG),Reference_BField_RMErr(±),BField_of_Min_Extinction,BField_of_Max_Extinction
0,58.725,36.219722222222224,-75.4,3.3,-74.51666666666667,58.244404729791285,16.116666666666667,0.6272434,0.26837843,0.0001382,2534.884900055798,4.609350555771383,-3475.4503190516234,-3434.734389142309,150.3265714080851,-4572.966297062638,-2150.474162675411
1,58.725,41.90669444444444,-56.5,16.5,-55.61666666666667,71.44440472979129,29.31666666666667,1.6364504,1.27758543,0.0001297,543.4532295176374,0.9881973124135677,-558.3314815136657,-549.6024052540125,160.50335728657004,-764.8940963504558,-529.425846696185
2,58.97916666666666,39.15277777777778,16.1,8.6,16.983333333333338,63.54440472979129,21.416666666666668,1.6389229,1.2800579300000001,0.0001297,542.428116719302,0.9863332813300927,158.79965829414493,167.5122689458941,89.47860328786888,249.53221864995132,127.17225984944824
3,58.97916666666666,41.89897222222222,-7.5,10.1,-6.6166666666666645,65.04440472979128,22.916666666666668,1.2957287,0.93686373,0.0001354,732.9678375607273,1.3328043846680055,-99.96032885010042,-88.18722345219967,118.75879424896223,-121.53378032411591,-87.88359681359977
4,59.4875,40.770944444444446,8.4,7.6,9.283333333333335,62.54440472979129,20.416666666666668,1.3985945,1.03972953,0.000133,663.4593200946501,1.2064124038699602,101.33864192507666,111.99528482592798,101.32906722345864,214.13808142754144,93.65043950469997
5,59.4875,37.95841666666667,44.5,9.6,45.38333333333333,64.54440472979128,22.416666666666668,1.8828444,1.52397943,0.0001297,457.32454713852513,0.8315837754504973,370.0547800754713,377.40043675861733,81.4167234355669,487.7604036837113,344.91911729422577
6,59.74166666666667,41.86694444444444,-20.2,7.2,-19.316666666666663,62.14440472979129,20.01666666666667,1.6285082,1.26964323,0.0001297,546.7724846303518,0.9942329357265631,-200.83505301676573,-192.0526620845144,68.45441420834177,-217.78282278975223,-137.85121396565953
7,59.99583333333333,40.053916666666666,24.9,9.5,25.783333333333335,64.44440472979129,22.31666666666667,0.7526865,0.39382153000000003,0.0001382,1727.4536252695025,3.1411443286951615,782.1449378450951,809.8917127485691,308.99483016511675,1386.2405968834262,476.7298040314802
8,59.99583333333333,40.02905555555555,26.5,14.2,27.383333333333336,69.14440472979129,27.016666666666666,0.9102042,0.55133923,0.0001371,1239.2548719206789,2.2534199215531396,597.1562792115819,617.0614885186347,330.65181648923067,1184.6839332234665,506.3135539907706
9,59.99583333333333,41.78194444444444,12.9,19.6,13.783333333333335,74.5444047297913,32.41666666666667,1.5934986,1.23463363,0.000133,559.8084935793847,1.0179371816640979,131.3138964346686,140.3056748727015,213.1776145352674,205.88417097380628,99.24638284806088
10,60.0,40.19994444444444,28.1,8.3,28.983333333333338,63.244404729791285,21.116666666666667,0.9072542,0.54838923,0.0001371,1245.9115453542188,2.2655241955538257,636.6122989506249,656.6244293446838,193.94956453953293,1754.240548013234,381.7282573565937
11,60.0,37.79875,73.0,3.6,73.88333333333334,58.54440472979129,16.416666666666668,1.0974327,0.73856773,0.0001354,928.659418618397,1.6886434596051338,1232.7097255117476,1247.6260760715932,61.52676539531144,1767.493953032806,915.4044602458061
13,60.50833333333333,41.51016666666667,-16.5,8.9,-15.616666666666665,63.844404729791286,21.71666666666667,3.0134103,2.65454533,9.339e-05,281.7402925513268,0.5123071954967519,-84.53068725696404,-80.00530703007607,43.15437773137437,-102.08227858236215,-68.1414514806806
14,60.7625,38.325138888888894,7.1,16.3,7.983333333333335,71.24440472979128,29.116666666666667,2.0179389,1.65907393,0.0001252,423.3022923055427,0.7697188366441825,54.65003740173696,61.449220458760585,141.07356246166162,72.8780309507474,49.69677038742811
15,61.016666666666666,38.19622222222222,37.9,17.6,38.78333333333333,72.5444047297913,30.41666666666667,1.4828193,1.1239543300000001,0.000133,614.3076558633808,1.1170366492404296,423.3568900621227,433.22404713041317,201.180560144994,596.0330688831021,373.94149387805425
17,61.270833333333336,39.28658333333333,7.0,15.3,7.8833333333333355,70.24440472979128,28.116666666666667,1.4292054,1.0703404300000001,0.000133,644.7113720853679,1.1723217575553067,82.06252302887147,92.4180318872767,201.9994125536191,96.49222273689047,75.9754452353302
18,61.525,36.76508333333334,49.9,14.6,50.78333333333333,69.54440472979128,27.416666666666668,0.7319374,0.37307242999999995,0.0001382,1823.52909248127,3.3158447690105417,1654.6065397362602,1683.89650186252,492.6831448335229,4521.486683592556,1152.1353906709576
