ID#,Ra(deg),Dec(deg),RM_Raw_Value,RM_Raw_Err,Scaled_RM,TotalRMScaledErrWithStDev,TotalRMScaledErrWithAvgErr,Extinction,Scaled_Extinction,eAbundance,BScaled_RM_ERR_with_0.05Uncty&StDev,BScaled_RM_ERR_with_0.05Uncty,Raw_Magnetic_FieldMagnetic_Field(uG),Magnetic_Field(uG),Reference_BField_RMErr(±),BField_of_Min_Extinction,BField_of_Max_Extinction
1,81.1,-10.203194444444444,-25.7,16.3,-31.006666666666664,27.488967638946715,27.32,1.6227919,1.1211736743333334,0.0001407,123.16839878885312,1.0959049153414604,-281.6475632427554,-339.80358408354215,215.51744827088473,-1229.6804643924193,-301.1258847086509
2,81.1,-10.149138888888888,-21.3,7.4,-26.606666666666666,18.588967638946713,18.42,0.9974991,0.4958808743333334,0.00014,278.76871816640306,2.4803765534512072,-528.3202058851072,-659.9455216549178,229.27684789889165,-1055.1826990733489,-258.39462607444113
3,81.35416666666667,-7.656916666666667,-41.6,13.2,-46.906666666666666,24.388967638946713,24.22,0.972172,0.47055377433333345,0.00014,293.7731737397862,2.6138804130173456,-1087.3742518152158,-1226.0841723993362,389.04593931902014,-1860.2519345226967,-855.221336803723
4,81.35416666666667,-7.129444444444444,-9.6,14.9,-14.906666666666666,26.088967638946713,25.92,1.1187518,0.6171335743333335,0.00014,223.99701045348218,1.9930390196805885,-191.33174588933645,-297.09568320038636,461.1172583005997,-591.1772776567296,-92.32918806228221
5,81.35416666666667,-7.808,-8.3,14.9,-13.606666666666666,26.088967638946713,25.92,0.86371434,0.36209611433333344,0.00014,381.7662499793717,3.39680887287571,-281.935136448684,-462.1924606359549,829.7189955994852,-539.6211197215497,-309.3486838953145
13,82.37083333333334,-5.066777777777777,-1.0,7.3,-6.306666666666666,18.488967638946715,18.32,1.1425351,0.6409168743333333,0.00014,215.6848746491945,1.9190808406794906,-19.190808406794904,-121.03003168551984,883.5192313042949,-250.11346362400099,-78.93006979235278
14,82.37083333333334,-4.888416666666666,8.5,6.5,3.1933333333333342,17.688967638946714,17.520000000000003,0.91942126,0.41780303433333343,0.00014,330.8642215146059,2.9439022528016956,250.23169148814415,94.00861193946751,71.88893854194573,126.643075133083,37.99212486917215
16,82.87916666666666,-9.5515,7.4,7.8,2.0933333333333346,18.988967638946715,18.82,0.8232442,0.3216259743333334,0.00014,429.8038303270574,3.8242287382129834,282.99292662776077,80.05385491992516,84.38109032100219,83.0186338033154,48.890612857040615
17,82.87916666666666,-7.181972222222223,-36.3,5.0,-41.60666666666666,16.188967638946714,16.020000000000003,0.8276192,0.3260009743333334,0.00014,424.0357746900265,3.772906803473687,-1369.5651696609482,-1569.7807573652851,216.223244816155,-1650.0614444792707,-1018.4154205485453
19,83.13333333333334,-8.364138888888888,-100.8,9.2,-106.10666666666667,20.388967638946713,20.22,0.76255554,0.26093731433333345,0.0001398,445.7215312476253,3.965858302706147,-3997.5851691277962,-4208.040049724736,384.06714739551154,-4208.040049724736,-1785.5539883578879
22,83.89583333333333,-5.391472222222222,-13.5,10.2,-18.806666666666665,21.388967638946713,21.22,13.854413,13.352794774333333,4.457e-07,17.707691252128054,0.15755620819447053,-21.27008810625352,-29.631070887773422,22.387920226317696,-30.849925154589926,-29.601467709343044
