ID#,Ra(deg),Dec(deg),RM_Raw_Value,RM_Raw_Err,Scaled_RM,TotalRMScaledErrWithStDev,TotalRMScaledErrWithAvgErr,Extinction,Scaled_Extinction,eAbundance,BScaled_RM_ERR_with_0.05Uncty&StDev,BScaled_RM_ERR_with_0.05Uncty,Raw_Magnetic_FieldMagnetic_Field(uG),Magnetic_Field(uG),Reference_BField_RMErr(±),BField_of_Min_Extinction,BField_of_Max_Extinction
1,81.1,-10.203194444444444,-25.7,16.3,-35.58888888888889,29.70491542098339,27.53333333333333,1.6227919,1.1018777025,0.0001404,150.1905310678049,1.1162502800543643,-286.8763219739716,-397.2610718904587,251.95935687994077,-1176.1328313916547,-274.1943679377582
2,81.1,-10.149138888888888,-21.3,7.4,-31.188888888888886,20.804915420983388,18.633333333333333,0.9974991,0.47658490249999996,0.0001404,347.24473318843286,2.5808020513223973,-549.7108369316707,-804.9234842291077,279.64477855846934,-1030.7227154905947,-240.29459594170692
3,81.35416666666667,-7.656916666666667,-41.6,13.2,-51.48888888888889,26.60491542098339,24.43333333333333,0.972172,0.4512578025,0.0001404,366.7340407044769,2.7256510296047125,-1133.8708283155602,-1403.407430132026,445.31197302266213,-1701.5921138523036,-958.7199213414154
4,81.35416666666667,-7.129444444444444,-9.6,14.9,-19.488888888888887,28.304915420983388,26.133333333333333,1.1187518,0.5978376025000001,0.0001404,276.8169760787968,2.0573668983982727,-197.5072222462342,-400.9579488656189,622.320149801846,-644.0639982082305,-121.61061074753034
5,81.35416666666667,-7.808,-8.3,14.9,-18.188888888888886,28.304915420983388,26.133333333333333,0.86371434,0.3428001425,0.0001398,444.6547297282169,3.304775361387728,-274.29635499518145,-601.10191851019,1079.0865766026302,-601.10191851019,-269.8817651135645
13,82.37083333333334,-5.066777777777777,-1.0,7.3,-10.888888888888886,20.704915420983387,18.53333333333333,1.1425351,0.6216209024999999,0.0001404,266.2259210471896,1.9786517619575776,-19.786517619575775,-215.45319185760283,1572.8083005605006,-359.85331712888586,-68.2769421026442
14,82.37083333333334,-4.888416666666666,8.5,6.5,-1.3888888888888857,19.904915420983386,17.733333333333334,0.91942126,0.3985070625,0.0001404,415.2789570956419,3.0864479196056522,262.34807316648045,-42.86733221674507,-32.7809011069227,-45.899657797051674,-8.708793635541333
16,82.87916666666666,-9.5515,7.4,7.8,-2.4888888888888854,21.204915420983387,19.03333333333333,0.8232442,0.3023300025,0.0001398,444.654729728217,3.3047753613877284,244.55337674269188,-82.25218677231668,-86.69825092217162,-82.25218677231668,-27.28262453132225
17,82.87916666666666,-7.181972222222223,-36.3,5.0,-46.18888888888888,18.404915420983386,16.233333333333334,0.8276192,0.3067050025,0.0001398,444.6547297282169,3.304775361387728,-1199.6334561837452,-1526.4390196987538,210.25330849845093,-1526.4390196987538,-421.4649573125047
22,83.89583333333333,-5.391472222222222,-13.5,10.2,-23.388888888888886,23.60491542098339,21.43333333333333,13.854413,13.3334988025,3.947e-07,21.705891885224066,0.16132313883871024,-21.778623743225882,-37.73168969505389,28.50838776959627,-117.82921927101822,-37.61108677990872
23,83.89583333333333,-5.378638888888888,10.9,9.4,1.0111111111111146,22.804915420983388,20.633333333333333,17.054918,16.5340038025,3.403e-07,21.688747751147872,0.1611957197242842,17.57033344994698,1.629867832767768,1.405574094313488,5.893992191715844,1.6259424688701691
25,85.16666666666667,-5.218055555555556,81.0,15.0,71.11111111111111,28.404915420983386,26.233333333333334,2.0721,1.5511858024999998,0.0001413,106.34026146013699,0.7903450756315853,640.179511261584,562.0231648935718,104.07836386917995,913.3572544139071,338.9330228543115
26,85.16666666666667,-10.382166666666668,28.1,15.5,18.211111111111116,28.904915420983386,26.733333333333334,1.139908,0.6189938024999999,0.0001404,267.3558226946025,1.9870494486918309,558.3608950824045,361.86378293399014,199.60457777497678,601.836313034943,80.98547160303279
27,85.42083333333333,-5.6971944444444444,58.9,2.2,49.01111111111111,15.604915420983389,13.433333333333334,2.3480268,1.8271126025,0.0001413,90.26698126169765,0.6708847914489547,395.1511421634343,328.8080905645933,12.281456693414352,1072.1596036098867,268.72303553820825
28,85.92916666666666,-5.043138888888889,45.9,11.6,36.01111111111111,25.004915420983387,22.833333333333332,1.445048,0.9241338025000001,0.0001404,179.07752845156617,1.3309450327148753,610.9037700161276,479.28809455876785,121.12727444186726,1190.0863273619586,220.17536638765037
