ID#,Ra(deg),Dec(deg),Extinction,Magnetic_Field(uG),TotalUpperBUncertainty,TotalLowerBUncertainty
1,81.1,-10.203194444444444,1.6227919,-396.8531278776505,334,1067
2,81.1,-10.149138888888888,0.9974991,-804.9234842291077,732,689
3,81.35416666666667,-7.656916666666667,0.972172,-1403.407430132026,848,966
4,81.35416666666667,-7.129444444444444,1.1187518,-400.9579488656189,646,691
5,81.35416666666667,-7.808,0.86371434,-652.6196587888597,1054,1018
13,82.37083333333334,-5.066777777777777,1.1425351,-215.45319185760283,417,463
14,82.37083333333334,-4.888416666666666,0.91942126,-42.86733221674507,615,614
16,82.87916666666666,-9.5515,0.8232442,-98.70580664513064,842,841
17,82.87916666666666,-7.181972222222223,0.8276192,-1831.7858849277168,1157,730
22,83.89583333333333,-5.391472222222222,13.854413,-36.84657022705376,37,37
23,83.89583333333333,-5.378638888888888,17.054918,1.5914865522724797,36,36
25,85.16666666666667,-5.218055555555556,2.0721,562.0868709116058,257,235
26,85.16666666666667,-10.382166666666668,1.139908,361.8637829339901,580,597
27,85.42083333333333,-5.6971944444444444,2.3480268,328.7335463759821,367,105
28,85.92916666666666,-5.043138888888889,1.445048,479.2880945587679,333,410
29,85.92916666666666,-10.51475,3.33734,71.12219336784818,87,84
30,86.4375,-5.490944444444445,1.8468672,131.6797992656548,227,230
31,86.4375,-6.584,1.223674,-178.32609102741014,358,421
33,86.4375,-5.492083333333333,1.8468672,126.1202143083871,212,215
34,86.4375,-10.862583333333331,2.3459888,-87.21828029433374,179,181
35,86.94583333333334,-4.304583333333333,2.418167,23.32307270700961,138,138
36,86.94583333333334,-4.297805555555556,2.418167,4.592851240764984,130,130
37,86.94583333333334,-11.49472222222222,0.84074783,-1007.1355317869056,1010,835
39,87.2,-6.762944444444445,1.3388324,117.46214244353058,433,388
40,87.2,-10.558,1.4097509,-23.37082667995537,280,280
41,87.2,-4.737972222222222,1.0213251,-724.8140806709695,657,769
42,87.2,-8.045638888888888,1.663536,351.7509940634414,331,348
43,87.45416666666667,-5.035583333333333,0.9948159,-708.259746725091,778,857
46,87.9625,-10.394944444444445,2.1312969,25.968341966989552,187,187
47,87.9625,-10.38075,2.1312969,141.6839504713598,119,118
