ID#	Extinction_Index_x	Extinction_Index_y	Ra(deg)	Dec(deg)	Rotation_Measure(rad/m2)	RM_Err(rad/m2)	RA_inExtincFile(degree)	Dec_inExtincFile(degree)	Extinction_Value	Error_Range(pix)	Min_Extinction_Value	Min_Extinction_Ra	Min_Extinction_Dec	Max_Extinction_Value	Max_Extinction_RA	Max_Extinction_dec
0	407	31	80.59166666666667	-10.958277777777777	-0.0	10.0	80.58364300508433	-10.955459555791677	0.6128426	1	0.48300135	80.55868639450989	-10.930252080391837	1.6954925	80.60860426138979	-10.980665401185647
1	387	62	81.1	-10.203194444444444	-25.7	16.3	81.09613724583093	-10.192925823709887	1.6227919	1	0.7241101	81.12111980585723	-10.218121774223087	1.7667426	81.07115913615971	-10.167728480572308
2	387	64	81.1	-10.149138888888888	-21.3	7.4	81.0966219858081	-10.143199422236995	0.9974991	1	0.411771	81.09686431541142	-10.118334568596875	1.7667426	81.07115913615971	-10.167728480572308
3	378	164	81.35416666666667	-7.656916666666667	-41.6	13.2	81.34652153831406	-7.655030194459971	0.972172	1	0.093610846	81.32165494217594	-7.629857789465403	1.1762255	81.34629426164295	-7.679964739492034
4	378	185	81.35416666666667	-7.129444444444444	-9.6	14.9	81.35128855143171	-7.131382173117284	1.1187518	1	0.22392862	81.37658175574936	-7.106666163172688	2.4797902	81.32599414066965	-7.1560953188048195
5	378	158	81.35416666666667	-7.808	-8.3	14.9	81.34515750129958	-7.804634723577301	0.86371434	1	0.63006127	81.34538490364717	-7.779701123714355	1.0426197	81.34493007380416	-7.829568106078287
6	376	30	81.35416666666667	-10.986277777777778	-15.5	15.6	81.3664087271214	-10.99173272373245	0.4960014	1	0.13556537	81.3408947387865	-11.016222504902103	0.90297174	81.39192148196197	-10.967237933187334
7	368	207	81.60833333333333	-6.573666666666666	-33.1	3.7	81.60671566182165	-6.584797404795431	0.641712	1	0.35263547	81.63197946054503	-6.560047569246649	1.0459086	81.63155733289479	-6.609929806063221
8	367	97	81.60833333333333	-9.334194444444446	-43.3	9.6	81.60840960927115	-9.327901596245757	0.094613165	1	0.0469728	81.58298951778853	-9.352539783390032	0.57402784	81.58341960241097	-9.30271927413289
9	358	286	81.8625	-4.613138888888889	78.3	2.5	81.87293442770459	-4.617343995280291	0.69934416	1	0.11543585	81.84777894668213	-4.642116781130467	0.84569985	81.89789294483357	-4.61746879293604
10	358	286	81.8625	-4.623472222222222	76.0	15.0	81.87293442770459	-4.617343995280291	0.69934416	1	0.11543585	81.84777894668213	-4.642116781130467	0.84569985	81.89789294483357	-4.61746879293604
