index,ID#,Extinction_Index_x,Extinction_Index_y,Ra(deg),Dec(deg),Rotation_Measure(rad/m2),RM_Err(rad/m2),RA_inExtincFile(degree),Dec_inExtincFile(degree),Extinction_Value,Error_Range(pix),Min_Extinction_Value,Min_Extinction_Ra,Min_Extinction_Dec,Max_Extinction_Value,Max_Extinction_RA,Max_Extinction_dec
0,8,367,97,81.60833333333333,-9.334194444444446,-43.3,9.6,81.60840960927115,-9.327901596245756,0.094613165,6,0.0469728,81.58298951778853,-9.352539783390032,1.4691788,81.60905045096183,-9.25316511471927
1,21,286,18,83.64166666666667,-11.317277777777775,14.0,6.2,83.6461601823165,-11.312168560547102,0.13670546,6,0.010908119,83.49384500204621,-11.286344800505145,1.7361407,83.798425427975,-11.362778785083028
2,32,176,14,86.4375,-11.404,16.8,12.9,86.4431557481504,-11.415457855170144,0.20649806,6,0.07609717,86.46881316423034,-11.51481526211362,1.6512926,86.5701107417867,-11.340406312047309
3,45,115,153,87.9625,-7.938166666666667,103.6,15.8,87.97364006029633,-7.941850767436205,0.34535423,6,0.03836971,88.02416452929138,-7.96651503847968,1.7240661,87.8470039341293,-7.817715688191463
4,24,256,13,84.40416666666667,-11.437555555555557,-23.0,15.1,84.40833218082204,-11.4401458045886,0.44386816,6,0.013559388,84.56121979519408,-11.291437357536692,1.252598,84.35710482885713,-11.58910451843133
5,20,286,24,83.64166666666667,-11.158055555555556,20.0,17.3,83.64676619391095,-11.162968249142358,0.47842258,6,0.010908119,83.49384500204621,-11.286344800505145,1.4208267,83.62177821456828,-11.063320003764437
6,12,356,24,81.8625,-11.137416666666669,29.4,4.8,81.87122547863082,-11.147119721003936,0.4823561,6,0.087824896,81.76932450972433,-11.220393764391796,1.952485,81.84670747316989,-11.047465424298071
7,6,376,30,81.35416666666667,-10.986277777777778,-15.5,15.6,81.3664087271214,-10.99173272373245,0.4960014,6,0.08274653,81.51815010446212,-10.99372335742059,2.1854866,81.2664465735281,-10.866210885389105
8,38,145,222,87.2,-6.211777777777778,-26.3,16.9,87.21074572157588,-6.221687174386006,0.5192787,6,0.21323927,87.18543289164708,-6.171809498493781,1.4391667,87.13547434169851,-6.246912620358552
9,15,336,31,82.37083333333334,-10.982416666666667,-19.6,14.5,82.3791718212969,-10.978733924094284,0.6013364,6,0.07605472,82.3793434255411,-10.953874754096097,2.4102345,82.32831969216471,-11.003077842241584
10,0,407,31,80.59166666666667,-10.958277777777775,-0.0,10.0,80.58364300508433,-10.955459555791675,0.6128426,6,0.0064686784,80.58418520660003,-10.905845214558232,2.0909357,80.48301466261069,-10.929036848896946
11,7,368,207,81.60833333333333,-6.573666666666666,-33.1,3.7,81.60671566182165,-6.584797404795431,0.641712,6,0.008655177,81.5553230182222,-6.734048909268759,1.5188893,81.58273317186493,-6.459910022895554
12,11,356,40,81.8625,-10.737944444444445,-61.2,11.8,81.8744215131946,-10.749562648878,0.69448584,6,0.012862146,81.92522381994,-10.72527789432066,1.6385663,81.92423983143276,-10.849566062389576
13,10,358,286,81.8625,-4.623472222222222,76.0,15.0,81.87293442770459,-4.617343995280291,0.69934416,6,0.004913753,82.02157276504082,-4.767513207369561,1.5140435,81.77432811240685,-4.467479067027673
14,9,358,286,81.8625,-4.613138888888889,78.3,2.5,81.87293442770459,-4.617343995280291,0.69934416,6,0.004913753,82.02157276504082,-4.767513207369561,1.5140435,81.77432811240685,-4.467479067027673
15,18,307,122,83.13333333333334,-8.710999999999999,67.1,9.4,83.12632738129699,-8.717093362408535,0.7174646,6,0.017179625,83.25316313375102,-8.59300746003309,2.055284,83.1519541845382,-8.642353148308322
