ID#	Extinction_Index_x	Extinction_Index_y	Ra(deg)	Dec(deg)	Rotation_Measure(rad/m2)	RM_Err(rad/m2)	RA_inExtincFile(degree)	Dec_inExtincFile(degree)	Extinction_Value	Error_Range(pix)	Min_Extinction_Value	Min_Extinction_Ra	Min_Extinction_Dec	Max_Extinction_Value	Max_Extinction_RA	Max_Extinction_dec
0	319	488	82.87916666666666	0.37502777777777774	29.7	9.0	82.87589884702089	0.3797084170035664	0.22126696	6	0.035449084	82.90048950134863	0.35517931965474464	1.2844135	82.9745532268635	0.3306588821350636
1	319	488	82.87916666666666	0.38936111111111116	15.1	10.9	82.87589884702089	0.3797084170035664	0.22126696	6	0.035449084	82.90048950134863	0.35517931965474464	1.2844135	82.9745532268635	0.3306588821350636
2	318	335	82.87916666666666	-3.4109166666666666	12.9	6.7	82.87918084854044	-3.401846232924564	1.1932528	6	0.4585032	83.02935586277181	-3.302783674157636	2.2307596	82.85338715166439	-3.5509764800602923
3	318	335	82.87916666666666	-3.4016666666666664	12.5	6.7	82.87918084854044	-3.401846232924564	1.1932528	6	0.4585032	83.02935586277181	-3.302783674157636	2.2307596	82.85338715166439	-3.5509764800602923
4	309	491	83.13333333333334	0.45969444444444446	64.8	11.7	83.12361794821597	0.4533831511100159	0.31496844	6	0.0049980525	83.19757903414373	0.40433722580458836	1.4516398	83.12336418760715	0.4043162765204649
5	308	397	83.13333333333334	-1.8518333333333334	6.0	9.9	83.13649295675926	-1.863872889950038	1.500625	6	0.26964712	82.98760524204384	-1.8141609446360503	1.8932582	83.16148111817549	-1.8391464125739696
6	298	394	83.3875	-1.9453333333333334	75.6	18.8	83.38481806417283	-1.938482172372613	1.1456395	6	0.25064483	83.53418452063232	-1.9138867149632024	1.9582833	83.33553421350365	-1.8393611701179422
7	298	428	83.3875	-1.1027222222222224	30.0	10.2	83.388661585492	-1.097521267158385	0.7782917	6	0.09956797	83.26500767795365	-0.9986719824544484	1.5303648	83.4128213071648	-1.2457628119419033
8	298	428	83.3875	-1.1023611111111111	8.4	17.4	83.388661585492	-1.097521267158385	0.7782917	6	0.09956797	83.26500767795365	-0.9986719824544484	1.5303648	83.4128213071648	-1.2457628119419033
9	268	535	84.15	1.5250555555555554	11.9	15.8	84.14149172225778	1.5307187949651297	0.4936679	6	0.0025160946	84.01813937942293	1.5794531291528813	1.4333209	84.24004354046966	1.4331031109958103
10	267	345	84.15	-3.146138888888889	102.6	13.9	84.152770184853	-3.155657692164062	0.76623785	6	0.121343926	84.30286226038787	-3.031515028468767	1.5759096	84.05300589719944	-3.1306641269211655
11	247	623	84.65833333333333	3.6548055555555554	37.2	11.7	84.66411603873073	3.666143732529142	0.69093335	6	0.0016768049	84.61515635609048	3.7865551226586276	1.1600088	84.713063407721	3.5215062019284566
12	216	395	85.42083333333333	-1.918611111111111	-44.1	5.4	85.42629676388901	-1.914957492406981	36.838272	6	4.884636	85.30171975255324	-2.0636898351084487	37.365788	85.42629539766602	-1.939742400833981
13	216	395	85.42083333333333	-1.9053333333333333	-50.1	7.7	85.42629676388901	-1.914957492406981	36.838272	6	4.884636	85.30171975255324	-2.0636898351084487	37.365788	85.42629539766602	-1.939742400833981
14	196	353	85.92916666666666	-2.9531111111111112	82.6	15.8	85.92549123802588	-2.9574345334549457	1.8359107	6	0.9041416	86.0752219334255	-2.932502886377117	3.7731283	85.77575544231892	-3.007210709913478
15	145	420	87.2	-1.2899444444444443	56.0	14.7	87.19167348377606	-1.2954112815553813	3.3281372	6	1.5084125	87.34033920802965	-1.1964522390073873	4.6117697	87.04204796100947	-1.147220852844869
16	103	605	88.21666666666667	3.223888888888889	91.1	12.9	88.20674064300194	3.228270747859569	1.4951516	6	1.0866603	88.25662825741358	3.107368305792142	3.4781125	88.35317007592106	3.372646986111789
17	94	400	88.47083333333333	-1.7776666666666665	55.3	11.1	88.4611852864849	-1.788593987441483	0.65082705	6	0.21947223	88.41233320676108	-1.912402739590342	1.1894455	88.38604715388188	-1.6897667389842654
18	73	431	88.97916666666667	-1.0249722222222222	152.4	12.5	88.97637705153839	-1.0221667996686268	1.1756629	6	0.49980873	89.0023024064358	-1.1701313546848928	1.8535424	88.92722893960362	-1.0715462504994837
19	31	510	89.99583333333334	0.9161111111111111	7.8	19.2	89.99555876389402	0.9168088520792946	0.86672974	6	0.6829922	89.89861758015786	0.7703482221687693	1.7824148	89.89572108980776	1.0634097332612276
20	30	621	90.0	3.6070277777777777	49.4	21.8	89.99278912463623	3.606943068986391	0.6173005	6	0.040844377	90.14070224343469	3.485989053908318	1.2360289	89.91920135192844	3.631343761460606
21	31	475	90.0	0.049666666666666665	33.9	16.2	90.00420866270348	0.06039481445621443	0.84392333	6	0.5406756	90.12866177983099	-0.062216054345381	2.3186722	90.15151023174026	0.10940192142312742
22	32	362	90.0	-2.7351666666666667	53.8	9.1	90.00756868267341	-2.725235682495985	1.4625694	6	0.6515471	90.00856621762095	-2.8243127860652506	1.7914702	89.85757226656779	-2.601955872268641
23	20	574	90.25416666666666	2.467027777777778	83.7	9.4	90.2493307075028	2.4721900957507414	0.8982307	6	0.31223837	90.34675092536564	2.520222313669672	1.532962	90.15084482832361	2.5209447241019656
24	20	573	90.25416666666666	2.4535	94.4	13.6	90.24959013729288	2.4479863261791985	0.9961159	6	0.31223837	90.34675092536564	2.520222313669672	1.532962	90.15084482832361	2.5209447241019656
