ID#,Ra(deg),Dec(deg),RM_Raw_Value,RM_Raw_Err,Scaled_RM,TotalRMScaledErrWithStDev,TotalRMScaledErrWithAvgErr,Extinction,Scaled_Extinction,eAbundance,BScaled_RM_ERR_with_0.05Uncty&StDev,BScaled_RM_ERR_with_0.05Uncty,Raw_Magnetic_FieldMagnetic_Field(uG),Magnetic_Field(uG),Reference_BField_RMErr(±),BField_of_Min_Extinction,BField_of_Max_Extinction
2,82.87916666666666,-3.4109166666666666,12.9,6.7,-32.85,17.149965823594147,19.9375,1.1932528,0.69619417375,0.0001403,184.9744030551126,1.7616667155188483,227.25500630193145,-578.7075160479417,-300.56901996288445,-1299.0675210482734,-314.354918784348
3,82.87916666666666,-3.4016666666666664,12.5,6.7,-33.25,17.149965823594147,19.9375,1.1932528,0.69619417375,0.0001403,184.9744030551126,1.7616667155188481,220.20833943985605,-585.754182910017,-313.96424203976915,-1314.8856948205507,-318.1826803524983
5,83.13333333333334,-1.8518333333333332,6.0,9.9,-39.75,20.349965823594147,23.137500000000003,1.500625,1.00356637375,0.000141,128.25725262225745,1.2215016198819866,73.29009719291918,-485.5468939030896,-801.1523749400978,-635.6279636891845,-348.98187651451536
6,83.3875,-1.9453333333333331,75.6,18.8,29.849999999999994,29.249965823594145,32.0375,1.1456395,0.64858087375,0.0001403,198.55365292423346,1.8909933256932108,1429.5909542240672,564.4615077194233,140.36873472387776,594.3626039113493,387.1373178725907
7,83.3875,-1.1027222222222224,30.0,10.2,-15.75,20.649965823594144,23.4375,0.7782917,0.28123307375000006,0.0001402,415.22571000146246,3.954543443069326,1186.3630329207977,-622.8405922834188,-211.76580137636236,-622.8405922834188,-276.0925031790346
8,83.3875,-1.1023611111111111,8.4,17.4,-37.35,27.849965823594147,30.6375,0.7782917,0.28123307375000006,0.0001402,415.22571000146246,3.9545434430693254,332.18164921782335,-1477.021975986393,-3059.5455216860996,-1477.021975986393,-654.7336503959964
12,85.42083333333333,-1.918611111111111,-44.1,5.4,-89.85,15.849965823594147,18.637500000000003,36.838272,36.34121337375,4.4e-08,16.366535999100897,0.15587227876803336,-68.73967493670271,-140.05124247307796,17.149131731397304,-140.06909441522126,-140.0482957937316
13,85.42083333333333,-1.905333333333333,-50.1,7.7,-95.85,18.149965823594147,20.9375,36.838272,36.34121337375,4.4e-08,16.3665359991009,0.15587227876803336,-78.09201166278471,-149.40357919915996,22.962226743184267,-149.42262325764003,-149.40043574656843
14,85.92916666666666,-2.9531111111111112,82.6,15.8,36.849999999999994,26.249965823594145,29.0375,1.8359107,1.33885207375,0.000141,96.13277461493618,0.915553214458272,756.2469551425326,337.38135952787314,64.53541743995638,588.6841420947627,248.07597286305153
15,87.2,-1.2899444444444443,56.0,14.7,10.25,25.149965823594144,27.9375,3.3281372,2.83107857375,0.0001425,45.160200154706416,0.4300985442564807,240.85518478362917,44.08510078628927,11.572338956400934,54.32756858112394,44.08510078628927
16,88.21666666666667,3.223888888888889,91.1,12.9,45.349999999999994,23.349965823594147,26.137500000000003,1.4951516,0.9980929737500001,0.000141,128.9607529745865,1.228201645045385,1118.8916986363456,556.9894460280819,78.87117292823554,684.4264376764617,450.3568097568473
18,88.97916666666667,-1.0249722222222222,152.4,12.5,106.65,22.949965823594148,25.7375,1.1756629,0.6786042737500001,0.0001403,189.76906966444457,1.8073303556666862,2754.3714620360297,1927.5178243185208,158.0969344093275,2541.057695642362,1325.42664994732
19,89.99583333333334,0.9161111111111112,7.8,19.2,-37.95,29.649965823594144,32.4375,0.86672974,0.36967111375000006,0.0001403,348.3585730935504,3.317711494934247,258.7814966048713,-1259.0715123275468,-3099.2529534216537,-1500.7492366448091,-608.9366652824131
21,90.0,0.0496666666666666,33.9,16.2,-11.850000000000001,26.649965823594144,29.4375,0.84392333,0.34686470375,0.0001403,371.26320524289895,3.535851558760743,1198.6536784198918,-418.9984097131481,-200.2293285354867,-468.61339800371513,-373.02135030289213
22,90.0,-2.7351666666666667,53.8,9.1,8.049999999999997,19.549965823594146,22.3375,1.4625694,0.96551077375,0.000141,133.31366895767374,1.2696581226779684,683.076070000747,102.20747887557643,17.28788211464211,138.98129995835708,82.80536524283009
23,90.25416666666666,2.467027777777778,83.7,9.4,37.95,19.849965823594147,22.637500000000003,0.8982307,0.4011720737500001,0.0001403,321.0046514356947,3.0571971073884368,2558.8739788841217,1160.2063022539119,130.2979598708097,1500.7492366448091,816.9271937339281
24,90.25416666666666,2.4535,94.4,13.6,48.650000000000006,24.049965823594146,26.8375,0.9961159,0.4990572737500001,0.0001403,258.04273071143376,2.45755781539397,2319.934577731908,1195.6018771891665,172.24772806962565,1888.4540454227645,956.0511839351225
