ID#,Ra(deg),Dec(deg),RM_Raw_Value,RM_Raw_Err,Scaled_RM,TotalRMScaledErrWithStDev,TotalRMScaledErrWithAvgErr,Extinction,Scaled_Extinction,eAbundance,BScaled_RM_ERR_with_0.05Uncty&StDev,BScaled_RM_ERR_with_0.05Uncty,Raw_Magnetic_FieldMagnetic_Field(uG),Magnetic_Field(uG),Reference_BField_RMErr(±),BField_of_Min_Extinction,BField_of_Max_Extinction
0,50.083333333333336,29.68769444444445,59.2,14.6,13.62222222222222,36.85946601247419,26.744444444444444,2.223773,1.6369379344444444,0.0001197,177.92553515974927,0.7975338139436569,472.14001785464484,108.64182843276923,26.793423904027545,129.20413292703697,88.9462839235755
1,50.083333333333336,31.12605555555556,89.6,10.6,44.02222222222221,32.85946601247419,22.744444444444444,1.6087866,1.0219515344444443,0.000131,276.42135722764914,1.2390317055239688,1110.172408149476,545.4492908095515,64.52859913595141,1237.191784662453,359.47350098474567
3,50.083333333333336,30.717916666666664,40.1,11.2,-5.477777777777781,33.459466012474195,23.34444444444444,1.535315,0.9484799344444443,0.000131,297.61349005358835,1.3340233687672298,534.9433708756591,-73.07483564469385,-20.409929157620226,-93.68308530973302,-44.811391097234825
5,51.35416666666666,31.47686111111111,35.1,1.8,-10.477777777777781,24.059466012474193,13.944444444444445,1.8411709,1.2543358344444444,0.0001262,227.96200471426766,1.0218173961976689,358.6579060653817,-107.06375606826688,-5.4904490291418915,-122.28816788442442,-66.51501603318947
6,51.35416666666666,33.71738888888889,2.4,11.1,-43.177777777777784,33.35946601247419,23.244444444444444,1.8839344,1.2970993344444444,0.0001262,220.61761245680162,0.9888968760321056,23.73352502477053,-426.9836955845292,-1974.7995920784474,-810.1029668890865,-388.68558816881887
7,51.60833333333333,28.107666666666667,46.8,10.2,1.2222222222222143,32.459466012474195,22.34444444444444,1.4590602,0.8722251344444443,0.000131,323.3418871259404,1.4493483929429145,678.295047897284,17.71425813596884,3.860799850147055,100.75754507921853,13.2234062762193
8,51.8625,29.02272222222222,26.2,11.7,-19.377777777777784,33.959466012474195,23.84444444444444,1.3500432,0.7632081344444444,0.000131,368.93952455934345,1.6537353442393166,433.2786601907009,-320.4571600392632,-143.10491497936562,-427.4002334908411,-214.83156898244098
9,51.8625,31.403166666666664,15.1,14.1,-30.47777777777778,36.35946601247419,26.244444444444444,2.951023,2.3641879344444447,9.062e-05,131.82677250257092,0.5909006178312868,89.22599329252431,-180.09337719013553,-168.1666634689345,-217.80821460132643,-166.18596598880632
10,52.11666666666667,29.444277777777778,18.9,9.8,-26.677777777777784,32.05946601247419,21.944444444444443,1.2254761,0.6386410344444444,0.0001345,437.5581427638584,1.961311590869995,370.68789067442907,-523.2343477420955,-271.30669882923473,-1597.0123591920767,-259.54914396498407
12,52.11666666666667,29.36583333333333,24.8,2.0,-20.777777777777782,24.259466012474192,14.144444444444444,1.6614591,1.0746240344444444,0.0001262,265.04141081954265,1.1880222084712673,294.6295077008743,-246.8446144268078,-19.9068237440974,-451.991695100283,-182.88352067196908
