ID#,Ra(deg),Dec(deg),RM_Raw_Value,RM_Raw_Err,Scaled_RM,TotalRMScaledErrWithStDev,TotalRMScaledErrWithAvgErr,Extinction,Scaled_Extinction,eAbundance,BScaled_RM_ERR_with_0.05Uncty&StDev,BScaled_RM_ERR_with_0.05Uncty,Raw_Magnetic_FieldMagnetic_Field(uG),Magnetic_Field(uG),Reference_BField_RMErr(±),BField_of_Min_Extinction,BField_of_Max_Extinction
0,50.083333333333336,29.68769444444445,59.2,14.6,13.62222222222222,36.85946601247419,26.744444444444444,2.223773,1.6369379344444444,0.0001182,178.51390317623625,0.8001711160474274,473.701300700077,109.0010875860162,26.882024978983722,129.524234495032,89.3375214546151
1,50.083333333333336,31.12605555555556,89.6,10.6,44.02222222222221,32.85946601247419,22.744444444444444,1.6087866,1.0219515344444443,0.0001304,276.9535898814908,1.2414173863535507,1112.3099781727815,546.499520525863,64.65284506221147,1238.0857093623538,360.62224194554136
3,50.083333333333336,30.717916666666664,40.1,11.2,-5.477777777777781,33.459466012474195,23.34444444444444,1.535315,0.9484799344444443,0.0001304,298.1624275243143,1.3364839273051121,535.9300548493501,-73.2096195734912,-20.44757454421699,-93.79961854494788,-44.954202676231034
5,51.35416666666666,31.47686111111111,35.1,1.8,-10.477777777777781,24.059466012474193,13.944444444444445,1.8411709,1.2543358344444444,0.0001252,228.48942963445418,1.0241815268312375,359.48771591776443,-107.3114644224286,-5.503152021663005,-122.5314243194263,-66.8345301729772
6,51.35416666666666,33.71738888888889,2.4,11.1,-43.177777777777784,33.35946601247419,23.244444444444444,1.8839344,1.2970993344444444,0.0001252,221.14426872867634,0.9912575612747744,23.790181470594586,-428.00298701264154,-1979.513814933467,-811.0934372941703,-389.7379474763746
7,51.60833333333333,28.107666666666667,46.8,10.2,1.2222222222222143,32.459466012474195,22.34444444444444,1.4590602,0.8722251344444443,0.0001304,323.90649815142774,1.4518792066574677,679.4794687156949,17.74519030359116,3.867541476423714,98.31056729321622,13.25222582536373
8,51.8625,29.02272222222222,26.2,11.7,-19.377777777777784,33.959466012474195,23.84444444444444,1.3500432,0.7632081344444444,0.0001341,366.7652208803896,1.6439892406000003,430.7251810372,-318.5685817340446,-142.26154222474509,-427.90475771191154,-215.2869560501796
9,51.8625,31.403166666666664,15.1,14.1,-30.47777777777778,36.35946601247419,26.244444444444444,2.951023,2.3641879344444447,8.745e-05,132.47989518546083,0.5938281763955515,89.66805463572827,-180.98563198366642,-168.9998285410395,-218.6666081356449,-167.0960208272792
10,52.11666666666667,29.444277777777778,18.9,9.8,-26.677777777777784,32.05946601247419,21.944444444444443,1.2254761,0.6386410344444444,0.0001341,438.0883515780522,1.9636882000362446,371.13706980685015,-523.8683742541137,-271.6354533169479,-1598.166269856233,-260.17801063210555
12,52.11666666666667,29.36583333333333,24.8,2.0,-20.777777777777782,24.259466012474192,14.144444444444444,1.6614591,1.0746240344444444,0.0001304,263.51558802711685,1.1811828569978944,292.9333485354778,-245.42354917622922,-19.79222170776042,-452.52700025012496,-183.40002804725944
13,52.11666666666667,30.831722222222226,60.2,3.1,14.62222222222222,25.359466012474194,15.244444444444444,4.2798996,3.693064534444445,4.222e-05,101.39355208571608,0.4544866830475572,273.6009831946294,66.45605276562057,3.4221555410867732,86.80170885103472,62.13647933037484
14,52.37083333333333,33.677388888888885,29.9,11.6,-15.677777777777784,33.85946601247419,23.744444444444444,1.1284653,0.5416302344444444,0.0001341,516.2765874975904,2.314159322365303,691.9336373872256,-362.8087559841604,-140.75523643532645,-1130.01676714746,-244.81204579355443
15,52.625,30.546833333333336,-8.3,10.6,-53.87777777777778,32.85946601247419,22.744444444444444,6.3971705,5.810335434444444,4.969e-06,91.54268487119947,0.41033113396803844,-34.05748411934719,-221.07729651233535,282.3396798832234,-258.1908866612894,-219.8812555000727
16,52.625,28.6525,6.5,7.8,-39.07777777777778,30.059466012474193,19.944444444444443,1.1347855,0.5479504344444444,0.0001341,510.34252383168166,2.2875604622106462,148.691430043692,-893.9277939549826,-1072.7133527459791,-1706.34455496034,-474.33785395376617
