ID#,Ra(deg),Dec(deg),Extinction,Magnetic_Field(uG),TotalUpperBUncertainty,TotalLowerBUncertainty
0,50.083333333333336,29.68769444444445,2.223773,109.0010875860162,296,296
1,50.083333333333336,31.12605555555556,1.6087866,546.499520525863,803,448
3,50.083333333333336,30.717916666666664,1.535315,-73.2096195734912,448,448
5,51.35416666666666,31.47686111111111,1.8411709,-107.3114644224286,250,247
6,51.35416666666666,33.71738888888889,1.8839344,-428.0029870126416,333,506
7,51.60833333333333,28.107666666666667,1.4590602,17.74519030359116,478,471
8,51.8625,29.02272222222222,1.3500432,-318.5685817340446,568,569
9,51.8625,31.403166666666664,2.951023,-180.9856319836664,217,219
10,52.11666666666667,29.444277777777778,1.2254761,-523.8683742541137,683,1245
12,52.11666666666667,29.36583333333333,1.6614591,-245.4235491762292,293,354
13,52.11666666666667,30.831722222222226,4.2798996,66.45605276562057,117,116
14,52.37083333333333,33.677388888888885,1.1284653,-362.8087559841604,792,1097
15,52.625,30.546833333333336,6.3971705,-221.07729651233532,139,143
16,52.625,28.6525,1.1347855,-893.9277939549826,806,1064
17,52.625,30.064722222222223,1.0084964,-514.9777806657936,862,1213
18,52.87916666666667,28.679194444444445,1.2376827,-494.8024953650893,688,854
19,53.13333333333333,29.549722222222226,0.9465114,-434.4683161837126,1190,1194
20,53.13333333333333,31.861861111111114,1.37211,351.4317135707908,793,576
21,53.641666666666666,31.202916666666667,3.4997888,-88.6666509741036,153,153
22,53.895833333333336,30.54002777777778,1.9867043,-217.03997282506387,256,257
23,54.15,32.30811111111111,1.0281031,-317.5317241630837,703,672
25,54.40416666666667,30.01377777777778,0.9476806,-1689.7778446735038,1639,2637
29,54.40416666666667,31.253944444444443,2.8611934,395.6683488729653,240,256
30,54.40416666666667,30.93338888888889,3.0965137,17.662161005760435,142,142
31,54.9125,32.909083333333335,2.0341504,730.6358251411554,638,380
32,54.9125,29.561666666666667,1.2634866,-722.5277272186622,570,2479
33,55.16666666666666,32.15036111111111,2.437452,1113.7009352214286,823,261
35,55.675,30.34272222222222,1.0979235,-646.7651364832899,844,1683
36,55.92916666666667,29.425583333333336,1.7379504,-180.13113963836727,444,442
37,55.92916666666667,31.248527777777777,2.7189775,-36.44450778129495,187,187
38,56.4375,29.58688888888889,1.6975992,52.12873952050688,458,335
39,57.454166666666666,30.25825,1.0223446,317.2926104032995,1190,1044
