ID#	Extinction_Index_x	Extinction_Index_y	Ra(deg)	Dec(deg)	Rotation_Measure(rad/m2)	RM_Err(rad/m2)	RA_inExtincFile(degree)	Dec_inExtincFile(degree)	Extinction_Value	Error_Range(pix)	Min_Extinction_Value	Min_Extinction_Ra	Min_Extinction_Dec	Max_Extinction_Value	Max_Extinction_RA	Max_Extinction_dec
0	1035	357	50.083333333333336	29.687694444444446	59.2	14.6	50.09272650709249	29.68181785662918	2.223773	10	0.76896775	50.027285044225	29.434029442657366	5.0473485	50.02321175108977	29.91542545794523
1	1026	417	50.083333333333336	31.126055555555556	89.6	10.6	50.08156179257918	31.13249240724673	1.6087866	10	0.048647285	49.881616643249714	31.30460031067864	2.6949553	50.34004185843618	31.258082905917405
2	1012	508	50.083333333333336	33.35033333333333	22.6	1.3	50.07370492024528	33.3543854822142	0.41394758	10	0.012489736	49.95285382822219	33.536831636356716	2.1942818	50.38356206010093	33.2422791222231
3	1029	400	50.083333333333336	30.717916666666664	40.1	11.2	50.07245500367853	30.718914649857613	1.535315	10	0.046943873	49.77727442855664	30.807314289758782	3.5515027	50.26414500063717	30.73982828788844
4	1004	312	51.1	28.70488888888889	-41.4	12.8	51.11013177229913	28.704176811976435	0.92868495	10	0.34482223	51.24455373173215	28.54936493430867	2.7644682	51.20984295476599	28.761823981185902
5	979	426	51.354166666666664	31.47686111111111	35.1	1.8	51.3461667956294	31.485348753038423	1.8411709	10	0.5604519	51.1548404233184	31.61218293104668	4.91676	51.62919605133494	31.48920916802236
6	966	517	51.354166666666664	33.71738888888889	2.4	11.1	51.3477432942651	33.71545552139999	1.8839344	10	0.00790894	51.17109731207289	33.893782403121655	2.0289342	51.35182753674235	33.69126810345649
7	989	285	51.608333333333334	28.107666666666667	46.8	10.2	51.614753178380106	28.105549212355076	1.4590602	10	0.009374052	51.63851686859744	28.299083668937943	2.5067358	51.87380429416088	28.009650249964384
8	975	322	51.8625	29.02272222222222	26.2	11.7	51.854298957212876	29.01489153108097	1.3500432	10	0.31161207	51.594991433757095	28.918613470099036	2.9020422	51.549650524346724	29.202982783421664
9	961	421	51.8625	31.403166666666664	15.1	14.1	51.86813521748792	31.414969752667417	2.951023	10	1.0653044	51.60975051152716	31.609279757843943	12.2500305	52.18139810201973	31.225326017404534
10	963	339	52.11666666666667	29.444277777777778	18.9	9.8	52.11820397094762	29.44867580998837	1.2254761	10	0.629001	52.02010277987885	29.36734644258761	3.8329413	52.19845819109179	29.649153437125243
11	940	513	52.11666666666667	33.706	56.8	8.9	52.11215021148104	33.69446184859157	0.61636984	10	0.0047578514	52.20084541040169	33.87565215556427	1.8628174	52.0277895207901	33.4891675907678
12	964	336	52.11666666666667	29.365833333333335	24.8	2.0	52.101852635003794	29.374809599402813	1.6614591	10	0.629001	52.02010277987885	29.36734644258761	3.7116148	52.26696121045587	29.196820110846886
13	955	396	52.11666666666667	30.831722222222222	60.2	3.1	52.12922794984507	30.830832556605102	4.2798996	10	0.7079816	51.9409503095156	30.594377779556215	7.80899	52.1273865381635	31.02535813098581
14	931	511	52.37083333333333	33.677388888888885	29.9	11.6	52.37962714023169	33.67113619770987	1.1284653	10	0.0047578514	52.20084541040169	33.87565215556427	2.3671448	52.621425685563146	33.81734281824185
15	939	382	52.625	30.546833333333336	-8.3	10.6	52.62430334055472	30.535605381301938	6.3971705	10	0.87822366	52.57520373311935	30.677079204946338	9.373666	52.575906289003555	30.48269824675492
16	949	304	52.625	28.6525	6.5	7.8	52.623038245762736	28.650467033997877	1.1347855	10	0.027845383	52.46853739032986	28.39717318227367	2.3964818	52.75146582012506	28.901893474285494
17	941	363	52.625	30.064722222222223	28.1	5.7	52.636018272406496	30.07550939424366	1.0084964	10	0.10709706	52.53631447539699	29.9940003077874	5.3532457	52.919124492199145	30.051642843963815
18	940	304	52.87916666666667	28.679194444444445	19.9	12.3	52.8670676575232	28.67112411971129	1.2376827	10	0.1705206	53.09761772154857	28.59407585927035	2.3964818	52.75146582012506	28.901893474285494
19	926	340	53.13333333333333	29.549722222222226	33.0	12.1	53.12816737929017	29.560864080078666	0.9465114	10	0.2996152	53.16568031119435	29.491455702428535	2.8594933	52.92922382022063	29.786027157481815
20	914	435	53.13333333333333	31.861861111111114	67.4	12.4	53.140136052475405	31.873827793123148	1.37211	10	0.10929406	53.32164011873739	32.011951563540514	3.690426	52.89228405262621	31.607454551763738
21	900	406	53.641666666666666	31.202916666666667	28.2	7.7	53.63307652155959	31.206482726537757	3.4997888	10	1.2420733	53.88301191537744	31.47112062193664	14.490769	53.39650746183982	31.064867569245013
22	894	378	53.895833333333336	30.54002777777778	22.2	5.2	53.8915627401249	30.544728710086257	1.9867043	10	0.3137484	54.00365886786805	30.334580352363695	3.6095228	54.14360291257308	30.78363657891562
23	877	449	54.15	32.30811111111111	34.3	1.5	54.14810982051921	32.30092184371534	1.0281031	10	0.38296303	54.33014763992602	32.46263615695772	3.1139486	54.284579053643654	32.13984926577927
24	881	330	54.40416666666667	29.42027777777778	-6.5	16.3	54.40010706876755	29.41856348788716	0.10089728	10	0.0015977323	54.451371974194174	29.22884688948299	2.5174897	54.27103794964542	29.336488759278442
25	878	355	54.40416666666667	30.01377777777778	-3.5	17.3	54.40882902690905	30.025179635986017	0.9476806	10	0.15626746	54.24439260014043	29.770298634754063	2.3287752	54.102856107020656	30.220711672011788
26	880	340	54.40416666666667	29.667416666666668	-4.3	13.2	54.39803623317474	29.660539295018964	0.56505907	10	0.05111304	54.50598775822753	29.692682140468477	1.9493808	54.5877969176683	29.480593194208954
27	869	441	54.40416666666667	32.134055555555555	175.4	11.5	54.40212881894734	32.12443096605634	0.92206407	10	0.6177412	54.68083136971515	31.973836727300974	3.4778073	54.252343435071694	31.94111465284681
28	862	505	54.40416666666667	33.70852777777778	117.3	11.8	54.40573120426205	33.70026816101856	0.618399	10	0.38206273	54.374241793953026	33.94477621030738	2.5442934	54.36619991023127	33.5490393990298
29	873	405	54.40416666666667	31.253944444444443	110.8	16.1	54.398398991153684	31.242500761884028	2.8611934	10	1.2391202	54.71100383928911	31.021514657948725	11.695006	54.14709819496893	31.19873674598
30	874	392	54.40416666666667	30.93338888888889	48.7	2.9	54.40959499797908	30.925891494458806	3.0965137	10	1.2241303	54.26823257302914	30.695717455802782	8.635473	54.12510631569655	31.14817456751848
31	848	471	54.9125	32.909083333333335	126.8	16.0	54.91663395863476	32.900843692301784	2.0341504	10	0.2829815	55.0383492886396	33.10691642275939	3.4146225	54.602665191359996	33.07429201245957
32	862	334	54.9125	29.561666666666667	6.6	8.5	54.914608223458664	29.552141782973827	1.2634866	10	0.019744009	55.17822130712167	29.449061311391013	2.0359979	55.03668564560151	29.706027383828737
33	842	440	55.166666666666664	32.15036111111111	200.0	1.3	55.17943508292852	32.15738983148852	2.437452	10	1.3808863	55.13359448940248	32.3015351614773	11.006487	55.46026056125316	31.980511290548094
34	827	509	55.420833333333334	33.87280555555556	56.5	19.2	55.42029662190828	33.87509064206058	0.8237673	10	0.021518797	55.27677418137995	34.08742545965003	2.0864582	55.605264402102534	33.81386245445251
35	832	364	55.675	30.34272222222222	19.2	10.8	55.67101232927176	30.331679884645926	1.0979235	10	0.024214596	55.51834304103075	30.175672876284917	2.1654735	55.39643267571048	30.508480840974865
36	826	326	55.92916666666667	29.425583333333336	29.4	17.4	55.93636361989498	29.425227542304505	1.7379504	10	0.0018374026	55.84019488736643	29.54047487577089	2.8855371	55.98953482703449	29.452725355039437
37	819	401	55.92916666666667	31.248527777777777	39.9	6.8	55.943004092096864	31.252523565981825	2.7189775	10	1.1457648	56.207087286573355	31.195641520877025	4.18064	55.77996315336016	31.16863345785921
38	808	331	56.4375	29.586888888888886	50.1	6.8	56.426085670429885	29.57573884100397	1.6975992	10	0.004381031	56.556511423711214	29.680343717907945	2.5895448	56.29606449200557	29.471115120241308
39	769	357	57.454166666666666	30.25825	56.7	14.2	57.46496353806067	30.264683082487004	1.0223446	10	0.047640353	57.34460285268805	30.014899670890326	2.4634643	57.638834706260226	30.224631460765423
40	743	477	57.9625	33.228750000000005	33.8	14.3	57.97171048052667	33.23714194553346	0.2923265	10	0.0008987116	58.109060056013945	32.99677891593288	1.8430067	57.774451397963254	33.4744690109919
