ID#,Ra(deg),Dec(deg),RM_Raw_Value,RM_Raw_Err,Scaled_RM,TotalRMScaledErrWithStDev,TotalRMScaledErrWithAvgErr,Extinction,Scaled_Extinction,eAbundance,BScaled_RM_ERR_with_0.05Uncty&StDev,BScaled_RM_ERR_with_0.05Uncty,Raw_Magnetic_FieldMagnetic_Field(uG),Magnetic_Field(uG),Reference_BField_RMErr(±),BField_of_Min_Extinction,BField_of_Max_Extinction
0,50.083333333333336,29.68769444444445,59.2,14.6,13.62222222222222,36.85946601247419,26.744444444444444,2.223773,1.6369379344444444,0.0001187,178.07370552488968,0.7981979731174245,472.53320008551526,108.73230167132913,26.815736560834544,129.22561267528872,89.06048610643471
1,50.083333333333336,31.12605555555556,89.6,10.6,44.02222222222221,32.85946601247419,22.744444444444444,1.6087866,1.0219515344444443,0.0001308,276.43419546199965,1.2390892516541332,1110.2239694821033,545.4746238948527,64.53159613041785,1236.2991498971844,359.7391464319712
3,50.083333333333336,30.717916666666664,40.1,11.2,-5.477777777777781,33.459466012474195,23.34444444444444,1.535315,0.9484799344444443,0.0001308,297.61140738312514,1.33401403340052,534.9396273936086,-73.07432427405075,-20.409786330906943,-93.66294258169721,-44.84417827609995
5,51.35416666666666,31.47686111111111,35.1,1.8,-10.477777777777781,24.059466012474193,13.944444444444445,1.8411709,1.2543358344444444,0.0001256,227.97591689875054,1.0218797562042914,358.67979442770627,-107.070290011183,-5.49078410313759,-122.27014575793045,-66.62296069464807
6,51.35416666666666,33.71738888888889,2.4,11.1,-43.177777777777784,33.35946601247419,23.244444444444444,1.8839344,1.2970993344444444,0.0001256,220.64149599960587,0.9890039316774129,23.736094360257905,-427.0299198331585,-1975.013379228358,-809.9118885640008,-388.8127952438224
7,51.60833333333333,28.107666666666667,46.8,10.2,1.2222222222222143,32.459466012474195,22.34444444444444,1.4590602,0.8722251344444443,0.0001308,323.318647857987,1.4492442251966295,678.2462973920226,17.712984974625357,3.860522366264501,98.1687050027498,13.223073330284786
8,51.8625,29.02272222222222,26.2,11.7,-19.377777777777784,33.959466012474195,23.84444444444444,1.3500432,0.7632081344444444,0.0001344,366.2307493021532,1.6415935240107389,430.09750329081356,-318.10434509719215,-142.05423044416594,-427.2817279051363,-214.8179223534767
9,51.8625,31.403166666666664,15.1,14.1,-30.47777777777778,36.35946601247419,26.244444444444444,2.951023,2.3641879344444447,8.813e-05,132.01896205498994,0.5917620887078714,89.35607539488858,-180.35593436952126,-168.4118327556457,-218.05882928977016,-166.45760822817908
10,52.11666666666667,29.444277777777778,18.9,9.8,-26.677777777777784,32.05946601247419,21.944444444444443,1.2254761,0.6386410344444444,0.0001344,437.450255796457,1.9608279980877155,370.5964916385782,-523.1053359342895,-271.23980381777983,-1595.860113622674,-259.5831976976575
12,52.11666666666667,29.36583333333333,24.8,2.0,-20.777777777777782,24.259466012474192,14.144444444444444,1.6614591,1.0746240344444444,0.0001308,263.01683196633894,1.1789472317234075,292.3789134674051,-244.9590359247525,-19.75476096167359,-451.8680898986706,-182.96138505064667
