ID#,Ra(deg),Dec(deg),RM_Raw_Value,RM_Raw_Err,Scaled_RM,TotalRMScaledErrWithStDev,TotalRMScaledErrWithAvgErr,Extinction,Scaled_Extinction,eAbundance,BScaled_RM_ERR_with_0.05Uncty&StDev,BScaled_RM_ERR_with_0.05Uncty,Raw_Magnetic_FieldMagnetic_Field(uG),Magnetic_Field(uG),Reference_BField_RMErr(±),BField_of_Min_Extinction,BField_of_Max_Extinction
0,46.270833333333336,30.8495,-12.5,14.1,-13.02,22.10226277522861,25.9,0.7302489,0.42185312113333334,0.0001373,236.69915540330769,2.939535904509618,-367.44198806370224,-382.72757476715225,431.7167043373477,-1157.5682370211705,-178.96785167230647
1,46.77916666666667,30.48927777777778,7.1,6.7,6.58,14.702262775228611,18.5,0.7933378,0.48494202113333335,0.0001373,205.95651273305197,2.5577470393370842,181.60003979293296,168.29975518838015,158.81807883973903,585.0076036558604,90.44618807682792
2,47.2875,27.642277777777775,-13.8,17.1,-14.32,25.102262775228613,28.900000000000002,1.087156,0.7787602211333333,0.0001357,128.80661155830373,1.599632490317565,-220.74928366382397,-229.0673726134753,283.8443530210455,-312.92513982739456,-102.48732468255722
3,47.2875,28.663416666666667,0.9,13.6,0.3800000000000001,21.60226277522861,25.4,1.5052563,1.1968605211333334,0.0001334,84.3770523639071,1.0478675959691532,9.43080836372238,3.9818968646827835,60.17088595520651,10.00537387547402,3.7062555156448873
4,47.54166666666666,30.48402777777778,-34.4,13.0,-34.92,21.002262775228612,24.8,0.66797936,0.3595835811333334,0.0001384,276.6183570876062,3.4352872578696085,-1181.7388167071454,-1199.6023104480673,453.33808243676964,-2249.606108776477,-394.4420607587325
5,47.79583333333333,30.72247222222222,9.9,10.0,9.38,18.002262775228612,21.8,1.8747089,1.5663131211333332,0.0001256,65.36557676686482,0.8117665629088838,80.3648897279795,76.14370360085331,76.91283192005386,141.14420830145247,61.29453912661979
6,47.79583333333333,30.10538888888889,14.8,14.4,14.280000000000001,22.402262775228614,26.200000000000003,1.7189839,1.4105881211333333,0.0001301,72.07988016246343,0.8951506200742065,132.48229177098258,127.8275085465967,124.3727110183103,754.0238957300504,115.94741208442545
7,47.79583333333333,28.514444444444443,0.6,8.9,0.08000000000000007,16.902262775228614,20.700000000000003,1.7710046,1.4626088211333332,0.0001301,69.56667894075926,0.8639395022572917,5.183637013543749,0.6911516018058339,10.252082093453204,1.0249646113458284,0.5448331025133246
8,48.05,26.24505555555556,-24.0,7.3,-24.52,15.302262775228613,19.1,1.0813258,0.7729300211333332,0.0001357,129.77301048598906,1.6116340724151876,-386.792177379645,-395.17267455620396,120.19835517751203,-892.7315162345802,-286.8423064983017
9,48.30416666666667,29.03183333333333,-4.0,10.9,-4.52,18.902262775228614,22.700000000000003,1.0647763,0.7563805211333332,0.0001357,132.596935729466,1.6467040312864283,-65.86816125145712,-74.43102221414655,202.82453553354935,-94.06540105132864,-41.54767696771289
10,48.30416666666667,30.383305555555555,11.5,12.4,10.98,20.402262775228614,24.200000000000003,1.4046619,1.0962661211333333,0.0001334,92.0330488454871,1.142946416609885,131.43883791013678,125.49551654376538,135.31690479501657,184.86749438781388,82.2592490919527
11,48.30416666666667,30.37833333333333,4.8,7.6,4.28,15.602262775228612,19.4,1.996101,1.6877052211333332,0.0001256,60.83017467485305,0.7554419965278146,36.2612158333351,32.332917451390465,51.19378596470157,51.50255554788582,25.84536468412371
12,48.55833333333333,30.514277777777775,10.9,7.1,10.38,15.102262775228612,18.9,1.6900454,1.3816496211333333,0.0001301,73.55816006630508,0.913509185177041,99.57250118429747,94.82225342137686,61.76495406346566,304.3549971227077,56.7374155803541
13,48.55833333333333,29.749666666666663,43.0,5.7,42.48,13.702262775228611,17.5,1.4744797,1.1660839211333334,0.0001334,86.58061509257595,1.0752333537713916,462.35034212169836,456.7591286820871,60.54714031367201,639.074968381444,312.28859430839816
14,48.55833333333333,26.61330555555556,1.1,5.7,0.5800000000000002,13.702262775228611,17.5,0.9037403,0.5953445211333335,0.0001373,167.81476348303383,2.0840696356716872,22.924765992388558,12.087603886895788,62.63576559573272,17.222232641992786,6.7025836364017435
16,49.32083333333333,29.07830555555556,9.1,11.5,8.58,19.502262775228612,23.3,1.438051,1.1296552211333333,0.0001334,89.34234661341944,1.1095309369220494,100.9673152599065,95.19775438791184,120.30485444626221,208.38998857438528,68.35164131803751
17,49.575,28.439944444444446,20.6,11.4,20.080000000000002,19.402262775228614,23.200000000000003,2.3865469,2.0781511211333332,0.0001198,50.17746000103595,0.6231473239472287,128.36834873312912,125.12798264860353,69.24558263078059,146.62463300493152,108.25858227478226
18,49.575,28.26688888888889,22.0,3.4,21.48,11.402262775228612,15.200000000000001,2.6701615,2.361765721133333,0.0001125,44.9048619447499,0.5576676171434929,122.68687577156844,119.78700416242228,18.512537006919807,173.58274915931972,97.4406105187479
19,49.575,28.255055555555558,9.1,3.3,8.58,11.302262775228613,15.100000000000001,2.4677594,2.159363621133333,0.0001125,48.73760107314438,0.6052659039279884,55.079197257446936,51.9318145570214,18.832416267930835,69.33612606084559,40.73795385964415
20,49.829166666666666,26.33805555555556,-3.5,16.2,-4.02,24.20226277522861,28.0,1.8832512,1.5748554211333332,0.0001256,65.02441716752847,0.8075297463908504,-28.26354112367976,-32.46269580491218,150.25590629702208,-61.49823276503553,-32.46269580491218
21,49.829166666666666,29.141277777777777,26.4,5.3,25.88,13.302262775228613,17.1,1.867966,1.5595702211333333,0.0001256,65.63741120186596,0.8151424392630111,215.19760396543495,210.95886328126727,42.35158997692108,281.74418541840834,166.16703466338907
