ID#	Extinction_Index_x	Extinction_Index_y	Ra(deg)	Dec(deg)	Rotation_Measure(rad/m2)	RM_Err(rad/m2)	RA_inExtincFile(degree)	Dec_inExtincFile(degree)	Extinction_Value	Error_Range(pix)	Min_Extinction_Value	Min_Extinction_Ra	Min_Extinction_Dec	Max_Extinction_Value	Max_Extinction_RA	Max_Extinction_dec
0	1165	425	46.270833333333336	30.8495	-12.5	14.1	46.282663708394075	30.847145699560826	0.7302489	1	0.34319362	46.31457969366289	30.82755488616556	1.21535	46.30386854597904	30.874256939511945
1	1150	407	46.77916666666667	30.48927777777778	7.1	6.7	46.77606686984382	30.48210624147639	0.7933378	1	0.43241578	46.79742318475096	30.509099667301374	1.2153493	46.754729148554134	30.455117879727155
2	1154	285	47.2875	27.642277777777778	-13.8	17.1	47.286221042024664	27.637134362865627	1.087156	1	0.8761426	47.25564308703868	27.656965880294358	2.0932674	47.30704660413798	27.663361731847374
3	1146	328	47.2875	28.663416666666667	0.9	13.6	47.28195892797886	28.656849653803864	1.5052563	1	0.7794561	47.28690223877779	28.63366568807595	1.600608	47.3080004967871	28.660163158598444
4	1122	403	47.541666666666664	30.48402777777778	-34.4	13.0	47.54244647521374	30.487900810737244	0.66797936	1	0.5001437	47.56918352065611	30.49137727135492	1.4178014	47.520716145989184	30.460963380041242
5	1111	411	47.795833333333334	30.72247222222222	9.9	10.0	47.79754978383858	30.71395556524535	1.8747089	1	1.1365305	47.81949355029488	30.740931064874456	2.2846348	47.829354954826314	30.693887398960797
6	1116	386	47.795833333333334	30.10538888888889	14.8	14.4	47.786724132827096	30.109815277354567	1.7189839	1	0.5423366	47.81827719586982	30.089756784743447	1.8743277	47.79162438995424	30.086373214641366
7	1128	319	47.795833333333334	28.514444444444443	0.6	8.9	47.795084518702694	28.506701304448487	1.7710046	1	1.2850231	47.76417819158553	28.526714981104366	2.1997876	47.82119206959073	28.509905235599597
8	1136	222	48.05	26.245055555555556	-24.0	7.3	48.04443068597354	26.245581546454616	1.0813258	1	0.6476791	48.01442720757915	26.265556964713262	1.3791842	48.0744251337982	26.22559904284211
9	1105	338	48.30416666666667	29.03183333333333	-4.0	10.9	48.308677291694785	29.02257811477392	1.0647763	1	0.904593	48.33975743330227	29.00238632362089	1.6813152	48.28698170337725	28.996052260341212
10	1095	395	48.30416666666667	30.383305555555555	11.5	12.4	48.3052237529282	30.39170286479375	1.4046619	1	1.0480763	48.32732939148447	30.418564698342745	2.0107398	48.33686709246737	30.371480712487724
11	1095	394	48.30416666666667	30.378333333333334	4.8	7.6	48.309998475939224	30.36816552058492	1.996101	1	1.3490285	48.33209964602331	30.39502153480214	2.473266	48.28791617266346	30.341313975053385
12	1085	399	48.55833333333333	30.514277777777778	10.9	7.1	48.5554679237269	30.518981832774845	1.6900454	1	0.73131657	48.55075233774504	30.542565430355108	2.743658	48.56018072417601	30.495400556364853
13	1090	367	48.55833333333333	29.749666666666666	43.0	5.7	48.57129887530789	29.749632955936754	1.4744797	1	1.1367086	48.54926582547519	29.72294774625429	2.0444107	48.56663513075425	29.773121238906867
14	1114	235	48.55833333333333	26.613305555555556	1.1	5.7	48.54683998920269	26.607239810758216	0.9037403	1	0.72440356	48.576949911011276	26.587094058957817	1.3925054	48.52569895862652	26.581380387454345
15	1087	277	49.06666666666667	27.650666666666666	-15.7	13.2	49.05838198485713	27.655842136943985	0.45937386	1	0.45937386	49.05838198485713	27.655842136943985	1.3298167	49.08007481302833	27.681964804587825
16	1067	335	49.32083333333333	29.078305555555556	9.1	11.5	49.329821470672535	29.069299928621984	1.438051	1	0.819129	49.35204765708768	29.095764411699715	1.9056258	49.29877609090645	29.089787547436178
17	1062	308	49.575	28.439944444444446	20.6	11.4	49.580256704578176	28.450918965010672	2.3865469	1	2.0565743	49.584562629828525	28.42750740011125	2.7823853	49.54947771730913	28.471453359807256
18	1063	300	49.575	28.26688888888889	22.0	3.4	49.58822807015915	28.260861591402705	2.6701615	1	1.8820692	49.5575253332119	28.281389035209173	3.4140317	49.61892038379213	28.240326349935682
19	1064	300	49.575	28.255055555555554	9.1	3.3	49.561828086289765	28.25800556418642	2.4677594	1	1.8820692	49.5575253332119	28.281389035209173	3.2345088	49.5397417968107	28.23176785144679
